Settlement Date,Settlement Run Type,Settlement Period,RC
28/12/2015,R1,10,-.2268906771977455562034704797215987220603
28/12/2015,R1,11,-.2647952244712237668744095931981123035886
28/12/2015,R1,12,-.2586888825932075136940065298667658710786
28/12/2015,R1,13,-.2073961934091035660411130591432106569794
28/12/2015,R1,14,-.2158936847962582398025315667309615522776
28/12/2015,R1,15,-.0425825955478816771540669715399415573223
28/12/2015,R1,16,.0284975995367197917676280343193284874198
28/12/2015,R1,17,-.311348352261471675830688232814608407903
28/12/2015,R1,18,-.2130850529684738961641577716690998815748
28/12/2015,R1,19,-.5279531757390885966924620560685445266327
28/12/2015,R1,20,-.6066135166398974725997187154115659562428
28/12/2015,R1,21,-.4716246742558197221258735181829720666135
28/12/2015,R1,22,-.2973419910893222340809423686048457920832
28/12/2015,R1,23,-.2788731843165074508169562653027340227665
28/12/2015,R1,24,-.3041596000827520402799377067095201418794
28/12/2015,R1,25,-.0876518594211987430237932273923569118569
28/12/2015,R1,26,.0305114012442762758873882908759064487598
28/12/2015,R1,27,-.0463530533323068766493609151489538586978
28/12/2015,R1,28,-.013069192206816322648284847177588585617
28/12/2015,R1,29,.3908599827632307302557969565462416100666
28/12/2015,R1,30,.1883644411245258496321811522258955469912
28/12/2015,R1,31,-.0707873992255908697066497250689637480023
28/12/2015,R1,32,-.2135974314187595053095426716830393193375
28/12/2015,R1,33,-.2403238037740294353680893515825743798915
28/12/2015,R1,34,-.1018029930375875991262223687745356167002
28/12/2015,R1,35,-.0830160267231630664546126028185996817498
28/12/2015,R1,36,.0480631291028754205741838138830345881559
28/12/2015,R1,37,-.08591676034758626964846212835123023515
28/12/2015,R1,38,-.330150669839505490843143148319507905241
28/12/2015,R1,39,-.2607806252965891195664463211892106596689
28/12/2015,R1,40,-.1845465616292616125902060138264549322595
28/12/2015,R1,41,-.1453380852246133155316704843357558955458
28/12/2015,R1,42,-.2774183475858161775000792130582117130792
28/12/2015,R1,43,-.1287661398328204925052154541884221332347
28/12/2015,R1,44,.0112973287634245038971618771536741683171
28/12/2015,R1,45,-.2277773995530500653071679963379261291233
28/12/2015,R1,46,-.5216066685402105011785228639260090250451
28/12/2015,R1,47,-.6055178242960376844249406629201456972203
28/12/2015,R1,48,-.4990106806080688439841200467624926220663
29/12/2015,R1,1,-.5280786693483266982884443058554058150219
29/12/2015,R1,2,-.4457742852947280975415581053440985693322
29/12/2015,R1,3,-.6254314516466247556691225832055450849865
29/12/2015,R1,4,-.4011101736176111860724643925099310554656
29/12/2015,R1,5,-.3412833197321308739068258495866417165592
29/12/2015,R1,6,0
29/12/2015,R1,7,-.0138351548204268911753353773754966229687
29/12/2015,R1,8,1.98773665213112047810999932009671185222
29/12/2015,R1,9,2.02515000418262613152711482449447259619
29/12/2015,R1,10,1.78172933073815870578220134634808549173
29/12/2015,R1,11,-.2888434186878767747002641076227435800128
29/12/2015,R1,12,-.4041041422260999791436162003960957005609
29/12/2015,R1,13,-.4293801848032155522020691574423539552014
29/12/2015,R1,14,-.3820141835325912656222612115056941849441
29/12/2015,R1,15,-.3440978048440683069334308863953765236793
29/12/2015,R1,16,-.4070415212946003943800544933421360938219
29/12/2015,R1,17,-.4073967074665797763624333973365860929161
29/12/2015,R1,18,-.4271747533905237561680666059737545109944
29/12/2015,R1,19,-.560566957709034471107300835823795000056
29/12/2015,R1,20,-.7417552150415974559649863233802202753028
29/12/2015,R1,21,-.9621273309173665679196520985943445339905
29/12/2015,R1,22,-.9728603146429232935859021537839621167465
29/12/2015,R1,23,1.22722406632542105529547149683273421609
29/12/2015,R1,24,-.5724218022267866413324186690059695306575
29/12/2015,R1,25,-.5910595851843308736192677679940871221205
29/12/2015,R1,26,-1.29676695963163660025016027040138376433
29/12/2015,R1,27,-.5259330321550080731903493755476223106834
29/12/2015,R1,28,-.4690740518245148978489227499903383919479
29/12/2015,R1,29,-.75594044353569860565966825667697646159
29/12/2015,R1,30,-.7041466981439354736842534731595718826699
29/12/2015,R1,31,-.5033939522917863857192649763768404303513
29/12/2015,R1,32,-.5356603748782268981122417384740600922047
29/12/2015,R1,33,-.2879654404352493333502019821776359432077
29/12/2015,R1,34,-.3258820769483981584923686419555019651508
29/12/2015,R1,35,-.3029653354452571401106356804778501851163
29/12/2015,R1,36,-.4047230482579166876123671232811270571076
29/12/2015,R1,37,-.5118585536734852980137068928084517896282
29/12/2015,R1,38,-.5275031524659700448283677654221526746356
29/12/2015,R1,39,-.2856269297374422393969914766620137721826
29/12/2015,R1,40,-.1840433107828252203516751591787475738659
29/12/2015,R1,41,-.1269580813212321134598824823139940110318
29/12/2015,R1,42,-.1093960608603880422594760910896660113484
29/12/2015,R1,43,.2239472020163313003929209432337047294633
29/12/2015,R1,44,.566419036034116248331873501556105988032
29/12/2015,R1,45,.60757102349718593358205542507969285805
29/12/2015,R1,46,-.0193092229266389823657649967952168913031
29/12/2015,R1,47,.2815838032067331912974458869485243153246
29/12/2015,R1,48,-.219009851510117579554761717466648774461
30/12/2015,R1,1,-.1002599763233476159949109240916200667789
30/12/2015,R1,2,-.2014496667560537242189449501792270686563
30/12/2015,R1,3,-.0624338956614557762416482036261485330916
30/12/2015,R1,4,-.5490195041678252971842214111074232545977
30/12/2015,R1,5,-.5398655108274198788246303201217222844228
30/12/2015,R1,6,-.9406477138714662448096789441267608099527
30/12/2015,R1,7,-.2964262002591171873868522038554543812224
30/12/2015,R1,8,-.4869104441662680602625035196097388873623
30/12/2015,R1,9,-.3591410891995103441824903309243676973569
30/12/2015,R1,10,-.2815605199185309175811422325795069776909
30/12/2015,R1,11,-.0196802435142743880987758143636147702041
30/12/2015,R1,12,.323518479867565952555902778770524847109
30/12/2015,R1,13,-.499586859769530886576937262011086842105
30/12/2015,R1,14,-.1818290310963459531226587249395412941845
30/12/2015,R1,15,-.8136779277292640616271206374408279674223
30/12/2015,R1,16,-.7030664665403867983350914103672611596875
30/12/2015,R1,17,-.4040428600391050520128201423671970491966
30/12/2015,R1,18,-.1161930346251929693494482321925614588809
30/12/2015,R1,19,-.1503505500693137313245984783853801404471
30/12/2015,R1,20,-.1433614506826404103690270450420027606619
30/12/2015,R1,21,-.158132518124215396183772003424111950618
30/12/2015,R1,22,-.206608701402285623665447261821306718767
30/12/2015,R1,23,-.15292068813437161179443244632255122411
30/12/2015,R1,24,-.0997748211300171171903019927029587919136
30/12/2015,R1,25,.1787015952151056379632595484783990681315
30/12/2015,R1,26,.193062269755779341243764004023534089494
30/12/2015,R1,27,.6109087891642731020491139261719680894736
30/12/2015,R1,28,.8922201343627637967780821231102543837869
30/12/2015,R1,29,.916301343789639844228140348675653736625
30/12/2015,R1,30,.6706664728071562020913860174791080713851
30/12/2015,R1,31,.6118301861048041785746551408120024344532
30/12/2015,R1,32,.2287208318628982062268927598703943830956
30/12/2015,R1,33,.3271932851462582561857853789065958238321
30/12/2015,R1,34,-.1115716175073365390818340093780520389862
30/12/2015,R1,35,.3376583264678975926880101395577482640066
30/12/2015,R1,36,.8347115015914609452045903857178754461936
30/12/2015,R1,37,.6535690371050974038429759487487017727092
30/12/2015,R1,38,.6163546778866893974965353833096735192817
30/12/2015,R1,39,.9494764250550389434481708646696165688515
30/12/2015,R1,40,.804132603986543714811533185363923516379
30/12/2015,R1,41,.5122399803715822831837730854953472603586
30/12/2015,R1,42,.1894753733010779903649808495376502481209
30/12/2015,R1,43,.1553805328129966636202000312434370154915
30/12/2015,R1,44,-.1916603495466772104224039982816678981291
30/12/2015,R1,45,-.1679864456022315304120477916151832295235
30/12/2015,R1,46,-.1221854450579862814149495518273967815352
30/12/2015,R1,47,.4387365208032466280963332200789262010305
30/12/2015,R1,48,-.2436922315661381333328442928011260825128
31/12/2015,R1,1,-.2914026521230857081303413659629555781693
31/12/2015,R1,2,-.3449614761675726276146233016879131944647
31/12/2015,R1,3,-.4724730687325705861230214630349557234077
31/12/2015,R1,4,-.4551189804319961730125233651570776272883
31/12/2015,R1,5,-.595175184845184700954447013487645884822
31/12/2015,R1,6,-.5727907970225353687809586521971532852866
31/12/2015,R1,7,-.3029221075637850637614922578533926062747
31/12/2015,R1,8,-.4383577227717051382591255910597392446048
31/12/2015,R1,9,-.555206028975546662275709175430683724582
31/12/2015,R1,10,-.7329535719689884058005549869593553668002
31/12/2015,R1,11,-.5750582681425515477705324973526161152033
31/12/2015,R1,12,-.3008572887214751808611003511728049331088
31/12/2015,R1,13,-.2434264008047656764006499486051556915665
31/12/2015,R1,14,-.6029429711238418373555723052025899261258
31/12/2015,R1,15,-.7439560104980483616589839301916320080867
31/12/2015,R1,16,-.7263400049827171693698786370189824149797
31/12/2015,R1,17,-.6800120472926590914344620243940925383505
31/12/2015,R1,18,-.5668585928340304880301607908862578191856
31/12/2015,R1,19,-.6615430941461796364238094717482413341577
31/12/2015,R1,20,-.7077994361881267431758327173926114434263
31/12/2015,R1,21,-.7493567360465173729829071855580212004855
31/12/2015,R1,22,-.8387623748354476567495005440305425994016
31/12/2015,R1,23,-.8947720824216793360058867966395658650638
31/12/2015,R1,24,-.9680939347104909890234624965699593201588
31/12/2015,R1,25,-.7073693225465295611675064202030231127309
31/12/2015,R1,26,-.5178193953553735842948021275491979968486
31/12/2015,R1,27,-.581048415522662524652789494662501933634
31/12/2015,R1,28,-.5442543750886678482492330283198233831442
31/12/2015,R1,29,-.4736623125691116359279537726185107512332
31/12/2015,R1,30,-.3806437613968258748692614421957405290243
31/12/2015,R1,31,-.3334502341248354194772404333447690499272
31/12/2015,R1,32,-.428672148963192825416043765947991352174
31/12/2015,R1,33,-.3040865924261850649832783340213706787076
31/12/2015,R1,34,-.0875215007680347197526461627692840848071
31/12/2015,R1,35,.1123364449812137934732364121610256157461
31/12/2015,R1,36,-.1106201529969435094976248345239690299526
31/12/2015,R1,37,-.3728687905446572437695417395253832168066
31/12/2015,R1,38,-.2600660193280828931716771508986360263173
31/12/2015,R1,39,-.0287089153159444455826031550353279515251
31/12/2015,R1,40,-.0885969972755347520886629369597867929375
31/12/2015,R1,41,.250247857472806590334415076835407145429
31/12/2015,R1,42,.2350706574142593620227453378924601562607
31/12/2015,R1,43,-.0394072446367260566332422065023330963401
31/12/2015,R1,44,-.2432869382051755497004656292926638544954
31/12/2015,R1,45,-.4640937585010868079107149597045548832905
31/12/2015,R1,46,-.1433496269983589068760470763631246565209
31/12/2015,R1,47,.3394061837628263189561168698981504817835
31/12/2015,R1,48,.092536082309507475102132933090071710251
01/01/2016,R1,1,-.2636705750751968256343907350632748375387
01/01/2016,R1,2,.174590926489474336817940283904950604589
01/01/2016,R1,3,.5002207502074895943188413032218609788517
01/01/2016,R1,4,.099853916483688355592534036209353896132
01/01/2016,R1,5,.2420561702998684835811742655476950857685
01/01/2016,R1,6,.3559332811505571882898707235707470286544
01/01/2016,R1,7,1.20529654326759431273401327903610109784
01/01/2016,R1,8,.4391019341716285796998975337914547960043
01/01/2016,R1,9,.6090041176591217499096632401161684768197
01/01/2016,R1,10,.3339925374022312717411954318473649595926
01/01/2016,R1,11,.050131437614789733628418378639390856153
01/01/2016,R1,12,-.130701101232315864952043576579835899057
01/01/2016,R1,13,-.4101345667731301986370390612990828195187
01/01/2016,R1,14,-.4058840647848270842154603888958908338561
01/01/2016,R1,15,-.121835618882332462538009764146710782129
01/01/2016,R1,16,-.1318933153989448834890741891292660504825
01/01/2016,R1,17,-.5000199205838619215673771851786080433437
01/01/2016,R1,18,-.2350198911143592388543542055526403317039
01/01/2016,R1,19,-.1476474598086936234742680198093298974538
01/01/2016,R1,20,-.1111557567402513079798870122965764340023
01/01/2016,R1,21,-.0597592889546839322305686937684822154146
01/01/2016,R1,22,.046840946731285895029362797143440588753
01/01/2016,R1,23,-.0379457309416825808753966356487938293913
01/01/2016,R1,24,.3811758141822084854942148656124551003907
01/01/2016,R1,25,.8900048558313810473524240646286370285173
01/01/2016,R1,26,1.11441858760330709267696357968470076739
01/01/2016,R1,27,.6523163049736679475142742998217790535238
01/01/2016,R1,28,.0797161289133853643916640771321506984154
01/01/2016,R1,29,-.0552403889653834587331143852351753749539
01/01/2016,R1,30,-.2375953839945211979410916024278938173353
01/01/2016,R1,31,-.2598545270055265257232529350240386948616
01/01/2016,R1,32,-.2746438501837792157055585784537109754482
01/01/2016,R1,33,-.2314205617388876461817911270794166937612
01/01/2016,R1,34,-.5587925269883662607299001499050248128003
01/01/2016,R1,35,-.3707478439382464357424454922642936870479
01/01/2016,R1,36,-.5219372223788283816627146126281657360697
01/01/2016,R1,37,-.4122098857840123598370605736059414647756
01/01/2016,R1,38,-.5760518489270120770541085899446370412756
01/01/2016,R1,39,-.1960180585937830381996068178062288597099
01/01/2016,R1,40,.0926742988941472734442555875356364545981
01/01/2016,R1,41,-.1328483312737257922368816188986563574061
01/01/2016,R1,42,-.0304876891443032635630305267042758475246
01/01/2016,R1,43,.4434668212326958461967832502809694485925
01/01/2016,R1,44,-.051408163627360829481563587063588435689
01/01/2016,R1,45,-.3601957321160303480850092820331269454123
01/01/2016,R1,46,-.5481715028103509747605302689109963417368
01/01/2016,R1,47,.004410587984486407859817751008310282491039
01/01/2016,R1,48,-.4171928080351515152639512840322985945683
02/01/2016,R1,1,-.6683117599175932152243927063289677358065
02/01/2016,R1,2,-.6284475653001100928354518620128505271713
02/01/2016,R1,3,-.3581236400545679886717862859012591679267
02/01/2016,R1,4,-.673490432855351586700321387847712666521
02/01/2016,R1,5,-.5447543046707911133111708365228100395911
02/01/2016,R1,6,-.5211943179002093882814569040876591635188
