Settlement Date,Settlement Run Type,Settlement Period,Off Taking,Delivering
24/09/2013,DF,43,1.0083893,0.9929851
24/09/2013,DF,44,1.0083302,0.9929224
24/09/2013,DF,45,1.0085011,0.9927219
24/09/2013,DF,46,1.0084309,0.9927378
24/09/2013,DF,47,1.0088667,0.9922997
24/09/2013,DF,48,1.0093826,0.9917896
25/09/2013,DF,1,1.0096395,0.9915212
25/09/2013,DF,2,1.0098087,0.9913098
25/09/2013,DF,3,1.0100721,0.9910805
25/09/2013,DF,4,1.0105199,0.9906986
25/09/2013,DF,5,1.010825,0.9904205
25/09/2013,DF,6,1.011183,0.9900637
25/09/2013,DF,7,1.0113057,0.9899359
25/09/2013,DF,8,1.0110177,0.9901744
25/09/2013,DF,9,1.0112558,0.9899468
25/09/2013,DF,10,1.0114292,0.9898187
25/09/2013,DF,11,1.0114106,0.9900154
25/09/2013,DF,12,1.0111352,0.9902528
25/09/2013,DF,13,1.0106209,0.9907519
25/09/2013,DF,14,1.009986,0.9914147
25/09/2013,DF,15,1.0095788,0.9918807
25/09/2013,DF,16,1.0093114,0.9921274
25/09/2013,DF,17,1.0094897,0.9920721
25/09/2013,DF,18,1.0094048,0.9921572
25/09/2013,DF,19,1.0094751,0.9920924
25/09/2013,DF,20,1.0096202,0.9919745
25/09/2013,DF,21,1.0095377,0.9919327
25/09/2013,DF,22,1.0094713,0.9919879
25/09/2013,DF,23,1.0089404,0.9924197
25/09/2013,DF,24,1.0086079,0.9926992
25/09/2013,DF,25,1.0087219,0.9926027
25/09/2013,DF,26,1.0088033,0.9925309
25/09/2013,DF,27,1.0086339,0.9927707
25/09/2013,DF,28,1.0086586,0.9927477
25/09/2013,DF,29,1.0084234,0.9929012
25/09/2013,DF,30,1.0085061,0.9928311
25/09/2013,DF,31,1.0088637,0.9924791
25/09/2013,DF,32,1.0085346,0.9927625
25/09/2013,DF,33,1.008531,0.992769
25/09/2013,DF,34,1.0084334,0.9928611
25/09/2013,DF,35,1.0085906,0.9927359
25/09/2013,DF,36,1.008692,0.992653
25/09/2013,DF,37,1.0084728,0.9928376
25/09/2013,DF,38,1.0088746,0.9925067
25/09/2013,DF,39,1.0088264,0.9925524
25/09/2013,DF,40,1.0092026,0.9922411
25/09/2013,DF,41,1.0091606,0.9922827
25/09/2013,DF,42,1.0093134,0.9921734
25/09/2013,DF,43,1.0094157,0.9921017
25/09/2013,DF,44,1.0091004,0.9923564
25/09/2013,DF,45,1.0097278,0.9918102
25/09/2013,DF,46,1.0104664,0.9911268
25/09/2013,DF,47,1.0109387,0.9905305
25/09/2013,DF,48,1.0113331,0.9901087
26/09/2013,DF,1,1.0116801,0.9896594
26/09/2013,DF,2,1.0117945,0.9894562
26/09/2013,DF,3,1.0120542,0.9893411
26/09/2013,DF,4,1.0120407,0.9893119
26/09/2013,DF,5,1.0122846,0.9890939
26/09/2013,DF,6,1.0120917,0.9892461
26/09/2013,DF,7,1.012205,0.9892631
26/09/2013,DF,8,1.0123768,0.9891033
26/09/2013,DF,9,1.0127059,0.9888677
26/09/2013,DF,10,1.012549,0.9890248
26/09/2013,DF,11,1.0119036,0.9895077
26/09/2013,DF,12,1.0115384,0.9898941
26/09/2013,DF,13,1.0109202,0.9904396
26/09/2013,DF,14,1.0103474,0.9910532
26/09/2013,DF,15,1.0102128,0.9912711
26/09/2013,DF,16,1.0101396,0.9914334
26/09/2013,DF,17,1.0095996,0.9918851
26/09/2013,DF,18,1.0090742,0.9923222
26/09/2013,DF,19,1.0091105,0.9922699
26/09/2013,DF,20,1.0093744,0.9920539
26/09/2013,DF,21,1.0096284,0.991857
26/09/2013,DF,22,1.0095912,0.9918738
