Chellow Id,Standard Settlement Configuration ID,Standard Settlement Configuration Description,Standard Settlement Configuration Type,Effective From Settlement Date (SSC),Effective To Settlement Date (SSC)
1,0003,10-hour OP,1,1996-04-01 00:00:00+00,
2,0004,10-hour OP,1,1996-04-01 00:00:00+00,
3,0005,10-hour OP + w/e,1,1996-04-01 00:00:00+00,
4,0006,10.5-hour OP,1,1996-04-01 00:00:00+00,
5,0007,10.5-hour OP,1,1996-04-01 00:00:00+00,
6,0008,10.5-hour OP,1,1996-04-01 00:00:00+00,
7,0009,10.5-hour OP,1,1996-04-01 00:00:00+00,
8,0010,10.5-hour OP,1,1996-04-01 00:00:00+00,
9,0011,10.5-hour OP,1,1996-04-01 00:00:00+00,
10,0012,10.5-hour OP,1,1996-04-01 00:00:00+00,
11,0013,11 Hour OP,1,1996-04-01 00:00:00+00,
12,0015,11 Hour OP,1,1996-04-01 00:00:00+00,
13,0016,11.5-hour OP,1,1996-04-01 00:00:00+00,
14,0017,11.5-hour OP,1,1996-04-01 00:00:00+00,
15,0018,11.5-hour OP,1,1996-04-01 00:00:00+00,
16,0019,11.5-hour OP,1,1996-04-01 00:00:00+00,
17,0020,11.5-hour OP,1,1996-04-01 00:00:00+00,
18,0021,11.5-hour OP,1,1996-04-01 00:00:00+00,
19,0022,11.5-hour OP,1,1996-04-01 00:00:00+00,
20,0023,11-hour OP,1,1996-04-01 00:00:00+00,
21,0024,11-hour OP,1,1996-04-01 00:00:00+00,
22,0025,11-hour OP,1,1996-04-01 00:00:00+00,
23,0026,11-hour OP,1,1996-04-01 00:00:00+00,
24,0028,11-hour OP,1,1996-04-01 00:00:00+00,
25,0029,11-hour OP,1,1996-04-01 00:00:00+00,
26,0030,11-hour OP,1,1996-04-01 00:00:00+00,
27,0031,11-hour OP,1,1996-04-01 00:00:00+00,
28,0032,11-hour OP,1,1996-04-01 00:00:00+00,
29,0033,11-hour OP,1,1996-04-01 00:00:00+00,
30,0034,11-hour OP,1,1996-04-01 00:00:00+00,
31,0035,11-hour OP,1,1996-04-01 00:00:00+00,
32,0036,11-hour OP,1,1996-04-01 00:00:00+00,
33,0037,11-hour OP,1,1996-04-01 00:00:00+00,
34,0038,11-hour OP,1,1996-04-01 00:00:00+00,
35,0039,11-hour OP,1,1996-04-01 00:00:00+00,
36,0040,11.5-hour OP,1,1996-04-01 00:00:00+00,
37,0041,8.5-hour OP,1,1996-04-01 00:00:00+00,
38,0042,9-hour OP,1,1996-04-01 00:00:00+00,
39,0043,9-hour OP,1,1996-04-01 00:00:00+00,
40,0044,8.5-hour OP,1,1996-04-01 00:00:00+00,
41,0045,11-hour OP + Summer,1,1996-04-01 00:00:00+00,
42,0046,11-hour OP + w/e,1,1996-04-01 00:00:00+00,
43,0047,11-hour OP + w/e & Summer,1,1996-04-01 00:00:00+00,
44,0048,11-hour OP + weekends,1,1996-04-01 00:00:00+00,
45,0049,11.5-hour OP,1,1996-04-01 00:00:00+00,
46,0050,12-hour  OP + w/e & Summer,1,1996-04-01 00:00:00+00,
47,0051,12-hour night,1,1996-04-01 00:00:00+00,
48,0052,12-hour OP,1,1996-04-01 00:00:00+00,
49,0053,12-hour OP,1,1996-04-01 00:00:00+00,
50,0055,12-hour OP,1,1996-04-01 00:00:00+00,
51,0056,12-hour OP,1,1996-04-01 00:00:00+00,
52,0057,12-hour OP,1,1996-04-01 00:00:00+00,
53,0058,Key Meter pseudo 2-rate,1,1996-04-01 00:00:00+00,
54,0059,12-hour OP,1,1996-04-01 00:00:00+00,
55,0060,12-hour OP,1,1996-04-01 00:00:00+00,
56,0062,8-hour OP (see also SSC 427),1,1996-04-01 00:00:00+00,
57,0063,9-hour OP,1,1996-04-01 00:00:00+00,
58,0064,12-hour OP,1,1996-04-01 00:00:00+00,
59,0065,12-hour OP + Summer,1,1996-04-01 00:00:00+00,
60,0066,12-hour OP + Summer,1,1996-04-01 00:00:00+00,
61,0067,12.5-hour OP,1,1996-04-01 00:00:00+00,
62,0071,12.5-hour OP,1,1996-04-01 00:00:00+00,
63,0072,12.5-hour OP,1,1996-04-01 00:00:00+00,
64,0073,12.5-hour OP,1,1996-04-01 00:00:00+00,
65,0074,12.5-hour OP + Summer,1,1996-04-01 00:00:00+00,
66,0075,12.5-hour OP + w/e,1,1996-04-01 00:00:00+00,
67,0076,12.5-hour OP + w/e,1,1996-04-01 00:00:00+00,
68,0077,12.5-hour OP + w/e,1,1996-04-01 00:00:00+00,
69,0078,12.5-hour OP + w/e & Summer,1,1996-04-01 00:00:00+00,
70,0079,14-hour E7,1,1996-04-01 00:00:00+00,
71,0080,14-hour Off Peak,1,1996-04-01 00:00:00+00,
72,0081,14-hour OP + Sun,1,1996-04-01 00:00:00+00,
73,0082,14.5-hour OP,1,1996-04-01 00:00:00+00,
74,0083,14.5-hour OP,1,1996-04-01 00:00:00+00,
75,0084,14.5-hour OP,1,1996-04-01 00:00:00+00,
76,0085,14.5-hour OP,1,1996-04-01 00:00:00+00,
77,0086,14.5-hour OP,1,1996-04-01 00:00:00+00,
78,0087,14.5-hour OP,1,1996-04-01 00:00:00+00,
79,0088,14.5-hour OP,1,1996-04-01 00:00:00+00,
80,0091,14.5-hour OP + Summer,1,1996-04-01 00:00:00+00,
81,0092,14.5-hour OP + Summer,1,1996-04-01 00:00:00+00,
82,0093,split 7-hour E7,1,1996-04-01 00:00:00+00,
83,0094,14.5-hour OP + Summer,1,1996-04-01 00:00:00+00,
84,0095,14.5-hour OP + Summer,1,1996-04-01 00:00:00+00,
85,0096,14.5-hour OP + Summer,1,1996-04-01 00:00:00+00,
86,0097,14.5-hour OP + w/e,1,1996-04-01 00:00:00+00,
87,0098,14.5-hour OP + w/e & Summer,1,1996-04-01 00:00:00+00,
88,0099,15-hour OP,1,1996-04-01 00:00:00+00,
89,0100,15-hour OP,1,1996-04-01 00:00:00+00,
90,0101,15-hour OP + w/e & Summer,1,1996-04-01 00:00:00+00,
91,0102,15-hour OP + w/e & Summer,1,1996-04-01 00:00:00+00,
92,0103,15-hour OP + w/e & Summer,1,1996-04-01 00:00:00+00,
93,0104,15.5-hour OP,1,1996-04-01 00:00:00+00,
94,0105,15.5-hour OP,1,1996-04-01 00:00:00+00,
95,0106,15.5-hour OP,1,1996-04-01 00:00:00+00,
96,0107,15.5-hour OP,1,1996-04-01 00:00:00+00,
97,0108,15.5-hour OP,1,1996-04-01 00:00:00+00,
98,0109,15.5-hour OP,1,1996-04-01 00:00:00+00,
99,0110,15.5-hour OP,1,1996-04-01 00:00:00+00,
100,0111,15.5-hour OP + Summer,1,1996-04-01 00:00:00+00,
101,0112,15.5-hour OP + w/e,1,1996-04-01 00:00:00+00,
102,0113,15.5-hour OP + w/e,1,1996-04-01 00:00:00+00,
103,0115,15.5-hour OP + w/e,1,1996-04-01 00:00:00+00,
