id,ssc_id,tpr_id
0,0,153
1,1,155
2,2,95
3,3,233
4,4,148
5,5,149
6,6,558
7,7,551
8,8,559
9,9,563
10,10,131
11,11,142
12,12,108
13,13,118
14,14,119
15,15,120
16,16,122
17,17,123
18,18,124
19,19,128
20,20,129
21,21,130
22,22,132
23,23,133
24,24,134
25,25,135
26,26,136
27,27,137
28,28,206
29,29,139
30,30,140
31,31,141
32,32,143
33,33,144
34,34,145
35,35,147
36,36,158
37,37,160
38,38,161
39,39,170
40,40,17
41,41,73
42,42,13
43,43,74
44,44,121
45,45,12
46,46,107
47,46,114
48,47,109
49,48,110
50,49,111
51,50,112
52,51,113
53,52,19
54,52,162
55,53,115
56,54,116
57,55,565
58,56,159
59,57,552
60,58,8
61,59,553
62,60,97
63,61,104
64,62,106
65,63,146
66,64,15
67,65,57
68,66,58
69,67,126
70,68,11
71,69,92
72,69,151
73,70,91
74,71,55
75,72,78
76,73,79
77,74,80
78,75,81
79,76,554
80,77,556
81,78,560
82,79,1
83,80,2
84,81,27
85,81,195
86,82,555
87,83,557
88,84,561
89,85,49
90,86,10
91,87,70
92,88,71
93,89,5
94,90,6
95,91,7
96,92,56
97,93,60
98,94,61
99,95,62
100,96,63
101,97,64
102,98,763
103,99,86
104,100,20
105,101,21
106,102,22
107,103,23
108,104,764
109,105,4
110,106,765
111,107,9
112,108,23
113,108,204
114,109,184
115,109,221
116,110,725
117,111,735
118,112,732
119,113,631
120,113,632
121,114,75
122,114,138
123,114,201
124,115,566
125,115,567
126,115,568
127,116,156
128,116,185
129,116,202
130,117,726
131,117,727
132,117,728
133,118,729
134,118,730
135,118,731
136,119,87
137,119,191
138,119,212
139,119,214
140,120,87
141,120,191
142,120,211
143,120,222
144,121,96
145,121,191
146,121,210
147,121,226
148,122,34
149,122,75
150,122,201
151,122,223
152,123,117
153,123,185
154,123,202
155,123,222
156,124,186
157,124,202
158,124,203
159,124,207
160,125,3
161,125,83
162,125,189
163,125,213
164,126,801
165,126,802
166,127,174
167,127,191
168,127,211
169,127,225
170,127,228
171,128,125
172,128,187
173,128,208
174,128,225
175,128,228
176,129,42
177,130,88
178,130,189
179,130,216
180,130,219
181,130,224
182,130,227
183,131,87
184,131,191
185,131,217
186,131,220
187,131,225
188,131,228
189,132,68
190,132,88
191,132,189
192,132,216
193,132,224
194,132,227
195,133,94
196,133,187
197,133,215
198,133,218
199,133,225
200,133,228
201,134,598
202,135,800
203,136,37
204,136,188
205,137,38
206,137,191
207,138,40
208,138,192
209,139,41
210,139,193
211,140,35
212,140,201
213,141,46
214,141,183
215,142,450
216,142,451
217,143,452
218,143,453
219,144,458
220,144,459
221,145,25
222,146,464
223,146,465
224,147,468
225,147,469
226,148,470
227,148,471
228,149,481
229,149,482
230,150,484
231,150,485
232,151,486
233,151,487
234,152,495
235,152,496
236,153,502
237,153,503
238,154,504
239,154,505
240,155,506
241,155,507
242,156,508
243,156,509
244,157,510
245,157,511
246,158,512
247,158,513
248,159,514
249,159,515
250,160,518
251,160,519
252,161,525
253,161,526
254,162,570
255,162,571
256,163,572
257,163,573
258,164,574
259,164,575
260,165,585
261,165,586
262,166,587
263,166,588
264,167,589
265,167,590
266,168,591
267,168,592
268,169,593
269,169,594
270,170,595
271,170,596
272,171,597
273,171,598
274,172,599
275,172,600
276,173,739
277,173,740
278,174,629
279,174,630
280,175,663
281,175,664
282,176,668
283,176,669
284,177,670
285,177,671
286,178,672
287,178,673
288,179,674
289,179,675
290,180,676
291,180,677
292,181,678
293,181,679
294,182,680
295,182,681
296,183,682
297,183,683
298,184,684
299,184,685
300,185,686
301,185,687
302,186,692
303,186,693
304,187,694
305,187,695
306,188,696
307,188,697
308,189,698
309,189,699
310,190,700
311,190,701
312,191,702
313,191,703
314,192,704
315,192,705
316,193,706
317,193,707
318,194,710
319,194,711
320,195,717
321,195,718
322,196,719
323,196,720
324,197,721
325,197,722
326,198,723
327,198,724
328,199,741
329,199,742
330,200,743
331,200,744
332,201,745
333,201,746
334,202,747
335,202,748
336,203,749
337,203,750
338,204,751
339,204,752
340,205,753
341,205,754
342,206,755
343,206,756
344,207,757
345,207,758
346,208,759
347,208,760
348,209,768
349,209,769
350,210,770
351,210,771
352,211,772
353,211,773
354,212,774
355,212,775
356,213,776
357,213,805
358,214,777
359,214,806
360,215,778
361,215,807
362,216,784
363,216,785
364,217,786
365,217,787
366,218,788
367,218,789
368,219,790
369,219,791
370,220,792
371,220,793
372,221,794
373,221,795
374,222,796
375,222,797
376,223,489
377,223,490
378,224,39
379,224,189
380,225,19
381,225,209
382,226,36
383,226,187
384,227,462
385,227,463
386,228,150
387,228,249
388,228,250
389,229,712
390,229,713
391,230,614
392,230,615
393,231,766
394,231,767
395,232,187
396,233,191
397,234,193
398,235,714
399,236,733
400,236,734
401,237,736
402,237,737
403,238,52
404,238,181
405,239,51
406,239,180
407,240,89
408,240,154
409,241,54
410,241,176
411,242,50
412,242,179
413,243,52
414,243,181
415,244,460
416,244,461
417,245,516
418,245,517
419,246,175
420,247,176
421,248,177
422,249,178
423,250,179
424,251,181
425,252,535
426,253,536
427,254,537
428,255,562
429,256,762
430,257,47
431,258,100
432,259,14
433,260,157
434,261,9
435,261,90
436,262,466
437,262,467
438,263,164
439,264,165
440,265,98
441,266,779
442,266,808
443,267,483
444,268,488
445,269,497
446,270,498
447,271,499
448,272,782
449,273,783
450,274,500
451,275,527
452,275,528
453,276,542
454,276,543
455,277,548
456,277,549
457,278,501
458,279,530
459,280,531
460,280,532
461,281,533
462,281,534
463,282,538
464,282,539
465,283,540
466,283,541
467,284,545
468,284,546
469,285,601
470,285,602
471,286,600
472,287,456
473,288,99
474,289,165
475,289,205
476,290,48
477,290,182
478,291,65
479,291,168
480,292,69
481,292,167
482,293,66
483,293,168
484,294,67
485,294,169
486,295,454
487,295,455
488,296,520
489,296,521
490,297,708
491,297,709
492,298,457
493,299,168
494,299,171
495,299,187
496,300,169
497,300,172
498,300,191
499,301,127
500,301,182
501,301,202
502,302,472
503,302,473
504,302,474
505,303,476
506,303,477
507,303,478
508,304,522
509,304,523
510,304,524
511,305,607
512,305,608
513,305,609
514,306,665
515,306,666
516,306,667
517,307,577
518,307,578
519,307,579
520,308,16
521,309,18
522,310,77
523,311,780
524,311,781
525,312,475
526,313,479
527,314,480
528,315,569
529,316,580
530,317,581
531,317,582
532,317,583
533,318,584
534,319,576
535,320,43
536,321,44
537,322,45
538,322,202
539,323,494
540,324,529
541,325,544
542,326,550
543,327,59
544,328,798
545,328,799
546,329,633
547,329,634
548,330,635
549,330,636
550,331,637
551,331,638
552,332,639
553,332,640
554,333,641
555,333,642
556,334,643
557,334,644
558,335,645
559,335,646
560,336,647
561,336,648
562,337,649
563,337,650
564,338,651
565,338,652
566,339,653
567,339,654
568,340,655
569,340,656
570,341,657
571,341,658
572,342,659
573,342,660
574,343,661
575,343,662
576,344,620
