id,code,name
0,AAUL,Alcan Aluminium Limited
1,ACCU,Morrison Data Services Limited
2,ACEL,Accord Energy Ltd
3,ACTA,ACTARIS UK LIMITED
4,ADAP,Celtpower Ltd
5,AEPD,AES NewEnergy Ltd
6,AESB,AES Barry Ltd
7,AESM,AES Smart Metering Ltd
8,AFPL,AES Fifoots Point Ltd
9,AGSS,amerada.co.uk Ltd
10,AHEL,Severn Trent Energy Ltd
11,AHGL,Amerada Hess Gas Ltd
12,ALAB,ALABAMA ENERGY LIMITED
13,ALAS,ALASKA ENERGY LIMITED
14,ALBU,ALBUQUERQUE ENERGY LIMITED
15,ALTI,Co-operative Energy Limited
16,AMGD,Amerada Hess Gas (Dom)
17,AMMR,Orsis UK (Ltd)
18,AMPE,Ampere Energy Supply Limited
19,AMSL,GB METERING SERVICES LIMITED
20,ANGE,Limejump Energy Limited
21,ANRG,Abingdon Energy Limited
22,APGL,Anglian Power Generators Ltd
23,AQES,Aquila Energy Supplies Ltd
24,ARIZ,SIMPLICITY ENERGY LIMITED
25,ARRU,Arruzzi Energy Supply Ltd
26,AVRO,AVRO ENERGY LIMITED
27,AXIS,Axis Telecom Ltd
28,AXPO,Axpo UK Limited
29,AZAC,Together Energy Supply Limited
30,BARB,Barbican Power Limited
31,BARK,Barking Power
32,BAYS,Bayswater Energy Limited
33,BCFC,Octopus Energy Limited
34,BERM,British Energy Retail Market
35,BETH,Mongoose Energy Supply Limited
36,BGAS,British Gas Trading Ltd
37,BGPL,British Gas plc
38,BIZZ,British Gas Trading Ltd
39,BLBL,Bluebell Energy Supply Ltd
40,BMET,BGlobal Metering Limited
41,BMHH,BGlobal Metering Limited
42,BMSL,BURY METERING SERVICES LTD
43,BNFL,British Nuclear Fuels plc
44,BNRG,Electricity Plus Supply Ltd
45,BORE,Zebra Power Limited
46,BORL,Eggborough Power Ltd
47,BREZ,Breeze Energy Supply Limited
48,BRZE,ARTO.ENERGY LIMITED
49,BTEL,BT
50,BULN,Bryt Energy Limited
51,CABH,Cabah Energy Limited
52,CALB,Coopers & Lybrand
53,CALI,Callesti Energy Supply Ltd
54,CALL,Scottish Power Energy Retail
55,CAML,Inexus (Services) Limited
56,CAND,Candecca Resources Limited
57,CAPG,Logica UK Limited
58,CBRA,Cabra Energy Supply Limited
59,CDSL,Controls Devices & Systems Ltd
60,CECO,Coryton Energy Company Ltd
61,CENP,Midlands Power (UK) Ltd
62,CESL,Commercial Electricity
63,CFWR,Eddington Energy Supply Ltd
64,CGEN,Citigen (London) Ltd
65,CGTL,Cinergy Global Trading
66,CGUK,Cinergy Global Power (UK) Ltd
67,CHFM,Central Homes & Fac. Mngt Ltd
68,CIDA,MRA Service Company TEST ID A
69,CIDB,MRA Service Company TEST ID B
70,CIDC,MRA Service Company TEST ID C
71,CILI,Cilleni Energy Supply Ltd
72,CIRC,Flow Energy Ltd
73,CMRO,Camaro Energy Supply Limited
74,CMSL,Access Install LTD
75,CNDL,Neas Energy Ltd.
76,CNRG,Opus Energy (Corporate) Ltd.
77,COLG,Colgano Energy Supply Ltd
78,COLO,COLORADO ENERGY LIMITED
79,COML,Complete Metering Limited
80,COMT,ENSTROGA Ltd
81,COOP,I Supply Energy Limited
82,CORB,Corby Power
83,CORE,Corona Energy Retail 4 Limited
84,COUL,Coulomb Energy Supply Limited
85,COVE,Toto Energy Ltd
86,CPPR,Affect Energy Ltd
87,CROS,Crosfield Ltd
88,CROW,Reuben Power Supply Limited
89,CUST,Dummy ID for Customers
90,CYCL,Business Power and Gas Limited
91,DAMC,Damhead Creek Ltd
92,DASL,Siemens MCS
93,DCCO,Data & Communications Company
94,DDCL,Dataflex Design Communication
95,DEES,Deeside Power Developmt Co Ltd
96,DEML,Dynamic Electric Metering Ltd
97,DERW,Derwent Co. Generation Ltd
98,DESL,Daisy Energy Supply Limited
99,DFDL,Tru Energy Limited
100,DIRA,Social Energy Supply Ltd
101,DMOM,DrakMarn O&M Ltd
102,DMSL,DROYLSDEN METERING SERVICES
103,DNRG,Donnington Energy Limited
104,DRAK,TXU Europe Drakelow Ltd
105,DRAX,Drax Power Ltd
106,DRGI,UK Healthcare Corporation Ltd
107,DUAL,Dual Energy Direct Limited
108,DUDG,Dudgeon Offshore Wind Ltd
109,EAMM,Energy Assets Metering MAP
110,EASL,Electricity Assn Services Ltd
111,EBES,BES Commercial Electricity Ltd
112,ECOA,British Gas Trading Ltd
113,ECOB,EnergyCo2 Ltd
114,ECOE,ECOES SERVICE PROVIDER
115,ECON,Economy Power
116,ECOT,Renewable Energy Company Ltd
117,ECSM,ECS Metering Services
118,EDCO,Energy Data Company Ltd
119,EDDI,Eddington Energy Supply Ltd
120,EDEF,EDF Production Transport
121,EDFE,EDF Energy Limited
122,EDFI,UK Power Networks (IDNO)
123,EDGE,Edgware Energy Limited
124,EDIR,Electricity Direct Ltd
125,EECL,Enfield Energy Centre Limited
126,EELC,Eastern Electricity
127,EENG,E.ON Energy Ltd
128,EESL,Economy Energy Supply Limited
129,EETL,OVO Electricity Limited
130,EFLS,Effortless Energy Ltd
131,EFPL,Edison First Power Ltd
132,EGDX,E (Gas and Electricity) Ltd
133,EGML,Eco Green Management Limited
134,ELEC,ELECTRAPHASE LIMITED
135,ELED,ELEDOR LIMITED
136,ELME,Elm Energy & Recycling UK Ltd
137,EMAP,COMPLETE METERING LIMITED
138,EMEB,East Midlands Electricity plc
139,EMGE,TXU Europe Merchant Generation
140,EMSL,Magnum Utilities Limited
141,EMZO,Emzo Energy Supply Limited
142,ENCS,Energy Communications Ltd
143,ENDC,EPG Energy Ltd
144,ENEC,Eneco Energy Trade BV
145,ENER,Simply Your Energy
146,ENGQ,Eversmart Energy Ltd
147,ENGY,Energy Assets Ltd
148,ENPA,ENPAAS LTD
149,ENRD,British Gas Trading
150,ENRG,Opus Energy Renewables Limited
151,ENRO,Enron Capital & Trade Resource
152,EOND,E.ON Energy Solutions Ltd
153,EPFA,Electricity Pool Funds Admin
154,EPHH,Economy Power Ltd
155,ESCL,Energy Supply Contracts Ltd
156,ESIS,Energy Settlements & Info Serv
157,ESML,E.ON UK Energy Services Ltd
158,ESPO,Essential Power Ltd
159,ESQL,E-Squared Limited
