id,code,description,is_import,valid_from,valid_to
0,0003,10-hour OP,1,1996-03-31 23:00:00+00,
1,0004,10-hour OP,1,1996-03-31 23:00:00+00,
2,0005,10-hour OP + w/e,1,1996-03-31 23:00:00+00,
3,0006,10.5-hour OP,1,1996-03-31 23:00:00+00,
4,0007,10.5-hour OP,1,1996-03-31 23:00:00+00,
5,0008,10.5-hour OP,1,1996-03-31 23:00:00+00,
6,0009,10.5-hour OP,1,1996-03-31 23:00:00+00,
7,0010,10.5-hour OP,1,1996-03-31 23:00:00+00,
8,0011,10.5-hour OP,1,1996-03-31 23:00:00+00,
9,0012,10.5-hour OP,1,1996-03-31 23:00:00+00,
10,0013,11 Hour OP,1,1996-03-31 23:00:00+00,
11,0015,11 Hour OP,1,1996-03-31 23:00:00+00,
12,0016,11.5-hour OP,1,1996-03-31 23:00:00+00,
13,0017,11.5-hour OP,1,1996-03-31 23:00:00+00,
14,0018,11.5-hour OP,1,1996-03-31 23:00:00+00,
15,0019,11.5-hour OP,1,1996-03-31 23:00:00+00,
16,0020,11.5-hour OP,1,1996-03-31 23:00:00+00,
17,0021,11.5-hour OP,1,1996-03-31 23:00:00+00,
18,0022,11.5-hour OP,1,1996-03-31 23:00:00+00,
19,0023,11-hour OP,1,1996-03-31 23:00:00+00,
20,0024,11-hour OP,1,1996-03-31 23:00:00+00,
21,0025,11-hour OP,1,1996-03-31 23:00:00+00,
22,0026,11-hour OP,1,1996-03-31 23:00:00+00,
23,0028,11-hour OP,1,1996-03-31 23:00:00+00,
24,0029,11-hour OP,1,1996-03-31 23:00:00+00,
25,0030,11-hour OP,1,1996-03-31 23:00:00+00,
26,0031,11-hour OP,1,1996-03-31 23:00:00+00,
27,0032,11-hour OP,1,1996-03-31 23:00:00+00,
28,0033,11-hour OP,1,1996-03-31 23:00:00+00,
29,0034,11-hour OP,1,1996-03-31 23:00:00+00,
30,0035,11-hour OP,1,1996-03-31 23:00:00+00,
31,0036,11-hour OP,1,1996-03-31 23:00:00+00,
32,0037,11-hour OP,1,1996-03-31 23:00:00+00,
33,0038,11-hour OP,1,1996-03-31 23:00:00+00,
34,0039,11-hour OP,1,1996-03-31 23:00:00+00,
35,0040,11.5-hour OP,1,1996-03-31 23:00:00+00,
36,0041,8.5-hour OP,1,1996-03-31 23:00:00+00,
37,0042,9-hour OP,1,1996-03-31 23:00:00+00,
38,0043,9-hour OP,1,1996-03-31 23:00:00+00,
39,0044,8.5-hour OP,1,1996-03-31 23:00:00+00,
40,0045,11-hour OP + Summer,1,1996-03-31 23:00:00+00,
41,0046,11-hour OP + w/e,1,1996-03-31 23:00:00+00,
42,0047,11-hour OP + w/e & Summer,1,1996-03-31 23:00:00+00,
43,0048,11-hour OP + weekends,1,1996-03-31 23:00:00+00,
44,0049,11.5-hour OP,1,1996-03-31 23:00:00+00,
45,0050,12-hour  OP + w/e & Summer,1,1996-03-31 23:00:00+00,
46,0051,12-hour night,1,1996-03-31 23:00:00+00,
47,0052,12-hour OP,1,1996-03-31 23:00:00+00,
48,0053,12-hour OP,1,1996-03-31 23:00:00+00,
49,0055,12-hour OP,1,1996-03-31 23:00:00+00,
50,0056,12-hour OP,1,1996-03-31 23:00:00+00,
51,0057,12-hour OP,1,1996-03-31 23:00:00+00,
52,0058,Key Meter pseudo 2-rate,1,1996-03-31 23:00:00+00,
53,0059,12-hour OP,1,1996-03-31 23:00:00+00,
54,0060,12-hour OP,1,1996-03-31 23:00:00+00,
55,0062,8-hour OP (see also SSC 427),1,1996-03-31 23:00:00+00,
56,0063,9-hour OP,1,1996-03-31 23:00:00+00,
57,0064,12-hour OP,1,1996-03-31 23:00:00+00,
58,0065,12-hour OP + Summer,1,1996-03-31 23:00:00+00,
59,0066,12-hour OP + Summer,1,1996-03-31 23:00:00+00,
60,0067,12.5-hour OP,1,1996-03-31 23:00:00+00,
61,0071,12.5-hour OP,1,1996-03-31 23:00:00+00,
62,0072,12.5-hour OP,1,1996-03-31 23:00:00+00,
63,0073,12.5-hour OP,1,1996-03-31 23:00:00+00,
64,0074,12.5-hour OP + Summer,1,1996-03-31 23:00:00+00,
65,0075,12.5-hour OP + w/e,1,1996-03-31 23:00:00+00,
66,0076,12.5-hour OP + w/e,1,1996-03-31 23:00:00+00,
67,0077,12.5-hour OP + w/e,1,1996-03-31 23:00:00+00,
68,0078,12.5-hour OP + w/e & Summer,1,1996-03-31 23:00:00+00,
69,0079,14-hour E7,1,1996-03-31 23:00:00+00,
70,0080,14-hour Off Peak,1,1996-03-31 23:00:00+00,
71,0081,14-hour OP + Sun,1,1996-03-31 23:00:00+00,
72,0082,14.5-hour OP,1,1996-03-31 23:00:00+00,
73,0083,14.5-hour OP,1,1996-03-31 23:00:00+00,
74,0084,14.5-hour OP,1,1996-03-31 23:00:00+00,
75,0085,14.5-hour OP,1,1996-03-31 23:00:00+00,
76,0086,14.5-hour OP,1,1996-03-31 23:00:00+00,
77,0087,14.5-hour OP,1,1996-03-31 23:00:00+00,
78,0088,14.5-hour OP,1,1996-03-31 23:00:00+00,
79,0091,14.5-hour OP + Summer,1,1996-03-31 23:00:00+00,
80,0092,14.5-hour OP + Summer,1,1996-03-31 23:00:00+00,
81,0093,split 7-hour E7,1,1996-03-31 23:00:00+00,
82,0094,14.5-hour OP + Summer,1,1996-03-31 23:00:00+00,
83,0095,14.5-hour OP + Summer,1,1996-03-31 23:00:00+00,
84,0096,14.5-hour OP + Summer,1,1996-03-31 23:00:00+00,
85,0097,14.5-hour OP + w/e,1,1996-03-31 23:00:00+00,
86,0098,14.5-hour OP + w/e & Summer,1,1996-03-31 23:00:00+00,
