"Meter Timeswitch Class ID","Effective From Settlement Date (MTC)","Market Participant ID","Effective From Settlement Date (MTCPA)","Effective To Settlement Date (MTCPA)","Meter Timeswitch Class Description","Mtc Meter Type ID","MTC Payment Type ID","MTC Comm. Indicator","MTC Type Indicator","TPR Count"
"1","01/04/1996","HYDE","01/04/1996","","Unrestricted, Single rate","UN","TS","N","N","1"
"1","01/04/1996","LOND","01/04/1996","","Economy 7, 23.30 - 06.30","TP","KM","N","N","2"
"1","01/04/1996","MIDE","01/04/1996","","Prepayment Two Rate","LN","SM","N","N","2"
"1","01/04/1996","NORW","01/04/1996","","Summer Unrestricted","TN","CR","N","N","1"
"1","01/04/1996","SOUT","01/04/1996","","O/P -F- 8HRS + 2.5HRS PROG TIME/S","TP","CR","N","N","1"
"1","01/04/1996","SPOW","01/04/1996","","8.5 Hour White Meter","TN","CR","N","N","2"
"1","01/04/1996","SWEB","01/04/1996","","11.5 Hour Off Peak - TS","TN","CR","N","N","1"
"1","01/04/1996","YELG","01/04/1996","","NHH non-prog 1r credit meter and T/S","TN","CR","N","N","1"
"1","01/04/1996","GUCL","02/12/2005","","8.5 Hour White Meter","TN","CR","N","N","2"
"1","01/04/1996","IPNL","06/10/2006","","8.5 Hr White Meter","TN","CR","N","N","2"
"1","01/04/1996","EDFI","16/04/2009","17/12/2014","Economy 7, 23.30 - 06.30","TP","KM","N","N","2"
"2","01/04/1996","HYDE","01/04/1996","","Dynamic-htg units","LN","CR","N","N","1"
"2","01/04/1996","LOND","01/04/1996","","Economy 7, 00.00 - 07.00","TP","KM","N","N","2"
"2","01/04/1996","MANW","01/04/1996","","7-Hour E7","TN","TL","N","N","2"
"2","01/04/1996","MIDE","01/04/1996","","Prepayment Two Rate","LN","SM","N","N","2"
"2","01/04/1996","SEEB","01/04/1996","","Credit single rate","UP","CR","N","N","1"
"2","01/04/1996","SOUT","01/04/1996","","O/P -F- 8HRS + 2.5HRS NON - PROG TIME/S","TN","CR","N","N","1"
"2","01/04/1996","SPOW","01/04/1996","","8.5 Hour White Meter","TN","TL","N","N","2"
"2","01/04/1996","SWEB","01/04/1996","","11.5 Hour Off Peak - TS","TN","CR","N","N","1"
"2","01/04/1996","YELG","01/04/1996","","NHH non-prog 1r credit meter and T/S","TN","CR","N","N","1"
"2","01/04/1996","GUCL","02/12/2005","","8.5 Hour White Meter","TP","CR","N","N","2"
"2","01/04/1996","EDFI","16/04/2009","17/12/2014","Economy 7, 00.00 - 07.00","TP","KM","N","N","2"
"2","01/04/1996","NORW","14/09/2011","","E7 Key RTS","LP","KM","N","N","2"
"2","01/04/1996","PENL","20/04/2016","","E7 Key RTS","LP","KM","N","N","2"
"3","01/04/1996","HYDE","01/04/1996","","Dynamic-htg units","LN","CR","N","N","1"
