"Market Participant ID","Market Participant Name","Pool Member ID"
"AAUL","Alcan Aluminium Limited",""
"ACCU","Morrison Data Services Limited",""
"ACEL","Accord Energy Ltd",""
"ACTA","ACTARIS UK LIMITED",""
"ADAP","Celtpower Ltd","ADAP"
"AEPD","AES NewEnergy Ltd","AEPD"
"AESB","AES Barry Ltd","AESB"
"AESM","AES Smart Metering Ltd",""
"AFPL","AES Fifoots Point Ltd","AFPL"
"AGSS","amerada.co.uk Ltd","AGSS"
"AHEL","Severn Trent Energy Ltd","AHEL"
"AHGL","Amerada Hess Gas Ltd","AHGL"
"ALAB","ALABAMA ENERGY LIMITED","ALAB"
"ALAS","ALASKA ENERGY LIMITED","ALAS"
"ALBU","ALBUQUERQUE ENERGY LIMITED","ALBU"
"ALTI","Co-operative Energy Limited","ALTI"
"AMGD","Amerada Hess Gas (Dom)","AMGD"
"AMMR","Orsis UK (Ltd)",""
"AMPE","Ampere Energy Supply Limited","AMPE"
"AMSL","GB METERING SERVICES LIMITED","AMSL"
"ANGE","Limejump Energy Limited","ANGE"
"ANRG","Abingdon Energy Limited","ANRG"
"APGL","Anglian Power Generators Ltd","APGL"
"AQES","Aquila Energy Supplies Ltd","AQES"
"ARIZ","SIMPLICITY ENERGY LIMITED","ARIZ"
"ARRU","Arruzzi Energy Supply Ltd","ARRU"
"AVRO","AVRO ENERGY LIMITED","AVRO"
"AXIS","Axis Telecom Ltd","AXIS"
"AXPO","Axpo UK Limited","AXPO"
"AZAC","Together Energy Supply Limited","AZAC"
"BARB","Barbican Power Limited","BARB"
"BARK","Barking Power","BARK"
"BAYS","Bayswater Energy Limited","BAYS"
"BCFC","Octopus Energy Limited","BCFC"
"BERM","British Energy Retail Market","BERM"
"BETH","Mongoose Energy Supply Limited","BETH"
"BGAS","British Gas Trading Ltd","BGAS"
"BGPL","British Gas plc",""
"BIZZ","British Gas Trading Ltd","BGAS"
"BLBL","Bluebell Energy Supply Ltd","BLBL"
"BMET","BGlobal Metering Limited",""
"BMHH","BGlobal Metering Limited",""
"BMSL","BURY METERING SERVICES LTD","BMSL"
"BNFL","British Nuclear Fuels plc","BNFL"
"BNRG","Electricity Plus Supply Ltd","BNRG"
"BORE","Zebra Power Limited","BORE"
"BORL","Eggborough Power Ltd","BORL"
"BREZ","Breeze Energy Supply Limited","BREZ"
"BRZE","ARTO.ENERGY LIMITED","BRZE"
"BTEL","BT",""
"BULN","Bryt Energy Limited","BULN"
"CABH","Cabah Energy Limited",""
"CALB","Coopers & Lybrand",""
"CALI","Callesti Energy Supply Ltd","CALI"
"CALL","Scottish Power Energy Retail","CALL"
"CAML","Inexus (Services) Limited",""
"CAND","Candecca Resources Limited",""
"CAPG","Logica UK Limited",""
"CBRA","Cabra Energy Supply Limited","CBRA"
"CDSL","Controls Devices & Systems Ltd",""
"CECO","Coryton Energy Company Ltd","CECO"
"CENP","Midlands Power (UK) Ltd","CENP"
"CESL","Commercial Electricity","CESL"
"CFWR","Eddington Energy Supply Ltd","CFWR"
"CGEN","Citigen (London) Ltd","CGEN"
"CGTL","Cinergy Global Trading","CGTL"
"CGUK","Cinergy Global Power (UK) Ltd","CGUK"
"CHFM","Central Homes & Fac. Mngt Ltd",""
"CIDA","MRA Service Company TEST ID A",""
"CIDB","MRA Service Company TEST ID B",""
"CIDC","MRA Service Company TEST ID C",""
"CILI","Cilleni Energy Supply Ltd","CILI"
"CIRC","Flow Energy Ltd","CIRC"
"CMRO","Camaro Energy Supply Limited","CMRO"
"CMSL","Access Install LTD","CMSL"
"CNDL","Neas Energy Ltd.","CNDL"
"CNRG","Opus Energy (Corporate) Ltd.","CNRG"
"COLG","Colgano Energy Supply Ltd","COLG"
"COLO","COLORADO ENERGY LIMITED","COLO"
"COML","Complete Metering Limited",""
"COMT","ENSTROGA Ltd","COMT"
"COOP","I Supply Energy Limited","COOP"
"CORB","Corby Power","CORB"
"CORE","Corona Energy Retail 4 Limited","CORE"
"COUL","Coulomb Energy Supply Limited","COUL"
"COVE","Toto Energy Ltd","COVE"
"CPPR","Affect Energy Ltd","CPPR"
"CROS","Crosfield Ltd","CROS"
"CROW","Reuben Power Supply Limited","CROW"
"CUST","Dummy ID for Customers",""
"CYCL","Business Power and Gas Limited","CYCL"
"DAMC","Damhead Creek Ltd","DAMC"
"DASL","Siemens MCS","DASL"
"DCCO","Data & Communications Company",""
"DDCL","Dataflex Design Communication","DDCL"
"DEES","Deeside Power Developmt Co Ltd","DEES"
"DEML","Dynamic Electric Metering Ltd",""
"DERW","Derwent Co. Generation Ltd","DERW"
"DESL","Daisy Energy Supply Limited","DESL"
"DFDL","Tru Energy Limited","DFDL"
"DIRA","Social Energy Supply Ltd","DIRA"
"DMOM","DrakMarn O&M Ltd",""
"DMSL","DROYLSDEN METERING SERVICES","DMSL"
"DNRG","Donnington Energy Limited","DNRG"
"DRAK","TXU Europe Drakelow Ltd","DRAK"
"DRAX","Drax Power Ltd","DRAX"
"DRGI","UK Healthcare Corporation Ltd","DRGI"
"DUAL","Dual Energy Direct Limited","DUAL"
"DUDG","Dudgeon Offshore Wind Ltd",""
"EAMM","Energy Assets Metering MAP",""
"EASL","Electricity Assn Services Ltd",""
"EBES","BES Commercial Electricity Ltd","EBES"
"ECOA","British Gas Trading Ltd","BGAS"
"ECOB","EnergyCo2 Ltd","ECOB"
"ECOE","ECOES SERVICE PROVIDER",""
"ECON","Economy Power","ECON"
"ECOT","Renewable Energy Company Ltd","ECOT"
"ECSM","ECS Metering Services",""
"EDCO","Energy Data Company Ltd","EDCO"
"EDDI","Eddington Energy Supply Ltd","EDDI"
"EDEF","EDF Production Transport","EDEF"
"EDFE","EDF Energy Limited",""
"EDFI","UK Power Networks (IDNO)",""
"EDGE","Edgware Energy Limited","EDGE"
"EDIR","Electricity Direct Ltd","EDIR"
"EECL","Enfield Energy Centre Limited",""
"EELC","Eastern Electricity","EELC"
"EENG","E.ON Energy Ltd","EENG"
"EESL","Economy Energy Supply Limited","EESL"
"EETL","OVO Electricity Limited","EETL"
"EFLS","Effortless Energy Ltd","EFLS"
"EFPL","Edison First Power Ltd","EFPL"
"EGDX","E (Gas and Electricity) Ltd","EGDX"
"EGML","Eco Green Management Limited","EGML"
"ELEC","ELECTRAPHASE LIMITED","ELEC"
"ELED","ELEDOR LIMITED","ELED"
"ELME","Elm Energy & Recycling UK Ltd","ELME"
"EMAP","COMPLETE METERING LIMITED",""
"EMEB","East Midlands Electricity plc","EMEB"
"EMGE","TXU Europe Merchant Generation","EMGE"
"EMSL","Magnum Utilities Limited","EMSL"
"EMZO","Emzo Energy Supply Limited","EMZO"
"ENCS","Energy Communications Ltd",""
"ENDC","EPG Energy Ltd","ENDC"
"ENEC","Eneco Energy Trade BV","ENEC"
"ENER","Simply Your Energy","ENER"
"ENGQ","Eversmart Energy Ltd","ENGQ"
"ENGY","Energy Assets Ltd",""
"ENPA","ENPAAS LTD",""
"ENRD","British Gas Trading","BGAS"
"ENRG","Opus Energy Renewables Limited","ENRG"
"ENRO","Enron Capital & Trade Resource","ENRO"
