Market Participant ID,Market Participant Name
AAUL,Alcan Aluminium Limited
ACCU,G4S Utility Services (UK) Ltd
ACEL,Accord Energy Ltd
ACTA,ACTARIS UK LIMITED
ADAP,Celtpower Ltd
AEPD,AES NewEnergy Ltd
AESB,AES Barry Ltd
AFPL,AES Fifoots Point Ltd
AGSS,amerada.co.uk Ltd
AHEL,Severn Trent Energy Ltd
AHGL,Amerada Hess Gas Ltd
ALTI,GB Energy Supply Limited
AMGD,Amerada Hess Gas (Dom)
AMMR,Orsis UK (Ltd)
AMPE,Ampere Energy Supply Limited
ANGE,Angel Energy Limited
ANRG,Abingdon Energy Limited
APGL,Anglian Power Generators Ltd
AQES,Aquila Energy Supplies Ltd
AXIS,Axis Telecom Ltd
AXPO,Axpo UK Limited
BARB,Barbican Power Limited
BARK,Barking Power
BAYS,Bayswater Energy Limited
BERM,British Energy Retail Market
BGAS,British Gas Trading Ltd
BGPL,British Gas plc
BIZZ,British Gas Trading Ltd
BMET,BGlobal Metering Limited
BMHH,BGlobal Metering Limited
BNFL,British Nuclear Fuels plc
BNRG,Electricity Plus Supply Ltd
BORL,Eggborough Power Ltd
BTEL,BT
CABH,Cabah Energy Limited
CALB,Coopers & Lybrand
CALL,Extra Energy Supply Limited
CAML,Inexus (Services) Limited
CAND,Candecca Resources Limited
CAPG,Logica UK Limited
CDSL,Controls Devices & Systems Ltd
CECO,Coryton Energy Company Ltd
CENP,Midlands Power (UK) Ltd
CESL,Commercial Electricity
CGEN,Citigen (London) Ltd
CGTL,Cinergy Global Trading
CGUK,Cinergy Global Power (UK) Ltd
CIDA,MRA Service Company TEST ID A
CIDB,MRA Service Company TEST ID B
CIDC,MRA Service Company TEST ID C
CIRC,Flow Energy Ltd
CNDL,NEAS Energy Limited
CNRG,Opus Energy (Corporate) Ltd.
COOP,I Supply Energy Limited
CORB,Corby Power
COUL,Coulomb Energy Supply Limited
CROS,Crosfield Ltd
CROW,Reuben Power Supply Limited
CUST,Dummy ID for Customers
DAMC,Damhead Creek Ltd
DASL,Siemens MCS
DCCO,Data & Communications Company
DDCL,Dataflex Design Communication
DEES,Deeside Power Developmt Co Ltd
DERW,Derwent Co. Generation Ltd
DMOM,DrakMarn O&M Ltd
DNRG,Donnington Energy Limited
DRAK,TXU Europe Drakelow Ltd
DRAX,AES Drax Power Limited
DUAL,Dual Energy Direct Limited
EASL,Electricity Assn Services Ltd
EBES,BES Commercial Electricity Ltd
ECOA,British Gas Trading Ltd
ECOB,EnergyCo2 Ltd
ECOE,ECOES SERVICE PROVIDER
ECON,Economy Power
ECOT,Renewable Energy Company Ltd
ECSM,ECS Metering Services
EDCO,Energy Data Company Ltd
EDEF,EDF Production Transport
EDFE,EDF Energy plc
EDFI,UK Power Networks (IDNO)
EDIR,Electricity Direct Ltd
EECL,Enfield Energy Centre Limited
EELC,Eastern Electricity
EENG,E.ON Energy Ltd
EESL,Economy Energy Supply Limited
EETL,Economy Energy Trading Limited
EFLS,Effortless Energy Ltd
EFPL,Edison First Power Ltd
ELED,ELEDOR LIMITED
ELME,Elm Energy & Recycling UK Ltd
EMEB,East Midlands Electricity plc
EMGE,TXU Europe Merchant Generation
ENCS,Energy Communications Ltd
ENDC,EPG Energy Ltd
ENEC,Eneco Energy Trade BV
ENGY,Energy Assets Ltd
ENRD,British Gas Trading
ENRG,Opus Energy Renewables Limited
ENRO,Enron Capital & Trade Resource
EPFA,Electricity Pool Funds Admin
EPHH,Economy Power Ltd
ESCL,Energy Supply Contracts Ltd
ESIS,Energy Settlements & Info Serv
ESML,E.ON UK Energy Services Ltd
ESPO,Essential Power Ltd
ESQL,E-Squared Limited
ESSP,EMR SSP
ETCL,Electricity Network Co
ETOL,Enron Teeside Operations Ltd
EURO,Europa Energy Supply Limited
FGEN,Fibrogen Ltd
FHPL,Fellside Heat and Power Ltd
FIBR,Fibropower Ltd
FIWL,Fibrowatt Limited
FNRG,Farmoor Energy Limited
FORT,Fortum Direct Ltd
FOUR,IPM Energy Retail Ltd
FRST,First Utility Limited
FSEN,F & S Energy Ltd.
FUAP,First Utility Ltd
GANY,LOCO2 Energy Supply Limited
GCHP,Grangemouth CHP Limited
GDAB,Absolute Insulation Ltd
GDAC,Acrobat Carbon Services Ltd
GDAD,Green Deal Advice 247 Ltd
GDAE,Advent Energy Management
GDAF,Astute Motoring Ltd
GDAG,Agility Eco Services Ltd
GDAI,Anglian Home Improvements
GDAK,Allkaregreendeal Limited
GDAL,Anesco Ltd
GDAM,Ampere Green Deal Ltd
GDAN,AG Energy Solutions Ltd
GDAO,AOS EEHS Ltd
GDAP,Apple Panels Ltd
GDAR,Ace Plumbing Ltd
GDAS,Aran Services Ltd
GDAT,Atlantic Contracting Limited
GDAU,Aura Energy Limited
GDAX,Apex Green Ltd
GDAZ,AAA Green Solutions Ltd
GDBA,Bartons of Duke Street
GDBD,Bartons of Duke Street Limited
GDBE,BritishEco Limited
GDBF,Centrica Finance (UK) Ltd
GDBG,British Gas
GDBK,Brook Energy Services Ltd
GDBM,BMRE Limited
GDBO,Broad Oak Properties Ltd
GDBR,GB Energy (Renewables) Ltd
GDBS,Myblueskies Limited
GDCA,CarbonLow Real Estate Limited
GDCB,Eco Carbon Print Limited
GDCC,GD Central Charge Database
GDCD,Countrywide Green Deal Ltd
GDCE,Carillion Energy Services
GDCF,CRG Finance
GDCG,CG Energy Ltd
GDCI,Cornerstone Ltd
GDCK,Clarus Energy Ltd
GDCL,CarbonLow
GDCM,Climate Energy Ltd
GDCN,CertiNergy Ltd
GDCO,The Energy Saving Co-operative
GDCP,Capital Energy
GDCQ,Cardiff Energy Supply Ltd
GDCR,Solarcrown UK Limited
GDCS,City Energy South Wales Ltd
GDCT,Commercial Tech Services Ltd
