Chellow Id,TPR Chellow Id,Day of the Week Id,Start Day,Start Month,End Day,End Month,Start Hour,Start Minute,End Hour,End Minute
1,1,1,1,1,31,12,00,00,24,00
2,1,2,1,1,31,12,00,00,24,00
3,1,3,1,1,31,12,00,00,24,00
4,1,4,1,1,31,12,00,00,24,00
5,1,5,1,1,31,12,00,00,24,00
6,1,6,1,1,31,12,00,00,24,00
7,1,7,1,1,31,12,00,00,24,00
8,2,1,1,1,29,2,04,00,14,30
9,2,1,1,1,29,2,19,00,23,00
10,2,1,1,3,31,10,00,00,24,00
11,2,1,1,11,31,12,04,00,14,30
12,2,1,1,11,31,12,19,00,23,00
13,2,2,1,1,29,2,04,00,14,30
14,2,2,1,1,29,2,19,00,23,00
15,2,2,1,3,31,10,00,00,24,00
16,2,2,1,11,31,12,04,00,14,30
17,2,2,1,11,31,12,19,00,23,00
18,2,3,1,1,29,2,04,00,14,30
19,2,3,1,1,29,2,19,00,23,00
20,2,3,1,3,31,10,00,00,24,00
21,2,3,1,11,31,12,04,00,14,30
22,2,3,1,11,31,12,19,00,23,00
23,2,4,1,1,29,2,04,00,14,30
24,2,4,1,1,29,2,19,00,23,00
25,2,4,1,3,31,10,00,00,24,00
26,2,4,1,11,31,12,04,00,14,30
27,2,4,1,11,31,12,19,00,23,00
28,2,5,1,1,29,2,04,00,14,30
29,2,5,1,1,29,2,19,00,23,00
30,2,5,1,3,31,10,00,00,24,00
31,2,5,1,11,31,12,04,00,14,30
32,2,5,1,11,31,12,19,00,23,00
33,2,6,1,1,29,2,04,00,14,30
34,2,6,1,1,29,2,19,00,23,00
35,2,6,1,3,31,10,00,00,24,00
36,2,6,1,11,31,12,04,00,14,30
37,2,6,1,11,31,12,19,00,23,00
38,2,7,1,1,29,2,04,00,14,30
39,2,7,1,1,29,2,19,00,23,00
40,2,7,1,3,31,10,00,00,24,00
41,2,7,1,11,31,12,04,00,14,30
42,2,7,1,11,31,12,19,00,23,00
43,3,1,1,1,29,2,00,00,07,00
44,3,1,1,1,29,2,11,00,13,30
45,3,1,1,1,29,2,19,00,24,00
46,3,1,1,3,31,10,00,00,24,00
47,3,1,1,11,31,12,00,00,07,00
48,3,1,1,11,31,12,11,00,13,30
49,3,1,1,11,31,12,19,00,24,00
50,3,2,1,1,29,2,00,00,07,00
51,3,2,1,1,29,2,11,00,13,30
52,3,2,1,1,29,2,19,00,24,00
53,3,2,1,3,31,10,00,00,24,00
54,3,2,1,11,31,12,00,00,07,00
55,3,2,1,11,31,12,11,00,13,30
56,3,2,1,11,31,12,19,00,24,00
57,3,3,1,1,29,2,00,00,07,00
58,3,3,1,1,29,2,11,00,13,30
59,3,3,1,1,29,2,19,00,24,00
60,3,3,1,3,31,10,00,00,24,00
61,3,3,1,11,31,12,00,00,07,00
62,3,3,1,11,31,12,11,00,13,30
63,3,3,1,11,31,12,19,00,24,00
64,3,4,1,1,29,2,00,00,07,00
65,3,4,1,1,29,2,11,00,13,30
66,3,4,1,1,29,2,19,00,24,00
67,3,4,1,3,31,10,00,00,24,00
68,3,4,1,11,31,12,00,00,07,00
69,3,4,1,11,31,12,11,00,13,30
70,3,4,1,11,31,12,19,00,24,00
71,3,5,1,1,29,2,00,00,07,00
72,3,5,1,1,29,2,11,00,13,30
73,3,5,1,1,29,2,19,00,24,00
74,3,5,1,3,31,10,00,00,24,00
75,3,5,1,11,31,12,00,00,07,00
76,3,5,1,11,31,12,11,00,13,30
77,3,5,1,11,31,12,19,00,24,00
78,3,6,1,1,29,2,00,00,07,00
79,3,6,1,1,29,2,11,00,13,30
80,3,6,1,1,29,2,19,00,24,00
81,3,6,1,3,31,10,00,00,24,00
82,3,6,1,11,31,12,00,00,07,00
83,3,6,1,11,31,12,11,00,13,30
84,3,6,1,11,31,12,19,00,24,00
85,3,7,1,1,29,2,00,00,07,00
86,3,7,1,1,29,2,11,00,13,30
87,3,7,1,1,29,2,19,00,24,00
88,3,7,1,3,31,10,00,00,24,00
89,3,7,1,11,31,12,00,00,07,00
90,3,7,1,11,31,12,11,00,13,30
91,3,7,1,11,31,12,19,00,24,00
92,4,1,1,1,31,12,08,30,16,00
93,4,1,1,1,31,12,19,00,20,00
94,4,2,1,1,31,12,08,30,16,00
95,4,2,1,1,31,12,19,00,20,00
96,4,3,1,1,31,12,08,30,16,00
97,4,3,1,1,31,12,19,00,20,00
98,4,4,1,1,31,12,08,30,16,00
99,4,4,1,1,31,12,19,00,20,00
100,4,5,1,1,31,12,08,30,16,00
101,4,5,1,1,31,12,19,00,20,00
102,5,1,1,1,31,3,00,00,08,00
103,5,1,1,1,31,3,13,00,16,00
104,5,1,1,1,31,3,19,30,24,00
105,5,1,1,4,31,10,00,00,24,00
106,5,1,1,11,31,12,00,00,08,00
107,5,1,1,11,31,12,13,00,16,00
108,5,1,1,11,31,12,19,30,24,00
109,5,2,1,1,31,3,00,00,08,00
110,5,2,1,1,31,3,13,00,16,00
111,5,2,1,1,31,3,19,30,24,00
112,5,2,1,4,31,10,00,00,24,00
113,5,2,1,11,31,12,00,00,08,00
114,5,2,1,11,31,12,13,00,16,00
115,5,2,1,11,31,12,19,30,24,00
116,5,3,1,1,31,3,00,00,08,00
117,5,3,1,1,31,3,13,00,16,00
118,5,3,1,1,31,3,19,30,24,00
119,5,3,1,4,31,10,00,00,24,00
120,5,3,1,11,31,12,00,00,08,00
121,5,3,1,11,31,12,13,00,16,00
122,5,3,1,11,31,12,19,30,24,00
123,5,4,1,1,31,3,00,00,08,00
124,5,4,1,1,31,3,13,00,16,00
125,5,4,1,1,31,3,19,30,24,00
126,5,4,1,4,31,10,00,00,24,00
127,5,4,1,11,31,12,00,00,08,00
128,5,4,1,11,31,12,13,00,16,00
129,5,4,1,11,31,12,19,30,24,00
130,5,5,1,1,31,3,00,00,08,00
131,5,5,1,1,31,3,13,00,16,00
132,5,5,1,1,31,3,19,30,24,00
133,5,5,1,4,31,10,00,00,24,00
134,5,5,1,11,31,12,00,00,08,00
135,5,5,1,11,31,12,13,00,16,00
136,5,5,1,11,31,12,19,30,24,00
137,5,6,1,1,31,3,00,00,24,00
138,5,6,1,4,31,10,00,00,24,00
139,5,6,1,11,31,12,00,00,24,00
140,5,7,1,1,31,3,00,00,24,00
141,5,7,1,4,31,10,00,00,24,00
142,5,7,1,11,31,12,00,00,24,00
143,6,1,1,1,31,3,00,00,07,00
144,6,1,1,1,31,3,10,30,13,30
145,6,1,1,1,31,3,19,00,24,00
146,6,1,1,4,31,10,00,00,24,00
147,6,1,1,11,31,12,00,00,07,00
148,6,1,1,11,31,12,10,30,13,30
149,6,1,1,11,31,12,19,00,24,00
150,6,2,1,1,31,3,00,00,07,00
151,6,2,1,1,31,3,10,30,13,30
152,6,2,1,1,31,3,19,00,24,00
153,6,2,1,4,31,10,00,00,24,00
154,6,2,1,11,31,12,00,00,07,00
155,6,2,1,11,31,12,10,30,13,30
156,6,2,1,11,31,12,19,00,24,00
157,6,3,1,1,31,3,00,00,07,00
158,6,3,1,1,31,3,10,30,13,30
159,6,3,1,1,31,3,19,00,24,00
160,6,3,1,4,31,10,00,00,24,00
161,6,3,1,11,31,12,00,00,07,00
162,6,3,1,11,31,12,10,30,13,30
163,6,3,1,11,31,12,19,00,24,00
164,6,4,1,1,31,3,00,00,07,00
165,6,4,1,1,31,3,10,30,13,30
166,6,4,1,1,31,3,19,00,24,00
167,6,4,1,4,31,10,00,00,24,00
168,6,4,1,11,31,12,00,00,07,00
169,6,4,1,11,31,12,10,30,13,30
170,6,4,1,11,31,12,19,00,24,00
171,6,5,1,1,31,3,00,00,07,00
172,6,5,1,1,31,3,10,30,13,30
173,6,5,1,1,31,3,19,00,24,00
174,6,5,1,4,31,10,00,00,24,00
175,6,5,1,11,31,12,00,00,07,00
176,6,5,1,11,31,12,10,30,13,30
177,6,5,1,11,31,12,19,00,24,00
178,6,6,1,1,31,3,00,00,24,00
179,6,6,1,4,31,10,00,00,24,00
180,6,6,1,11,31,12,00,00,24,00
181,6,7,1,1,31,3,00,00,24,00
182,6,7,1,4,31,10,00,00,24,00
183,6,7,1,11,31,12,00,00,24,00
184,7,1,1,1,31,3,00,00,07,00
185,7,1,1,1,31,3,13,00,16,00
186,7,1,1,1,31,3,19,00,24,00
187,7,1,1,4,31,10,00,00,24,00
188,7,1,1,11,31,12,00,00,07,00
189,7,1,1,11,31,12,13,00,16,00
190,7,1,1,11,31,12,19,00,24,00
191,7,2,1,1,31,3,00,00,07,00
192,7,2,1,1,31,3,13,00,16,00
193,7,2,1,1,31,3,19,00,24,00
194,7,2,1,4,31,10,00,00,24,00
195,7,2,1,11,31,12,00,00,07,00
196,7,2,1,11,31,12,13,00,16,00
197,7,2,1,11,31,12,19,00,24,00
198,7,3,1,1,31,3,00,00,07,00
199,7,3,1,1,31,3,13,00,16,00
200,7,3,1,1,31,3,19,00,24,00
201,7,3,1,4,31,10,00,00,24,00
202,7,3,1,11,31,12,00,00,07,00
203,7,3,1,11,31,12,13,00,16,00
204,7,3,1,11,31,12,19,00,24,00
205,7,4,1,1,31,3,00,00,07,00
206,7,4,1,1,31,3,13,00,16,00
207,7,4,1,1,31,3,19,00,24,00
208,7,4,1,4,31,10,00,00,24,00
209,7,4,1,11,31,12,00,00,07,00
210,7,4,1,11,31,12,13,00,16,00
211,7,4,1,11,31,12,19,00,24,00
212,7,5,1,1,31,3,00,00,07,00
213,7,5,1,1,31,3,13,00,16,00
214,7,5,1,1,31,3,19,00,24,00
215,7,5,1,4,31,10,00,00,24,00
216,7,5,1,11,31,12,00,00,07,00
217,7,5,1,11,31,12,13,00,16,00
218,7,5,1,11,31,12,19,00,24,00
219,7,6,1,1,31,3,00,00,24,00
220,7,6,1,4,31,10,00,00,24,00
221,7,6,1,11,31,12,00,00,24,00
222,7,7,1,1,31,3,00,00,24,00
223,7,7,1,4,31,10,00,00,24,00
224,7,7,1,11,31,12,00,00,24,00
225,8,1,1,1,31,3,00,00,07,00
226,8,1,1,1,31,3,14,00,17,00
227,8,1,1,1,31,3,19,00,24,00
228,8,1,1,4,31,10,00,00,24,00
229,8,1,1,11,31,12,00,00,07,00
230,8,1,1,11,31,12,14,00,17,00
231,8,1,1,11,31,12,19,00,24,00
232,8,2,1,1,31,3,00,00,07,00
233,8,2,1,1,31,3,14,00,17,00
234,8,2,1,1,31,3,19,00,24,00
235,8,2,1,4,31,10,00,00,24,00
236,8,2,1,11,31,12,00,00,07,00
237,8,2,1,11,31,12,14,00,17,00
238,8,2,1,11,31,12,19,00,24,00
239,8,3,1,1,31,3,00,00,07,00
240,8,3,1,1,31,3,14,00,17,00
241,8,3,1,1,31,3,19,00,24,00
242,8,3,1,4,31,10,00,00,24,00
243,8,3,1,11,31,12,00,00,07,00
244,8,3,1,11,31,12,14,00,17,00
245,8,3,1,11,31,12,19,00,24,00
246,8,4,1,1,31,3,00,00,07,00
247,8,4,1,1,31,3,14,00,17,00
248,8,4,1,1,31,3,19,00,24,00
249,8,4,1,4,31,10,00,00,24,00
250,8,4,1,11,31,12,00,00,07,00
251,8,4,1,11,31,12,14,00,17,00
252,8,4,1,11,31,12,19,00,24,00
253,8,5,1,1,31,3,00,00,07,00
254,8,5,1,1,31,3,14,00,17,00
255,8,5,1,1,31,3,19,00,24,00
256,8,5,1,4,31,10,00,00,24,00
257,8,5,1,11,31,12,00,00,07,00
258,8,5,1,11,31,12,14,00,17,00
259,8,5,1,11,31,12,19,00,24,00
260,8,6,1,1,31,3,00,00,24,00
261,8,6,1,4,31,10,00,00,24,00
262,8,6,1,11,31,12,00,00,24,00
263,8,7,1,1,31,3,00,00,24,00
264,8,7,1,4,31,10,00,00,24,00
265,8,7,1,11,31,12,00,00,24,00
266,9,1,1,1,29,2,00,00,07,00
267,9,1,1,1,29,2,19,00,24,00
268,9,1,1,3,31,10,00,00,24,00
269,9,1,1,11,31,12,00,00,07,00
270,9,1,1,11,31,12,19,00,24,00
271,9,2,1,1,29,2,00,00,07,00
272,9,2,1,1,29,2,19,00,24,00
273,9,2,1,3,31,10,00,00,24,00
274,9,2,1,11,31,12,00,00,07,00
275,9,2,1,11,31,12,19,00,24,00
276,9,3,1,1,29,2,00,00,07,00
277,9,3,1,1,29,2,19,00,24,00
278,9,3,1,3,31,10,00,00,24,00
279,9,3,1,11,31,12,00,00,07,00
280,9,3,1,11,31,12,19,00,24,00
281,9,4,1,1,29,2,00,00,07,00
282,9,4,1,1,29,2,19,00,24,00
283,9,4,1,3,31,10,00,00,24,00
284,9,4,1,11,31,12,00,00,07,00
285,9,4,1,11,31,12,19,00,24,00
286,9,5,1,1,29,2,00,00,07,00
287,9,5,1,1,29,2,19,00,24,00
288,9,5,1,3,31,10,00,00,24,00
289,9,5,1,11,31,12,00,00,07,00
290,9,5,1,11,31,12,19,00,24,00
291,9,6,1,1,29,2,00,00,07,00
292,9,6,1,1,29,2,19,00,24,00
293,9,6,1,3,31,10,00,00,24,00
294,9,6,1,11,31,12,00,00,07,00
295,9,6,1,11,31,12,19,00,24,00
296,9,7,1,1,29,2,00,00,07,00
297,9,7,1,1,29,2,19,00,24,00
298,9,7,1,3,31,10,00,00,24,00
299,9,7,1,11,31,12,00,00,07,00
300,9,7,1,11,31,12,19,00,24,00
301,10,1,1,1,31,12,00,00,07,30
302,10,1,1,1,31,12,22,30,24,00
303,10,2,1,1,31,12,00,00,07,30
304,10,2,1,1,31,12,22,30,24,00
305,10,3,1,1,31,12,00,00,07,30
306,10,3,1,1,31,12,22,30,24,00
307,10,4,1,1,31,12,00,00,07,30
308,10,4,1,1,31,12,22,30,24,00
309,10,5,1,1,31,12,00,00,07,30
310,10,5,1,1,31,12,22,30,24,00
311,10,6,1,1,31,12,00,00,07,30
312,10,6,1,1,31,12,22,30,24,00
313,10,7,1,1,31,12,00,00,07,30
314,10,7,1,1,31,12,22,30,24,00
315,11,1,1,1,31,3,00,00,07,30
316,11,1,1,1,31,3,12,00,15,00
317,11,1,1,1,31,3,20,00,24,00
318,11,1,1,4,31,10,00,00,24,00
319,11,1,1,11,31,12,00,00,07,30
320,11,1,1,11,31,12,12,00,15,00
321,11,1,1,11,31,12,20,00,24,00
322,11,2,1,1,31,3,00,00,07,30
323,11,2,1,1,31,3,12,00,15,00
324,11,2,1,1,31,3,20,00,24,00
325,11,2,1,4,31,10,00,00,24,00
326,11,2,1,11,31,12,00,00,07,30
327,11,2,1,11,31,12,12,00,15,00
328,11,2,1,11,31,12,20,00,24,00
329,11,3,1,1,31,3,00,00,07,30
330,11,3,1,1,31,3,12,00,15,00
331,11,3,1,1,31,3,20,00,24,00
332,11,3,1,4,31,10,00,00,24,00
333,11,3,1,11,31,12,00,00,07,30
334,11,3,1,11,31,12,12,00,15,00
335,11,3,1,11,31,12,20,00,24,00
336,11,4,1,1,31,3,00,00,07,30
337,11,4,1,1,31,3,12,00,15,00
338,11,4,1,1,31,3,20,00,24,00
339,11,4,1,4,31,10,00,00,24,00
340,11,4,1,11,31,12,00,00,07,30
341,11,4,1,11,31,12,12,00,15,00
342,11,4,1,11,31,12,20,00,24,00
343,11,5,1,1,31,3,00,00,07,30
344,11,5,1,1,31,3,12,00,15,00
345,11,5,1,1,31,3,20,00,24,00
346,11,5,1,4,31,10,00,00,24,00
347,11,5,1,11,31,12,00,00,07,30
348,11,5,1,11,31,12,12,00,15,00
349,11,5,1,11,31,12,20,00,24,00
350,11,6,1,1,31,3,00,00,10,00
351,11,6,1,1,31,3,14,00,24,00
352,11,6,1,4,31,10,00,00,24,00
353,11,6,1,11,31,12,00,00,10,00
354,11,6,1,11,31,12,14,00,24,00
355,11,7,1,1,31,3,00,00,10,00
356,11,7,1,1,31,3,14,00,24,00
357,11,7,1,4,31,10,00,00,24,00
358,11,7,1,11,31,12,00,00,10,00
359,11,7,1,11,31,12,14,00,24,00
360,12,1,1,1,31,3,00,00,08,00
361,12,1,1,1,31,3,19,30,24,00
362,12,1,1,4,31,10,00,00,24,00
363,12,1,1,11,31,12,00,00,08,00
364,12,1,1,11,31,12,19,30,24,00
365,12,2,1,1,31,3,00,00,08,00
366,12,2,1,1,31,3,19,30,24,00
367,12,2,1,4,31,10,00,00,24,00
368,12,2,1,11,31,12,00,00,08,00
369,12,2,1,11,31,12,19,30,24,00
370,12,3,1,1,31,3,00,00,08,00
371,12,3,1,1,31,3,19,30,24,00
372,12,3,1,4,31,10,00,00,24,00
373,12,3,1,11,31,12,00,00,08,00
374,12,3,1,11,31,12,19,30,24,00
375,12,4,1,1,31,3,00,00,08,00
376,12,4,1,1,31,3,19,30,24,00
377,12,4,1,4,31,10,00,00,24,00
378,12,4,1,11,31,12,00,00,08,00
379,12,4,1,11,31,12,19,30,24,00
380,12,5,1,1,31,3,00,00,08,00
381,12,5,1,1,31,3,19,30,24,00
382,12,5,1,4,31,10,00,00,24,00
383,12,5,1,11,31,12,00,00,08,00
384,12,5,1,11,31,12,19,30,24,00
385,12,6,1,1,31,3,00,00,24,00
386,12,6,1,4,31,10,00,00,24,00
387,12,6,1,11,31,12,00,00,24,00
388,12,7,1,1,31,3,00,00,24,00
389,12,7,1,4,31,10,00,00,24,00
390,12,7,1,11,31,12,00,00,24,00
391,13,1,1,1,31,3,00,00,07,00
392,13,1,1,1,31,3,19,00,24,00
393,13,1,1,4,31,10,00,00,24,00
394,13,1,1,11,31,12,00,00,07,00
395,13,1,1,11,31,12,19,00,24,00
396,13,2,1,1,31,3,00,00,07,00
397,13,2,1,1,31,3,19,00,24,00
398,13,2,1,4,31,10,00,00,24,00
399,13,2,1,11,31,12,00,00,07,00
400,13,2,1,11,31,12,19,00,24,00
401,13,3,1,1,31,3,00,00,07,00
402,13,3,1,1,31,3,19,00,24,00
403,13,3,1,4,31,10,00,00,24,00
404,13,3,1,11,31,12,00,00,07,00
405,13,3,1,11,31,12,19,00,24,00
406,13,4,1,1,31,3,00,00,07,00
407,13,4,1,1,31,3,19,00,24,00
408,13,4,1,4,31,10,00,00,24,00
409,13,4,1,11,31,12,00,00,07,00
410,13,4,1,11,31,12,19,00,24,00
411,13,5,1,1,31,3,00,00,07,00
412,13,5,1,1,31,3,19,00,24,00
413,13,5,1,4,31,10,00,00,24,00
414,13,5,1,11,31,12,00,00,07,00
415,13,5,1,11,31,12,19,00,24,00
416,13,6,1,1,31,3,00,00,24,00
417,13,6,1,4,31,10,00,00,24,00
418,13,6,1,11,31,12,00,00,24,00
419,13,7,1,1,31,3,00,00,24,00
420,13,7,1,4,31,10,00,00,24,00
421,13,7,1,11,31,12,00,00,24,00
422,14,1,1,1,31,3,00,00,08,00
423,14,1,1,1,31,3,13,00,16,00
424,14,1,1,4,31,10,00,00,24,00
425,14,1,1,11,31,12,00,00,08,00
426,14,1,1,11,31,12,13,00,16,00
427,14,2,1,1,31,3,00,00,08,00
428,14,2,1,1,31,3,13,00,16,00
429,14,2,1,4,31,10,00,00,24,00
430,14,2,1,11,31,12,00,00,08,00
