MTC Meter Type ID,MTC Meter Type Description,Effective From Settlement date (MMT),Effective To Settlement Date (MMT)
6A,COP6(a)  20 days memory,1996-04-01,
6B,COP6(b)  100 days memory,1996-04-01,
6C,COP6(c)  250 days memory,1996-04-01,
6D,COP6(d)  450 days memory,1996-04-01,
C5,COP 1-5,1996-04-01,
C7,Code 7,1996-04-01,
IE,Import & Export Meter,2003-09-28,
LN,Teleswitch Non-Programmable,1996-04-01,
LP,Teleswitch Programmable,1996-04-01,
NE,NHH Export Meter,2003-09-28,
NO,Temporary - No Meter or other anomaly,1996-04-01,
PH,Unmetered - pseudo Half Hour,1996-04-01,
SS,Site Specific,1996-04-01,
TN,Timeswitch Non-Programmable,1996-04-01,
TP,Timeswitch Programmable (needn't have switch load),1996-04-01,
UM,Unmetered,1996-04-01,
UN,"No Timeswitch, Non-Programmable",1996-04-01,
UP,"No Timeswitch, Programmable",1996-04-01,
XX,Not Known,1996-04-01,
