Chellow Id,Market Participant Role Code Id,Market Participant Chellow Id,Address Line 1,Effective From Date {MPR},Effective To Date {MPR}
1,1,211,Scottish And Southern Energy PLC,29/01/1999,
2,2,211,Scottish And Southern Energy PLC,29/01/1999,
3,4,211,Scottish And Southern Energy PLC,17/04/2003,
4,5,211,Southern Electric House,01/04/1996,09/03/1999
5,6,211,Scottish And Southern Energy PLC,01/04/1996,
6,7,211,Southern Electric House,01/04/1996,09/03/1999
7,8,211,Scottish And Southern Energy PLC,01/04/1996,
8,14,211,Scottish And Southern Energy PLC,01/04/1996,
9,17,211,Scottish And Southern Energy PLC,01/04/1996,
10,20,211,Scottish And Southern Energy PLC,01/04/1996,
11,22,211,Southern Electric Power Distribution Plc,01/04/1996,
12,26,211,Scottish And Southern Energy PLC,01/04/1996,
13,27,211,Scottish And Southern Energy PLC,01/04/1996,
14,28,211,Scottish And Southern Energy PLC,01/04/1996,
15,1,212,SP Distribution Ltd,13/11/1998,
16,2,212,SP Dataserve Ltd,13/11/1998,
17,4,212,SP Distribution Ltd,29/05/2003,
18,5,212,SP Dataserve Ltd,01/04/1996,
19,6,212,SP Dataserve Ltd,01/04/1996,
20,7,212,SP Dataserve Ltd,01/04/1996,
21,8,212,SP Dataserve Ltd,01/04/1996,
22,9,212,SP Energy Trading Ltd,01/04/1996,
23,13,212,SP Distribution Ltd,13/11/1998,
24,14,212,SP Distribution Ltd,01/04/1996,
25,17,212,SP Dataserve Ltd,01/04/1996,
26,18,212,SP Distribution Ltd,01/04/1996,
27,19,212,SP Distribution Ltd,01/04/1996,
28,20,212,SP Distribution Ltd,01/04/1996,
29,3,85,G4S Utility Services (UK) Ltd,19/12/2003,
30,4,85,G4S Utility Services (UK) Ltd,12/10/2007,
31,6,85,G4S Utility Services (UK) Ltd,29/10/1999,
32,8,85,G4S Utility Services (UK) Ltd,29/10/1999,
33,17,85,G4S Utility Services (UK) Ltd,12/10/2007,
34,26,87,Actaris UK Limited,20/02/2004,
35,28,89,11 Fenlock Court,03/05/2000,31/07/2003
36,29,91,West Nash,05/06/2000,
37,28,92,33 Grosvenor Place,17/12/1999,19/01/2007
38,28,93,33 Grosvenor Place,17/12/1999,09/02/2007
39,28,94,33 Grosvenor Place,17/12/1999,17/11/2006
40,28,95,33 Grosvenor Place,17/12/1999,09/02/2007
41,3,96,ORSIS UK (Ltd),02/09/2008,
42,4,96,Orsis UK (Ltd),09/11/2007,
43,28,97,Oxford Centre for Innovation,05/11/2004,10/08/2007
44,28,99,21 Tothill St.,03/05/2000,24/01/2003
45,28,101,Barnett Way,03/05/2000,23/05/2003
46,17,102,British Gas Trading Ltd,16/06/2010,
47,28,102,British Gas Trading Ltd,01/04/1996,
48,28,104,British Gas Trading Ltd,07/07/2000,
49,3,105,BGlobal Metering Limited,19/12/2003,
50,4,105,BGlobal Metering Limited,19/12/2003,
51,5,105,Bglobal Metering Ltd,16/06/2010,
52,6,105,BGlobal Metering Limited,19/12/2003,
53,7,105,Bglobal Metering Ltd,16/06/2010,
54,8,105,BGlobal Metering Limited,19/12/2003,
55,17,105,BGlobal Metering Limited,01/07/2006,
56,21,212,SP Distribution Ltd,01/04/1996,
57,22,212,SP Distribution Ltd,01/04/1996,
58,24,212,SP Transmission Ltd,01/04/1996,
59,26,212,Scottish Power Energy Retail Ltd,13/11/1998,
60,27,212,SP Dataserve Ltd,01/04/1996,
61,28,212,Scottish Power Energy Retail Ltd,01/04/1996,
62,29,212,1 Atlantic Quay,01/04/1996,
63,28,213,Spark Energy Supply Ltd,11/01/2008,
64,3,214,Stark Software,29/04/2005,
65,5,214,Stark Software International Ltd,20/07/2001,
66,6,214,Stark Software International,11/05/2009,
67,7,214,Stark Software International Ltd,20/07/2001,
68,8,214,Stark Software International,11/05/2009,
69,30,215,4-6 Church Walk,01/04/1996,
70,1,216,Western Power Distribution - South Wales,09/11/1998,
71,2,216,Western Power Distribution - South Wales,09/11/1998,
72,4,216,Western Power Distribution (South Wales),17/04/2003,09/11/2007
73,6,216,Western Power Distribution - South Wales,01/04/1996,28/02/2007
74,8,216,Western Power Distribution - South Wales,01/04/1996,31/03/2004
75,14,216,Western Power Distribution - South Wales,09/11/1998,
76,17,216,Western Power Distribution - South Wales,01/04/1996,07/09/2007
77,20,216,Western Power Distribution - South Wales,01/04/1996,
78,22,216,Western Power Distribution - South Wales,01/04/1996,
79,26,216,Newport Road,09/11/1998,
80,27,216,Western Power Distribution - South Wales,09/11/1998,
81,28,216,Scottish & Southern Energy Plc,01/04/1996,
82,1,217,Western Power Distribution,01/10/1998,
83,2,217,Western Power Distribution,01/10/1998,
84,3,217,EDF Energy Customer Field Services,18/11/2009,
85,4,217,Western Power Distribution ( South West),17/04/2003,09/11/2007
86,6,217,EDF Energy Customer Field Services,01/04/1996,
87,8,217,EDF Energy Customer Field Services,01/04/1996,
88,14,217,Western Power Distribution,27/11/1998,
89,17,217,WPD Smart metering Ltd,01/04/1996,
90,20,217,Western Power Distribution,01/04/1996,
91,22,217,Western Power Distribution,01/04/1996,
92,26,217,Gadeon House,27/11/1998,
93,27,217,Gadeon House,27/11/1998,
94,28,217,EDF Energy,01/04/1996,
95,28,220,The Team Group of Companies UK Limited,20/02/2004,
96,28,222,Total Gas and Power Ltd,20/10/2000,
97,28,223,Power4All Limited,07/12/2007,
98,3,224,TruRead Limited,07/10/2008,
