Chellow Id,Market Participant Role Code Id,Market Participant Chellow Id,Address Line 1,Effective From Date {MPR},Effective To Date {MPR},Distributor Short Code
1,6,2,G4S Utility Services (UK) Ltd,2013-12-18,,
2,7,2,G4S Utility Services (UK) Ltd,2003-12-19,,
3,8,2,G4S Utility Services (UK) Ltd,2007-10-12,,
4,11,2,G4S Utility Services (UK) Ltd,1999-10-29,,
5,13,2,G4S Utility Services (UK) Ltd,1999-10-29,,
6,22,2,G4S Utility Services (UK) Ltd,2007-10-12,,
7,31,4,Actaris UK Limited,2004-02-20,,
8,34,8,West Nash,2000-06-05,,
9,33,12,GB Energy Supply Limited,2013-08-14,,
10,7,14,ORSIS UK (Ltd),2008-09-02,,
11,8,14,Orsis UK (Ltd),2007-11-09,,
12,33,15,Ampere Energy Supply Limited,2011-06-15,2012-03-14,
13,33,16,Angel Energy Limited,2013-03-20,,
14,33,20,AXIS TELECOM LTD,2012-05-16,,
15,33,21,Axpo UK Limited,2013-05-15,,
16,33,22,Barbican Power Limited,2013-09-18,,
17,33,24,Bayswater Energy Limited,2013-03-20,,
18,1,26,British Gas Trading Ltd,2012-03-14,,
19,6,26,British Gas Trading Ltd,2013-11-20,,
20,22,26,British Gas Trading Ltd,2010-06-16,,
21,33,26,British Gas Trading Ltd,1996-04-01,,
22,33,28,British Gas Trading Ltd,2000-07-07,,
23,7,29,BGlobal Metering Limited,2003-12-19,,
24,8,29,BGlobal Metering Limited,2003-12-19,,
25,10,29,TMA Data Management Ltd,2010-06-16,,
26,11,29,BGlobal Metering Limited,2003-12-19,,
27,12,29,TMA Data Management Ltd,2010-06-16,,
28,13,29,BGlobal Metering Limited,2003-12-19,,
29,22,29,BGlobal Metering Limited,2006-07-01,,
30,22,30,BGlobal Metering Limited,2011-11-16,,
31,1,32,Electricity Plus Supply Limited,2012-09-19,,
32,33,32,Electricity Plus Supply Ltd,2004-11-05,,
33,34,33,Eggborough Power Ltd,2000-03-28,,
34,9,34,BT,2011-02-24,,
35,35,36,1 Embankment Place,1996-04-01,,
36,33,37,Extra Energy Supply Limited,2012-10-17,,
37,8,38,Inexus (Services) Limited,2005-03-25,,
38,22,38,Inexus (Services) Limited,2005-03-25,,
39,16,40,Logica UK Limited,1996-04-01,,
40,30,40,Logica UK Limited,1996-04-01,,
41,34,42,C/o InterGen (UK) Ltd,2000-08-11,,
42,4,48,MRA Service Company Limited,2011-12-14,,
43,7,48,MRA Service Company Limited,2011-12-14,,
44,8,48,MRA Service Company Limited,2011-12-14,,
45,10,48,MRA Service Company Limited,2011-12-14,,
46,11,48,MRA Service Company Limited,2011-12-14,,
47,12,48,MRA Service Company Limited,2011-12-14,,
48,13,48,MRA Service Company Limited,2011-12-14,,
49,19,48,MRA Service Company Limited,2011-12-14,,
50,21,48,MRA Service Company Limited,2011-12-14,,
51,22,48,MRA Service Company Limited,2011-12-14,,
52,25,48,MRA Service Company Limited,2011-12-14,,
53,27,48,MRA Service Company Limited,2011-12-14,,97
54,31,48,MRA Service Company Limited,2011-12-14,,
55,32,48,MRA Service Company Limited,2011-12-14,,
56,4,49,MRA Service Company Limited,2011-12-14,,
57,7,49,MRA Service Company Limited,2011-12-14,,
58,8,49,MRA Service Company Limited,2011-12-14,,
59,10,49,MRA Service Company Limited,2011-12-14,,
60,11,49,MRA Service Company Limited,2011-12-14,,
61,12,49,MRA Service Company Limited,2011-12-14,,
62,13,49,MRA Service Company Limited,2011-12-14,,
63,19,49,MRA Service Company Limited,2011-12-14,,
64,21,49,MRA Service Company Limited,2011-12-14,,
65,22,49,MRA Service Company Limited,2011-12-14,,
66,25,49,MRA Service Company Limited,2011-12-14,,
67,27,49,MRA Service Company Limited,2011-12-14,,98
68,31,49,MRA Service Company Limited,2011-12-14,,
69,32,49,MRA Service Company Limited,2011-12-14,,
70,4,50,MRA Service Company Limited,2011-12-14,,
71,7,50,MRA Service Company Limited,2011-12-14,,
72,8,50,MRA Service Company Limited,2011-12-14,,
73,10,50,MRA Service Company Limited,2011-12-14,,
74,11,50,MRA Service Company Limited,2011-12-14,,
75,12,50,MRA Service Company Limited,2011-12-14,,
76,13,50,MRA Service Company Limited,2011-12-14,,
77,19,50,MRA Service Company Limited,2011-12-14,,
78,21,50,MRA Service Company Limited,2011-12-14,,
79,22,50,MRA Service Company Limited,2011-12-14,,
80,25,50,MRA Service Company Limited,2011-12-14,,
81,27,50,MRA Service Company Limited,2011-12-14,,99
82,31,50,MRA Service Company Limited,2011-12-14,,
83,32,50,MRA Service Company Limited,2011-12-14,,
84,35,50,MRA Service Company Limited,2014-10-15,,
85,1,51,Flow Energy Ltd,2013-05-15,,
86,33,51,Flow Energy Ltd,2011-06-15,,
87,33,52,NEAS Energy Limited,2009-11-18,,
88,1,53,Opus Energy (Corporate) Ltd.,2012-07-20,,
89,33,53,Opus Energy (Corporate) Ltd.,2004-11-05,,
90,33,54,I Supply Energy Limited,2009-06-12,,
91,33,56,Coulomb Energy Supply Limited,2011-06-15,,
92,33,58,Reuben Power Supply Limited,2007-01-01,,
93,8,59,Dummy ID for Customers,2003-03-14,,
94,9,59,Dummy ID for Customers,2012-02-15,,
95,34,60,c/o Entergy Power Group,2000-03-28,,
96,10,61,Siemens Operational Services,1996-04-01,,
97,12,61,Siemens Operational Services,1996-04-01,,
98,22,61,Siemens Operational Services,1996-04-01,,
99,35,62,Data & Communications Company,2013-11-07,,
100,34,64,Windmill Hill Business Park,2000-05-03,,
101,33,67,Donnington Energy Limited,2010-07-14,,
102,34,69,Windmill Hill Business Park,1999-08-20,,
103,33,70,Dual Energy Direct Limited,2010-02-17,,
104,18,71,30 Millbank,1996-04-01,,
105,33,72,BES Commercial Electricity Ltd,2009-11-18,,
