Chellow Id,Market Participant Role Code,Market Role Description
1,0,Green Deal Licensee
2,1,Green Deal Provider
3,2,Green Deal Remittance Processor
4,3,Unmetered Supplies Operator (UMSO)
5,4,Meter Administrator (MA)
6,6,Non Half Hourly Data Retriever
7,8,Meter Asset Provider (MAP)
8,9,Communications Provider
9,A,HH Data Aggregator
10,B,Non-HH Data Aggregator
11,C,HH Data Collector
12,D,Non-HH Data Collector
13,E,Energy Trading Centre
14,F,Pool Funds Administrator
15,G,ISR/IAR Agent
16,H,GA Agent
17,I,Teleswitch Agent
18,J,Supply Fault Information Centre
19,K,Profile Administrator
20,L,Electricity Central Online ENQ Service
21,M,Meter Operator
22,N,BSP Meter User
23,O,GRS Operator
24,P,PRS Agent
25,Q,System Data Provision Operator
26,R,Distributor
27,S,Settlement System Administrator
28,T,Grid Control Company
29,U,Market Domain Data Agent
30,V,Prepayment Meter Infrastructure Provider
31,W,Revenue Protection Service
32,X,Supplier
33,Y,Generator
34,Z,Non-core Role
