"Standard Settlement Configuration ID","Time Pattern Regime ID"
"0003","00166"
"0004","00168"
"0005","00100"
"0006","00257"
"0007","00158"
"0008","00159"
"0009","01111"
"0010","01104"
"0011","01112"
"0012","01116"
"0013","00139"
"0015","00152"
"0016","00113"
"0017","00125"
"0018","00126"
"0019","00127"
"0020","00129"
"0021","00130"
"0022","00131"
"0023","00136"
"0024","00137"
"0025","00138"
"0026","00141"
"0028","00143"
"0029","00144"
"0030","00145"
"0031","00146"
"0032","00147"
"0033","00228"
"0034","00149"
"0035","00150"
"0036","00151"
"0037","00153"
"0038","00154"
"0039","00155"
"0040","00157"
"0041","00171"
"0042","00173"
"0043","00174"
"0044","00185"
"0045","00019"
"0046","00078"
"0047","00015"
"0048","00079"
"0049","00128"
"0050","00014"
"0051","00112"
"0051","00120"
"0052","00114"
"0053","00115"
"0055","00117"
"0056","00118"
"0057","00119"
"0058","00021"
"0058","00175"
"0059","00121"
"0060","00122"
"0062","01119"
"0063","00172"
"0064","01105"
"0065","00010"
"0066","01106"
"0067","00102"
"0071","00109"
"0072","00111"
"0073","00156"
"0074","00017"
"0075","00062"
"0076","00063"
"0077","00134"
"0078","00013"
"0079","00097"
"0079","00164"
"0080","00096"
"0081","00060"
"0082","00083"
"0083","00084"
"0084","00085"
"0085","00086"
"0086","01107"
"0087","01109"
"0088","01113"
"0091","00003"
"0092","00004"
"0093","00030"
"0093","00214"
"0094","01108"
"0095","01110"
"0096","01114"
"0097","00054"
"0098","00012"
"0099","00075"
"0100","00076"
"0101","00007"
"0102","00008"
"0103","00009"
"0104","00061"
"0105","00065"
"0106","00066"
"0107","00067"
"0108","00068"
"0109","00069"
"0110","01348"
"0111","00091"
"0112","00022"
"0113","00023"
"0115","00025"
"0116","00026"
"0117","01349"
"0118","00006"
"0119","01350"
"0120","00011"
"0121","00026"
"0121","00224"
"0122","00201"
"0122","00245"
"0123","01307"
"0124","01319"
"0125","01315"
"0126","01193"
"0126","01194"
"0127","00080"
"0127","00148"
"0127","00221"
"0128","01120"
"0128","01121"
"0128","01122"
"0129","00169"
"0129","00202"
"0129","00222"
"0130","01308"
"0130","01309"
"0130","01310"
"0131","01311"
"0131","01312"
"0131","01313"
"0132","00092"
"0132","00210"
"0132","00234"
"0132","00236"
"0133","00092"
"0133","00210"
"0133","00233"
"0133","00246"
"0134","00101"
"0134","00210"
"0134","00232"
"0134","00250"
"0135","00038"
"0135","00080"
"0135","00221"
"0135","00247"
"0136","00124"
"0136","00202"
"0136","00222"
"0136","00246"
"0137","00203"
"0137","00222"
"0137","00223"
"0137","00229"
"0138","00005"
"0138","00088"
"0138","00208"
"0138","00235"
"0140","01395"
"0140","01396"
"0141","00189"
"0141","00210"
"0141","00233"
"0141","00249"
"0141","00252"
"0142","00132"
"0142","00206"
"0142","00230"
"0142","00249"
"0142","00252"
"0143","00047"
"0144","00093"
"0144","00208"
"0144","00239"
"0144","00243"
"0144","00248"
"0144","00251"
"0145","00092"
"0145","00210"
"0145","00240"
"0145","00244"
"0145","00249"
"0145","00252"
"0146","00073"
"0146","00093"
"0146","00208"
"0146","00239"
"0146","00248"
"0146","00251"
"0147","00099"
"0147","00206"
"0147","00238"
"0147","00242"
"0147","00249"
"0147","00252"
"0148","01152"
"0149","01394"
"0150","00042"
"0150","00207"
"0151","00043"
"0151","00210"
"0152","00045"
"0152","00211"
"0153","00046"
"0153","00212"
"0154","00039"
"0154","00221"
"0155","00051"
"0155","00200"
"0156","01000"
"0156","01001"
"0157","01002"
"0157","01003"
"0158","01008"
"0158","01009"
"0159","00028"
"0160","01014"
"0160","01015"
"0161","01018"
"0161","01019"
"0162","01020"
"0162","01021"
"0163","01034"
"0163","01035"
"0164","01037"
"0164","01038"
"0165","01039"
"0165","01040"
"0166","01048"
"0166","01049"
"0167","01055"
"0167","01056"
"0168","01057"
"0168","01058"
"0169","01059"
"0169","01060"
"0170","01061"
"0170","01062"
"0171","01063"
"0171","01064"
"0172","01065"
"0172","01066"
"0173","01067"
"0173","01068"
"0174","01071"
"0174","01072"
"0175","01078"
"0175","01079"
"0176","01124"
"0176","01125"
"0177","01126"
"0177","01127"
"0178","01128"
"0178","01129"
"0179","01139"
"0179","01140"
"0180","01141"
"0180","01142"
"0181","01143"
"0181","01144"
"0182","01145"
"0182","01146"
"0183","01147"
"0183","01148"
"0184","01149"
"0184","01150"
"0185","01151"
"0185","01152"
"0186","01153"
"0186","01154"
"0187","01324"
"0187","01325"
"0188","01191"
"0188","01192"
"0189","01233"
"0189","01234"
"0190","01238"
"0190","01239"
"0191","01240"
"0191","01241"
"0192","01242"
"0192","01243"
"0193","01244"
"0193","01245"
"0194","01246"
"0194","01247"
"0195","01248"
"0195","01249"
"0196","01250"
"0196","01251"
"0197","01252"
"0197","01253"
"0198","01254"
"0198","01255"
"0199","01256"
"0199","01257"
"0201","01265"
"0201","01266"
"0202","01267"
"0202","01268"
"0203","01269"
"0203","01270"
"0204","01271"
"0204","01272"
"0205","01273"
"0205","01274"
"0206","01275"
"0206","01276"
"0207","01277"
"0207","01278"
"0208","01279"
"0208","01280"
"0209","01286"
"0209","01287"
"0210","01293"
"0210","01294"
"0211","01295"
"0211","01296"
"0212","01297"
"0212","01298"
"0213","01299"
"0213","01300"
"0214","01326"
"0214","01327"
"0215","01328"
"0215","01329"
"0216","01330"
"0216","01331"
"0217","01332"
"0217","01333"
"0218","01334"
"0218","01335"
"0219","01336"
"0219","01337"
"0220","01338"
"0220","01339"
"0221","01340"
"0221","01341"
"0222","01342"
"0222","01343"
"0223","01344"
"0223","01345"
"0224","01353"
"0224","01354"
"0225","01355"
"0225","01356"
"0226","01357"
"0226","01358"
"0227","01359"
"0227","01360"
"0228","01361"
"0228","01399"
"0229","01362"
"0229","01400"
"0230","01363"
"0230","01401"
"0231","01371"
"0231","01372"
"0233","01375"
"0233","01376"
"0234","01377"
"0234","01378"
"0235","01379"
"0235","01380"
"0236","01381"
"0236","01382"
"0237","01383"
"0237","01384"
"0238","01385"
"0238","01386"
"0241","01042"
"0241","01043"
"0242","00044"
"0242","00208"
"0243","00021"
"0243","00231"
"0244","00040"
"0244","00206"
"0245","01012"
"0245","01013"
"0246","00160"
"0246","00276"
"0246","00277"
"0247","01288"
"0247","01289"
"0248","01174"
"0248","01175"
"0249","01351"
"0249","01352"
"0250","00206"
"0251","00210"
"0252","00212"
"0253","01290"
"0254","01316"
"0254","01317"
"0255","01320"
"0255","01321"
"0257","00057"
"0257","00196"
"0258","00056"
"0258","00195"
"0259","00094"
"0259","00167"
"0260","00059"
"0260","00191"
"0261","00055"
"0261","00194"
"0262","00057"
"0262","00196"
"0263","01010"
"0263","01011"
"0264","01069"
"0264","01070"
"0265","00190"
"0266","00191"
"0267","00192"
"0268","00193"
"0269","00194"
"0270","00196"
"0271","01088"
"0272","01089"
"0273","01090"
"0274","01115"
"0276","01347"
"0277","00052"
"0278","00105"
"0279","00016"
"0280","00170"
"0281","00011"
"0281","00095"
"0283","01016"
"0283","01017"
"0284","00177"
"0285","00178"
"0286","00103"
"0287","01364"
"0287","01402"
"0288","01036"
"0289","01041"
"0290","01050"
"0291","01051"
"0292","01052"
"0297","01367"
"0298","01368"
"0299","01053"
"0300","01080"
"0300","01081"
"0301","01095"
"0301","01096"
"0302","01101"
"0302","01102"
"0303","01054"
"0304","01083"
"0305","01084"
"0305","01085"
"0306","01086"
"0306","01087"
"0307","01091"
"0307","01092"
"0308","01093"
"0308","01094"
"0309","01098"
"0309","01099"
"0310","01155"
"0310","01156"
"0312","01154"
"0313","01006"
"0314","00104"
"0315","00178"
"0315","00227"
"0316","00053"
"0316","00198"
"0317","00070"
"0317","00183"
"0318","00074"
"0318","00180"
"0319","00071"
"0319","00183"
"0320","00072"
"0320","00184"
"0321","01004"
"0321","01005"
"0322","01073"
"0322","01074"
"0323","01284"
"0323","01285"
"0324","01007"
"0325","00183"
"0325","00186"
"0325","00206"
"0326","00184"
"0326","00187"
"0326","00210"
"0327","00135"
"0327","00198"
"0327","00222"
"0328","01022"
"0328","01023"
"0328","01024"
"0329","01027"
"0329","01028"
"0329","01029"
"0330","01075"
"0330","01076"
"0330","01077"
"0331","01167"
"0331","01168"
"0331","01169"
"0332","01235"
"0332","01236"
"0332","01237"
"0334","01131"
"0334","01132"
"0334","01133"
"0335","00018"
"0336","00020"
"0337","00082"
"0338","01365"
"0338","01366"
"0339","01025"
"0340","01030"
"0341","01032"
"0342","01123"
"0343","01134"
"0344","01135"
"0344","01136"
"0344","01137"
"0345","01138"
"0346","01130"
"0347","00048"
"0348","00049"
"0349","00050"
"0349","00222"
"0350","01047"
"0351","01082"
"0352","01097"
"0353","01103"
"0354","00064"
"0355","01392"
"0355","01393"
"0357","01200"
"0357","01201"
"0358","01202"
"0358","01203"
"0359","01204"
"0359","01205"
"0360","01206"
"0360","01207"
"0361","01208"
"0361","01209"
"0362","01210"
"0362","01211"
"0363","01212"
"0363","01213"
"0364","01214"
"0364","01215"
"0365","01216"
"0365","01217"
"0366","01218"
"0366","01219"
"0367","01220"
"0367","01221"
"0368","01222"
"0368","01223"
"0369","01224"
"0369","01225"
"0370","01226"
"0370","01227"
"0371","01228"
"0371","01229"
"0372","01180"
"0372","01181"
"0373","00031"
"0373","00213"
"0374","00030"
"0374","00214"
"0375","00032"
"0375","00215"
"0376","00034"
"0376","00216"
"0377","00035"
"0377","00217"
"0378","00036"
"0378","00218"
"0380","00037"
"0380","00220"
"0381","01170"
"0381","01171"
"0382","01172"
"0382","01173"
"0384","01185"
"0384","01186"
"0385","01260"
"0385","01261"
"0386","01184"
"0387","01183"
"0388","01262"
"0388","01263"
"0389","01182"
"0390","01291"
"0390","01292"
"0391","00029"
"0392","00090"
"0393","00001"
"0394","01176"
"0394","01177"
"0395","01044"
"0395","01045"
"0395","01046"
"0396","01323"
"0397","01346"
"0398","00072"
"0399","00027"
"0400","00058"
"0400","00190"
"0401","01157"
"0403","01178"
"0403","01179"
"0404","01161"
"0404","01162"
"0405","01163"
"0406","00077"
"0407","00081"
"0408","00087"
"0409","00089"
"0410","00098"
"0411","00106"
"0412","00107"
"0413","00108"
"0414","00110"
"0415","00165"
"0416","00179"
"0417","00209"
"0418","00188"
"0419","00176"
"0420","00253"
"0421","00222"
"0422","00254"
"0423","00255"
"0424","00256"
"0425","01100"
"0426","01189"
"0426","01190"
"0427","01118"
