"Meter Timeswitch Class Id","Effective From Settlement Date {MTC}","Effective To Settlement Date {MTC}","Meter Timeswitch Class Description","MTC Common Code Indicator","MTC Related Metering System Indicator","MTC Meter Type Id","MTC Payment Type Id","MTC Communication Indicator","MTC Type Indicator","MTC TPR Count"
"1","01/04/1996","","","F","F","","","","",""
"2","01/04/1996","","","F","F","","","","",""
"3","01/04/1996","","","F","F","","","","",""
"4","01/04/1996","","","F","F","","","","",""
"5","01/04/1996","","","F","F","","","","",""
"6","01/04/1996","","","F","F","","","","",""
"7","01/04/1996","","","F","F","","","","",""
"8","01/04/1996","","","F","F","","","","",""
"9","01/04/1996","","","F","F","","","","",""
"10","01/04/1996","","","F","F","","","","",""
"11","01/04/1996","","","F","F","","","","",""
"12","01/04/1996","","","F","F","","","","",""
"13","01/04/1996","","","F","F","","","","",""
"14","01/04/1996","","","F","F","","","","",""
"15","01/04/1996","","","F","F","","","","",""
"16","01/04/1996","","","F","F","","","","",""
"17","01/04/1996","","","F","F","","","","",""
"18","01/04/1996","","","F","F","","","","",""
"19","01/04/1996","","","F","F","","","","",""
"20","01/04/1996","","","F","F","","","","",""
"21","01/04/1996","","","F","F","","","","",""
"22","01/04/1996","","","F","F","","","","",""
"23","01/04/1996","","","F","F","","","","",""
"24","01/04/1996","","","F","F","","","","",""
"25","01/04/1996","","","F","F","","","","",""
"26","01/04/1996","","","F","F","","","","",""
"27","01/04/1996","","","F","F","","","","",""
"28","01/04/1996","","","F","F","","","","",""
"29","01/04/1996","","","F","F","","","","",""
"30","01/04/1996","","","F","F","","","","",""
"31","01/04/1996","","","F","F","","","","",""
"32","01/04/1996","","","F","F","","","","",""
"33","01/04/1996","","","F","F","","","","",""
"34","01/04/1996","","","F","F","","","","",""
"35","01/04/1996","","","F","F","","","","",""
"36","01/04/1996","","","F","F","","","","",""
"37","01/04/1996","","","F","F","","","","",""
"38","01/04/1996","","","F","F","","","","",""
"39","01/04/1996","","","F","F","","","","",""
"40","01/04/1996","","","F","F","","","","",""
"41","01/04/1996","","","F","F","","","","",""
"42","01/04/1996","","","F","F","","","","",""
"43","01/04/1996","","","F","F","","","","",""
"44","01/04/1996","","","F","F","","","","",""
"45","01/04/1996","","","F","F","","","","",""
"46","01/04/1996","","","F","F","","","","",""
"47","01/04/1996","","","F","F","","","","",""
"48","01/04/1996","","","F","F","","","","",""
"49","01/04/1996","","","F","F","","","","",""
"50","01/04/1996","","","F","F","","","","",""
"51","01/04/1996","","","F","F","","","","",""
"52","01/04/1996","","","F","F","","","","",""
"53","01/04/1996","","","F","F","","","","",""
"54","01/04/1996","","","F","F","","","","",""
"55","01/04/1996","","","F","F","","","","",""
"56","01/04/1996","","","F","F","","","","",""
"57","01/04/1996","","","F","F","","","","",""
"58","01/04/1996","","","F","F","","","","",""
"59","01/04/1996","","","F","F","","","","",""
"60","01/04/1996","","","F","F","","","","",""
"61","01/04/1996","","","F","F","","","","",""
"62","01/04/1996","","","F","F","","","","",""
"63","01/04/1996","","","F","F","","","","",""
"64","01/04/1996","","","F","F","","","","",""
"65","01/04/1996","","","F","F","","","","",""
"66","01/04/1996","","","F","F","","","","",""
"67","01/04/1996","","","F","F","","","","",""
"68","01/04/1996","","","F","F","","","","",""
"69","01/04/1996","","","F","F","","","","",""
"70","01/04/1996","","","F","F","","","","",""
"71","01/04/1996","","","F","F","","","","",""
"72","01/04/1996","","","F","F","","","","",""
"73","01/04/1996","","","F","F","","","","",""
"74","01/04/1996","","","F","F","","","","",""
"75","01/04/1996","","","F","F","","","","",""
"76","01/04/1996","","","F","F","","","","",""
"77","01/04/1996","","","F","F","","","","",""
"78","01/04/1996","","","F","F","","","","",""
"79","01/04/1996","","","F","F","","","","",""
"80","01/04/1996","","","F","F","","","","",""
"81","01/04/1996","","","F","F","","","","",""
"82","01/04/1996","","","F","F","","","","",""
"83","01/04/1996","","","F","F","","","","",""
"84","01/04/1996","","","F","F","","","","",""
"85","01/04/1996","","","F","F","","","","",""
"86","01/04/1996","","","F","F","","","","",""
"87","01/04/1996","","","F","F","","","","",""
"88","01/04/1996","","","F","F","","","","",""
"89","01/04/1996","","","F","F","","","","",""
"90","01/04/1996","","","F","F","","","","",""
"91","01/04/1996","","","F","F","","","","",""
"92","01/04/1996","","","F","F","","","","",""
"93","01/04/1996","","","F","F","","","","",""
"94","01/04/1996","","","F","F","","","","",""
"95","01/04/1996","","","F","F","","","","",""
"96","01/04/1996","","","F","F","","","","",""
"97","01/04/1996","","","F","F","","","","",""
"98","01/04/1996","","","F","F","","","","",""
"99","01/04/1996","","","F","F","","","","",""
"100","01/04/1996","","","F","F","","","","",""
"101","01/04/1996","","","F","F","","","","",""
"102","01/04/1996","","","F","F","","","","",""
"103","01/04/1996","","","F","F","","","","",""
"104","01/04/1996","","","F","F","","","","",""
"105","01/04/1996","","","F","F","","","","",""
"106","01/04/1996","","","F","F","","","","",""
"107","01/04/1996","","","F","F","","","","",""
"108","01/04/1996","","","F","F","","","","",""
"109","01/04/1996","","","F","F","","","","",""
"110","01/04/1996","","","F","F","","","","",""
"111","01/04/1996","","","F","F","","","","",""
"112","01/04/1996","","","F","F","","","","",""
"113","01/04/1996","","","F","F","","","","",""
"114","01/04/1996","","","F","F","","","","",""
"115","01/04/1996","","","F","F","","","","",""
"116","10/11/2000","","","F","F","","","","",""
"117","10/11/2000","","","F","F","","","","",""
"118","01/04/1996","","","F","F","","","","",""
"119","01/04/1996","","","F","F","","","","",""
"120","01/04/1996","","","F","F","","","","",""
"121","01/04/1996","","","F","F","","","","",""
"122","01/04/1996","","","F","F","","","","",""
"123","01/04/1996","","","F","F","","","","",""
"124","01/04/1996","","","F","F","","","","",""
"125","01/04/1996","","","F","F","","","","",""
"126","01/04/1996","","","F","F","","","","",""
"127","01/04/1996","","","F","F","","","","",""
"128","01/04/1996","","","F","F","","","","",""
"129","01/04/1996","","","F","F","","","","",""
"130","01/04/1996","","","F","F","","","","",""
"131","01/04/1996","","","F","F","","","","",""
"132","01/04/1996","","","F","F","","","","",""
"133","01/04/1996","","","F","F","","","","",""
"134","01/04/1996","","","F","F","","","","",""
"135","01/04/1996","","","F","F","","","","",""
"136","01/04/1996","","","F","F","","","","",""
"137","01/04/1996","","","F","F","","","","",""
"138","01/04/1996","","","F","F","","","","",""
"139","01/04/1996","","","F","F","","","","",""
"140","01/04/1996","","","F","F","","","","",""
"141","01/04/1996","","","F","F","","","","",""
"142","01/04/1996","","","F","F","","","","",""
"143","01/04/1996","","","F","F","","","","",""
"144","01/04/1996","","","F","F","","","","",""
"145","01/04/1996","","","F","F","","","","",""
"146","01/04/1996","","","F","F","","","","",""
"147","01/04/1996","","","F","F","","","","",""
"148","01/04/1996","","","F","F","","","","",""
"149","01/04/1996","","","F","F","","","","",""
"150","01/04/1996","","","F","F","","","","",""
"151","01/04/1996","","","F","F","","","","",""
"152","01/04/1996","","","F","F","","","","",""
"153","01/04/1996","","","F","F","","","","",""
"154","01/04/1996","","","F","F","","","","",""
"155","01/04/1996","","","F","F","","","","",""
"156","01/04/1996","","","F","F","","","","",""
"157","01/04/1996","","","F","F","","","","",""
"158","01/04/1996","","","F","F","","","","",""
"166","01/04/1996","","","F","F","","","","",""
"167","01/04/1996","","","F","F","","","","",""
"168","01/04/1996","","","F","F","","","","",""
"169","01/04/1996","","","F","F","","","","",""
"176","01/04/1996","","","F","F","","","","",""
"177","01/04/1996","","","F","F","","","","",""
"178","01/04/1996","","","F","F","","","","",""
"179","01/04/1996","","","F","F","","","","",""
"180","01/04/1996","","","F","F","","","","",""
"181","01/04/1996","","","F","F","","","","",""
"182","01/04/1996","","","F","F","","","","",""
"183","01/04/1996","","","F","F","","","","",""
"184","01/04/1996","","","F","F","","","","",""
"185","01/04/1996","","","F","F","","","","",""
"186","01/04/1996","","","F","F","","","","",""
"187","01/04/1996","","","F","F","","","","",""
"188","01/04/1996","","","F","F","","","","",""
"189","01/04/1996","","","F","F","","","","",""
"190","01/04/1996","","","F","F","","","","",""
"191","01/04/1996","","","F","F","","","","",""
"192","01/04/1996","","","F","F","","","","",""
"193","01/04/1996","","","F","F","","","","",""
"194","01/04/1996","","","F","F","","","","",""
"195","01/04/1996","","","F","F","","","","",""
"196","01/04/1996","","","F","F","","","","",""
"197","01/04/1996","","","F","F","","","","",""
"200","01/04/1996","","","F","F","","","","",""
"201","01/04/1996","","","F","F","","","","",""
"203","01/04/1996","","","F","F","","","","",""
"204","01/04/1996","","","F","F","","","","",""
"205","01/04/1996","","","F","F","","","","",""
"207","01/04/1996","","","F","F","","","","",""
"208","01/04/1996","","","F","F","","","","",""
"209","01/04/1996","","","F","F","","","","",""
"211","01/04/1996","","","F","F","","","","",""
"212","01/04/1996","","","F","F","","","","",""
"213","01/04/1996","","","F","F","","","","",""
"214","01/04/1996","","","F","F","","","","",""
"215","01/04/1996","","","F","F","","","","",""
"216","01/04/1996","","","F","F","","","","",""
"217","01/04/1996","","","F","F","","","","",""
"220","01/04/1996","","","F","F","","","","",""
"221","01/04/1996","","","F","F","","","","",""
"222","01/04/1996","","","F","F","","","","",""
"223","01/04/1996","","","F","F","","","","",""
"252","01/04/1996","","","F","F","","","","",""
"253","01/04/1996","","","F","F","","","","",""
"260","01/04/1996","","","F","F","","","","",""
"261","01/04/1996","","","F","F","","","","",""
"262","01/04/1996","","","F","F","","","","",""
"263","01/04/1996","","","F","F","","","","",""
"264","01/04/1996","","","F","F","","","","",""
"265","01/04/1996","","","F","F","","","","",""
"272","08/07/2005","","","F","F","","","","",""
