"Standard Settlement Configuration ID","Effective From Settlement Date (SSC)","Effective To Settlement Date (SSC)","Standard Settlement Configuration Description","Standard Settlement Configuration Type","Teleswitch User ID","Teleswitch Group ID"
"0003","01/04/1996","","10-hour OP","I","",""
"0004","01/04/1996","","10-hour OP","I","",""
"0005","01/04/1996","","10-hour OP + w/e","I","",""
"0006","01/04/1996","","10.5-hour OP","I","",""
"0007","01/04/1996","","10.5-hour OP","I","",""
"0008","01/04/1996","","10.5-hour OP","I","",""
"0009","01/04/1996","","10.5-hour OP","I","3","86"
"0010","01/04/1996","","10.5-hour OP","I","3","70"
"0011","01/04/1996","","10.5-hour OP","I","3","87"
"0012","01/04/1996","","10.5-hour OP","I","3","91"
"0013","01/04/1996","","11 Hour OP","I","",""
"0015","01/04/1996","","11 Hour OP","I","",""
"0016","01/04/1996","","11.5-hour OP","I","",""
"0017","01/04/1996","","11.5-hour OP","I","",""
"0018","01/04/1996","","11.5-hour OP","I","",""
"0019","01/04/1996","","11.5-hour OP","I","",""
"0020","01/04/1996","","11.5-hour OP","I","",""
"0021","01/04/1996","","11.5-hour OP","I","",""
"0022","01/04/1996","","11.5-hour OP","I","",""
"0023","01/04/1996","","11-hour OP","I","",""
"0024","01/04/1996","","11-hour OP","I","",""
"0025","01/04/1996","","11-hour OP","I","",""
"0026","01/04/1996","","11-hour OP","I","",""
"0028","01/04/1996","","11-hour OP","I","",""
"0029","01/04/1996","","11-hour OP","I","",""
"0030","01/04/1996","","11-hour OP","I","",""
"0031","01/04/1996","","11-hour OP","I","",""
"0032","01/04/1996","","11-hour OP","I","",""
"0033","01/04/1996","","11-hour OP","I","",""
"0034","01/04/1996","","11-hour OP","I","",""
"0035","01/04/1996","","11-hour OP","I","",""
"0036","01/04/1996","","11-hour OP","I","",""
"0037","01/04/1996","","11-hour OP","I","",""
"0038","01/04/1996","","11-hour OP","I","",""
"0039","01/04/1996","","11-hour OP","I","",""
"0040","01/04/1996","","11.5-hour OP","I","",""
"0041","01/04/1996","","8.5-hour OP","I","",""
"0042","01/04/1996","","9-hour OP","I","",""
"0043","01/04/1996","","9-hour OP","I","",""
"0044","01/04/1996","","8.5-hour OP","I","",""
"0045","01/04/1996","","11-hour OP + Summer","I","",""
"0046","01/04/1996","","11-hour OP + w/e","I","",""
"0047","01/04/1996","","11-hour OP + w/e & Summer","I","",""
"0048","01/04/1996","","11-hour OP + weekends","I","",""
"0049","01/04/1996","","11.5-hour OP","I","",""
"0050","01/04/1996","","12-hour  OP + w/e & Summer","I","",""
"0051","01/04/1996","","12-hour night","I","",""
"0052","01/04/1996","","12-hour OP","I","",""
"0053","01/04/1996","","12-hour OP","I","",""
"0055","01/04/1996","","12-hour OP","I","",""
"0056","01/04/1996","","12-hour OP","I","",""
"0057","01/04/1996","","12-hour OP","I","",""
"0058","01/04/1996","","Key Meter pseudo 2-rate","I","",""
"0059","01/04/1996","","12-hour OP","I","",""
"0060","01/04/1996","","12-hour OP","I","",""
"0062","01/04/1996","","8-hour OP (see also SSC 427)","I","4","9"
"0063","01/04/1996","","9-hour OP","I","",""
"0064","01/04/1996","","12-hour OP","I","3","80"
"0065","01/04/1996","","12-hour OP + Summer","I","",""
"0066","01/04/1996","","12-hour OP + Summer","I","3","81"
"0067","01/04/1996","","12.5-hour OP","I","",""
"0071","01/04/1996","","12.5-hour OP","I","",""
"0072","01/04/1996","","12.5-hour OP","I","",""
"0073","01/04/1996","","12.5-hour OP","I","",""
"0074","01/04/1996","","12.5-hour OP + Summer","I","",""
"0075","01/04/1996","","12.5-hour OP + w/e","I","",""
"0076","01/04/1996","","12.5-hour OP + w/e","I","",""
"0077","01/04/1996","","12.5-hour OP + w/e","I","",""
"0078","01/04/1996","","12.5-hour OP + w/e & Summer","I","",""
"0079","01/04/1996","","14-hour E7","I","",""
"0080","01/04/1996","","14-hour Off Peak","I","",""
"0081","01/04/1996","","14-hour OP + Sun","I","",""
"0082","01/04/1996","","14.5-hour OP","I","",""
"0083","01/04/1996","","14.5-hour OP","I","",""
"0084","01/04/1996","","14.5-hour OP","I","",""
"0085","01/04/1996","","14.5-hour OP","I","",""
"0086","01/04/1996","","14.5-hour OP","I","3","82"
"0087","01/04/1996","","14.5-hour OP","I","3","84"
"0088","01/04/1996","","14.5-hour OP","I","3","88"
"0091","01/04/1996","","14.5-hour OP + Summer","I","",""
"0092","01/04/1996","","14.5-hour OP + Summer","I","",""
"0093","01/04/1996","","split 7-hour E7","I","",""
"0094","01/04/1996","","14.5-hour OP + Summer","I","3","83"
"0095","01/04/1996","","14.5-hour OP + Summer","I","3","85"
"0096","01/04/1996","","14.5-hour OP + Summer","I","3","89"
"0097","01/04/1996","","14.5-hour OP + w/e","I","",""
"0098","01/04/1996","","14.5-hour OP + w/e & Summer","I","",""
"0099","01/04/1996","","15-hour OP","I","",""
"0100","01/04/1996","","15-hour OP","I","",""
"0101","01/04/1996","","15-hour OP + w/e & Summer","I","",""
"0102","01/04/1996","","15-hour OP + w/e & Summer","I","",""
"0103","01/04/1996","","15-hour OP + w/e & Summer","I","",""
"0104","01/04/1996","","15.5-hour OP","I","",""
"0105","01/04/1996","","15.5-hour OP","I","",""
"0106","01/04/1996","","15.5-hour OP","I","",""
"0107","01/04/1996","","15.5-hour OP","I","",""
"0108","01/04/1996","","15.5-hour OP","I","",""
"0109","01/04/1996","","15.5-hour OP","I","",""
"0110","01/04/1996","","15.5-hour OP","I","10","50"
"0111","01/04/1996","","15.5-hour OP + Summer","I","",""
"0112","01/04/1996","","15.5-hour OP + w/e","I","",""
"0113","01/04/1996","","15.5-hour OP + w/e","I","",""
"0115","01/04/1996","","15.5-hour OP + w/e","I","",""
"0116","01/04/1996","","15.5-hour OP + w/e","I","",""
"0117","01/04/1996","","15.5-hour OP + w/e","I","10","55"
"0118","01/04/1996","","15.5-hour OP + w/e & Summer","I","",""
"0119","01/04/1996","","15.5-hour OP + w/e & Summer","I","10","56"
"0120","01/04/1996","","9-hour OP","I","",""
"0121","01/04/1996","","2-rate terms","I","",""
"0122","01/04/1996","","2-rate SToD","I","",""
"0123","01/04/1996","","2-rate variable SToD","I","9","8"
"0124","01/04/1996","","2-rate variable SToD","I","9","32"
"0125","01/04/1996","","2-rate variable SToD","I","9","16"
"0126","01/04/1996","","7-hour E7","I","5","99"
"0127","01/04/1996","","3-rate SToD","I","",""
"0128","01/04/1996","","Dom/Non-dom Seasonal (link SSC 0342)","I","4","52"
"0129","01/04/1996","","3-rate SToD","I","",""
"0130","01/04/1996","","3-rate variable","I","9","10"
"0131","01/04/1996","","3-rate variable","I","9","15"
"0132","01/04/1996","","4-rate SToD","I","",""
"0133","01/04/1996","","4-rate SToD","I","",""
"0134","01/04/1996","","4-rate SToD","I","",""
"0135","01/04/1996","","4-rate SToD","I","",""
"0136","01/04/1996","","4-rate SToD","I","",""
"0137","01/04/1996","","4-rate SToD","I","",""
"0138","01/04/1996","","4-rate SToD","I","",""
"0140","01/04/1996","","split 7-hour E7","I","12","23"
"0141","01/04/1996","","5-rate SToD","I","",""
"0142","01/04/1996","","5-rate SToD","I","",""
"0143","01/04/1996","","15-hour OP","I","",""
"0144","01/04/1996","","6-rate SToD","I","",""
"0145","01/04/1996","","6-rate SToD","I","",""
"0146","01/04/1996","","6-rate SToD","I","",""
"0147","01/04/1996","","6-rate SToD","I","",""
"0148","01/04/1996","","7-hour OP (see also SSC 0185)","I","4","98"
"0149","01/04/1996","","Smart 7, heating","I","12","92"
"0150","01/04/1996","","7-hour E7","I","",""
"0151","01/04/1996","","7-hour E7","I","",""
"0152","01/04/1996","","7-hour E7","I","",""
"0153","01/04/1996","","7-hour E7","I","",""
"0154","01/04/1996","","7-hour E7","I","",""
"0155","01/04/1996","","split 7-hour E7","I","",""
"0156","01/04/1996","","7-hour E7","I","1","1"
"0157","01/04/1996","","7-hour E7","I","1","2"
"0158","01/04/1996","","7-hour E7","I","1","7"
"0159","01/04/1996","","12-hour OP","I","",""
"0160","01/04/1996","","7-hour E7","I","2","7"
"0161","01/04/1996","","7-hour E7","I","2","17"
"0162","01/04/1996","","7-hour E7","I","2","27"
"0163","01/04/1996","","7-hour E7","I","2","37"
