"Time Pattern Regime Id","Tele-switch/Clock Indicator","GMT Indicator"
"00001","C","N"
"00003","C","Y"
"00004","C","Y"
"00005","C","N"
"00006","C","Y"
"00007","C","Y"
"00008","C","Y"
"00009","C","Y"
"00010","C","Y"
"00011","C","Y"
"00012","C","Y"
"00013","C","Y"
"00014","C","Y"
"00015","C","Y"
"00016","C","Y"
"00017","C","Y"
"00018","C","Y"
"00019","C","Y"
"00020","C","Y"
"00021","C","Y"
"00022","C","Y"
"00023","C","Y"
"00025","C","Y"
"00026","C","Y"
"00027","C","Y"
"00028","C","Y"
"00029","C","Y"
"00030","C","Y"
"00031","C","Y"
"00032","C","Y"
"00034","C","Y"
"00035","C","Y"
"00036","C","Y"
"00037","C","Y"
"00038","C","N"
"00039","C","N"
"00040","C","Y"
"00042","C","Y"
"00043","C","Y"
"00044","C","N"
"00045","C","Y"
"00046","C","Y"
"00047","C","Y"
"00048","C","Y"
"00049","C","Y"
"00050","C","Y"
"00051","C","Y"
"00052","C","Y"
"00053","C","Y"
"00054","C","Y"
"00055","C","Y"
"00056","C","N"
"00057","C","Y"
"00058","C","Y"
"00059","C","Y"
"00060","C","Y"
"00061","C","Y"
"00062","C","Y"
"00063","C","Y"
"00064","C","Y"
"00065","C","Y"
"00066","C","Y"
"00067","C","Y"
"00068","C","Y"
"00069","C","Y"
"00070","C","Y"
"00071","C","Y"
"00072","C","Y"
"00073","C","N"
"00074","C","Y"
"00075","C","Y"
"00076","C","Y"
"00077","C","Y"
"00078","C","Y"
"00079","C","Y"
"00080","C","N"
"00081","C","Y"
"00082","C","Y"
"00083","C","Y"
"00084","C","Y"
"00085","C","Y"
"00086","C","Y"
"00087","C","Y"
"00088","C","N"
"00089","C","Y"
"00090","C","Y"
"00091","C","Y"
"00092","C","Y"
"00093","C","N"
"00094","C","Y"
"00095","C","Y"
"00096","C","Y"
"00097","C","Y"
"00098","C","Y"
"00099","C","Y"
"00100","C","Y"
"00101","C","Y"
"00102","C","Y"
"00103","C","Y"
"00104","C","Y"
"00105","C","Y"
"00106","C","Y"
"00107","C","Y"
"00108","C","Y"
"00109","C","Y"
"00110","C","Y"
"00111","C","Y"
"00112","C","Y"
"00113","C","Y"
"00114","C","Y"
"00115","C","Y"
"00117","C","Y"
"00118","C","Y"
"00119","C","Y"
"00120","C","Y"
"00121","C","Y"
"00122","C","Y"
"00124","C","Y"
"00125","C","Y"
"00126","C","Y"
"00127","C","Y"
"00128","C","Y"
"00129","C","Y"
"00130","C","Y"
"00131","C","Y"
"00132","C","Y"
"00134","C","Y"
"00135","C","Y"
"00136","C","Y"
"00137","C","Y"
"00138","C","Y"
"00139","C","Y"
"00141","C","Y"
"00143","C","Y"
"00144","C","Y"
"00145","C","Y"
"00146","C","Y"
"00147","C","Y"
"00148","C","N"
"00149","C","Y"
"00150","C","Y"
"00151","C","Y"
"00152","C","Y"
"00153","C","Y"
"00154","C","Y"
"00155","C","Y"
"00156","C","Y"
"00157","C","Y"
"00158","C","Y"
"00159","C","Y"
"00160","C","N"
"00164","C","Y"
"00165","C","Y"
"00166","C","Y"
"00167","C","Y"
"00168","C","Y"
"00169","C","Y"
"00170","C","Y"
"00171","C","Y"
"00172","C","Y"
"00173","C","Y"
"00174","C","Y"
"00175","C","Y"
"00176","C","Y"
"00177","C","Y"
"00178","C","Y"
"00179","C","Y"
"00180","C","Y"
"00183","C","Y"
"00184","C","Y"
"00185","C","Y"
"00186","C","Y"
"00187","C","Y"
"00188","C","Y"
"00189","C","Y"
"00190","C","Y"
"00191","C","Y"
"00192","C","Y"
"00193","C","Y"
"00194","C","Y"
"00195","C","N"
"00196","C","Y"
"00198","C","Y"
"00200","C","Y"
"00201","C","Y"
"00202","C","Y"
"00203","C","Y"
"00206","C","Y"
"00207","C","Y"
"00208","C","N"
"00209","C","Y"
"00210","C","Y"
"00211","C","Y"
"00212","C","Y"
"00213","C","Y"
"00214","C","Y"
"00215","C","Y"
"00216","C","Y"
"00217","C","Y"
"00218","C","Y"
"00220","C","Y"
"00221","C","N"
"00222","C","Y"
"00223","C","Y"
"00224","C","Y"
"00227","C","Y"
"00228","C","Y"
"00229","C","Y"
"00230","C","Y"
"00231","C","Y"
"00232","C","Y"
"00233","C","Y"
"00234","C","Y"
"00235","C","N"
"00236","C","Y"
"00238","C","Y"
"00239","C","N"
"00240","C","Y"
"00242","C","Y"
"00243","C","N"
"00244","C","Y"
"00245","C","Y"
"00246","C","Y"
"00247","C","N"
"00248","C","N"
"00249","C","Y"
"00250","C","Y"
"00251","C","N"
"00252","C","Y"
"00253","C","Y"
"00254","C","Y"
"00255","C","Y"
"00256","C","Y"
"00257","C","Y"
"00258","C","Y"
"00259","C","Y"
"00260","C","Y"
"00261","C","Y"
"00262","C","Y"
"00263","C","Y"
"00264","C","Y"
"00265","C","Y"
"00269","C","Y"
"00270","C","N"
"00271","C","N"
"00272","C","N"
"00273","C","N"
"00274","C","N"
"00275","C","N"
"00276","C","N"
"00277","C","N"
"00278","C","Y"
"00279","C","Y"
"00280","C","Y"
"00281","C","Y"
"00282","C","Y"
"00283","C","Y"
"00284","C","Y"
"00285","C","Y"
"00286","C","Y"
"00287","C","Y"
"00288","C","Y"
"00289","C","Y"
"00290","C","Y"
"00291","C","Y"
"00292","C","Y"
"00293","C","Y"
"00294","C","Y"
"00295","C","Y"
"00296","C","Y"
"00297","C","Y"
"00298","C","Y"
"00299","C","Y"
"00300","C","Y"
"00301","C","N"
"00302","C","N"
"00303","C","N"
"00306","C","N"
"00307","C","Y"
"00308","C","Y"
"00309","C","Y"
"00310","C","Y"
"00311","C","Y"
"00312","C","Y"
"00313","C","Y"
"00314","C","Y"
"00315","C","Y"
"00316","C","Y"
