"GSP Group Id","Market Participant Id","Market Participant Role Code","Effective From Date {MPR}","Effective From Settlement Date {GGD}","Effective To Settlement Date {GGD}"
"_A","EELC","R","01/04/1996","01/04/1996",""
"_A","SOUT","R","01/04/1996","23/01/2004",""
"_A","IPNL","R","01/08/2004","01/08/2004",""
"_A","GUCL","R","03/06/2005","12/08/2005",""
"_A","LENG","R","01/04/2005","24/03/2006",""
"_A","ETCL","R","26/05/2006","01/09/2006",""
"_B","EMEB","R","01/04/1996","01/04/1996",""
"_B","SOUT","R","01/04/1996","23/01/2004",""
"_B","IPNL","R","01/08/2004","01/08/2004",""
"_B","GUCL","R","03/06/2005","12/08/2005",""
"_B","ETCL","R","26/05/2006","01/09/2006",""
"_B","LENG","R","01/04/2005","07/10/2008",""
"_C","LOND","R","01/04/1996","01/04/1996",""
"_C","SOUT","R","01/04/1996","23/01/2004",""
"_C","IPNL","R","01/08/2004","01/08/2004",""
"_C","LENG","R","01/04/2005","01/04/2005",""
"_C","GUCL","R","03/06/2005","12/08/2005",""
"_C","ETCL","R","26/05/2006","01/09/2006",""
"_D","MANW","R","01/04/1996","01/04/1996",""
"_D","IPNL","R","01/08/2004","01/08/2004",""
"_D","GUCL","R","03/06/2005","12/08/2005",""
"_D","SOUT","R","01/04/1996","03/03/2006",""
"_D","ETCL","R","26/05/2006","01/09/2006",""
"_D","LENG","R","01/04/2005","07/10/2008",""
"_E","MIDE","R","01/04/1996","01/04/1996",""
"_E","SOUT","R","01/04/1996","23/01/2004",""
"_E","IPNL","R","01/08/2004","01/08/2004",""
"_E","GUCL","R","03/06/2005","12/08/2005",""
"_E","ETCL","R","26/05/2006","01/09/2006",""
"_E","LENG","R","01/04/2005","07/10/2008",""
"_F","NEEB","R","01/04/1996","01/04/1996",""
"_F","SOUT","R","01/04/1996","23/01/2004",""
"_F","IPNL","R","01/08/2004","01/08/2004",""
"_F","GUCL","R","03/06/2005","12/08/2005",""
"_F","ETCL","R","26/05/2006","01/09/2006",""
"_F","LENG","R","01/04/2005","07/10/2008",""
"_G","NORW","R","01/04/1996","01/04/1996",""
"_G","SOUT","R","01/04/1996","23/01/2004",""
"_G","IPNL","R","01/08/2004","01/08/2004",""
"_G","GUCL","R","03/06/2005","12/08/2005",""
"_G","ETCL","R","26/05/2006","01/09/2006",""
"_G","LENG","R","01/04/2005","07/10/2008",""
"_H","SOUT","R","01/04/1996","01/04/1996",""
"_H","IPNL","R","01/08/2004","01/08/2004",""
"_H","GUCL","R","03/06/2005","12/08/2005",""
"_H","ETCL","R","26/05/2006","01/09/2006",""
"_H","LENG","R","01/04/2005","07/10/2008",""
"_J","SEEB","R","01/04/1996","01/04/1996",""
"_J","IPNL","R","01/08/2004","01/08/2004",""
"_J","GUCL","R","03/06/2005","12/08/2005",""
"_J","SOUT","R","01/04/1996","10/02/2006",""
"_J","ETCL","R","26/05/2006","01/09/2006",""
"_J","LENG","R","01/04/2005","07/10/2008",""
"_K","SWAE","R","01/04/1996","01/04/1996",""
"_K","IPNL","R","01/08/2004","01/08/2004",""
"_K","GUCL","R","03/06/2005","12/08/2005",""
"_K","SOUT","R","01/04/1996","03/03/2006",""
"_K","ETCL","R","26/05/2006","01/09/2006",""
"_K","LENG","R","01/04/2005","07/10/2008",""
"_L","SWEB","R","01/04/1996","01/04/1996",""
"_L","IPNL","R","01/08/2004","01/08/2004",""
"_L","GUCL","R","03/06/2005","12/08/2005",""
"_L","SOUT","R","01/04/1996","28/07/2006",""
"_L","ETCL","R","26/05/2006","01/09/2006",""
"_L","LENG","R","01/04/2005","07/10/2008",""
"_M","YELG","R","01/04/1996","01/04/1996",""
"_M","IPNL","R","01/08/2004","01/08/2004",""
"_M","SOUT","R","01/04/1996","08/07/2005",""
"_M","GUCL","R","03/06/2005","12/08/2005",""
"_M","ETCL","R","26/05/2006","01/09/2006",""
"_M","LENG","R","01/04/2005","07/10/2008",""
"_N","SPOW","R","01/04/1996","01/04/1996",""
"_N","HYDE","R","01/04/1996","09/07/2004",""
"_N","IPNL","R","01/08/2004","01/08/2004",""
"_N","GUCL","R","03/06/2005","12/08/2005",""
"_N","ETCL","R","26/05/2006","01/09/2006",""
"_N","LENG","R","01/04/2005","07/10/2008",""
"_P","HYDE","R","01/04/1996","01/04/1996",""
"_P","IPNL","R","01/08/2004","01/08/2004",""
"_P","GUCL","R","03/06/2005","12/08/2005",""
"_P","ETCL","R","26/05/2006","01/09/2006",""
"_P","LENG","R","01/04/2005","07/10/2008",""
