"Market Participant Id","Market Participant Role Code","Effective From Date {MPR}","Line Loss Factor Class Id","Effective From Settlement Date {LLFC}","Line Loss Factor Class Description","MS Specific LLF Class Indicator","Effective To Settlement Date {LLFC}"
"EELC","R","01/04/1996","1","01/04/1996","LV_1R_PP_1PH","A",""
"EELC","R","01/04/1996","2","01/04/1996","LV_1R_LOC_1PH","A",""
"EELC","R","01/04/1996","3","01/04/1996","Domestic Unrestricted (1Ph)","A",""
"EELC","R","01/04/1996","4","01/04/1996","LV_1R_HH_1PH","A","01/01/1999"
"EELC","R","01/04/1996","5","01/04/1996","LV_E7_PP_1PH","A",""
"EELC","R","01/04/1996","6","01/04/1996","LV_E7_LOC_1PH","A",""
"EELC","R","01/04/1996","7","01/04/1996","Domestic D/N (1Ph)","A",""
"EELC","R","01/04/1996","8","01/04/1996","LV Half Hourly","A",""
"EELC","R","01/04/1996","9","01/04/1996","LV_10ND_PP_1PH","A","01/01/1999"
"EELC","R","01/04/1996","11","01/04/1996","Dom Day & Extd Night (1Ph)","A",""
"EELC","R","01/04/1996","12","01/04/1996","LV_10ND_HH_1PH","A","20/08/1999"
"EELC","R","01/04/1996","15","01/04/1996","Non Dom Day & Extd Night (1Ph)","A",""
"EELC","R","01/04/1996","16","01/04/1996","LV_12ND_HH_1PH","A","20/08/1999"
"EELC","R","01/04/1996","19","01/04/1996","LV_EW_CR_1PH","A",""
"EELC","R","01/04/1996","20","01/04/1996","LV_EW_HH_1PH","A","20/08/1999"
"EELC","R","01/04/1996","21","01/04/1996","LV_E10A_PP_1PH","A","01/01/1999"
"EELC","R","01/04/1996","22","01/04/1996","Dom D/N Dbl Mpan (H) (1Ph)","A",""
"EELC","R","01/04/1996","24","01/04/1996","LV_E10B_PP_1PH","A","01/01/1999"
"EELC","R","01/04/1996","25","01/04/1996","Dom D/N Dbl Mpan (GP) (1Ph)","A",""
"EELC","R","01/04/1996","29","01/04/1996","Domestic Off Peak (1Ph)","A",""
"EELC","R","01/04/1996","30","01/04/1996","LV_RH1/3_HH_1PH","A","01/01/1999"
"EELC","R","01/04/1996","33","01/04/1996","Non Domestic Off Peak (1Ph)","A",""
"EELC","R","01/04/1996","34","01/04/1996","LV_RH2_HH_1PH","A","01/01/1999"
"EELC","R","01/04/1996","37","01/04/1996","LV_EWE7_CR_1PH","A",""
"EELC","R","01/04/1996","38","01/04/1996","LV_EWE7_HH_1PH","A","20/08/1999"
"EELC","R","01/04/1996","39","01/04/1996","LV_1R_PP_3PH","A",""
"EELC","R","01/04/1996","40","01/04/1996","Domestic Unrestricted (3Ph)","A",""
"EELC","R","01/04/1996","41","01/04/1996","LV_1R_HH_3PH","A","01/01/1999"
"EELC","R","01/04/1996","42","01/04/1996","LV_E7_PP_3PH","A",""
"EELC","R","01/04/1996","43","01/04/1996","Domestic D/N (3Ph)","A",""
"EELC","R","01/04/1996","44","01/04/1996","LV_E7_HH_3PH","A","01/01/1999"
"EELC","R","01/04/1996","46","01/04/1996","Dom Day & Extd Night (3Ph)","A",""
"EELC","R","01/04/1996","47","01/04/1996","LV_10ND_HH_3PH","A","20/08/1999"
"EELC","R","01/04/1996","49","01/04/1996","Non Dom Day & Extd Night (3Ph)","A",""
"EELC","R","01/04/1996","50","01/04/1996","LV_12ND_HH_3PH","A","20/08/1999"
"EELC","R","01/04/1996","52","01/04/1996","LV_EW_CR_3PH","A",""
"EELC","R","01/04/1996","53","01/04/1996","LV_EW_HH_3PH","A","20/08/1999"
"EELC","R","01/04/1996","55","01/04/1996","Dom D/N Dbl Mpan (H) (3Ph)","A",""
"EELC","R","01/04/1996","58","01/04/1996","Dom D/N Dbl Mpan (GP) (3Ph)","A",""
"EELC","R","01/04/1996","61","01/04/1996","Domestic Off Peak (3Ph)","A",""
"EELC","R","01/04/1996","62","01/04/1996","LV_RH1/3_HH_3PH","A","01/01/1999"
"EELC","R","01/04/1996","64","01/04/1996","Non Domestic Off Peak (3Ph)","A",""
"EELC","R","01/04/1996","65","01/04/1996","LV_RH2_HH_3PH","A","01/01/1999"
"EELC","R","01/04/1996","67","01/04/1996","LV_EWE7_CR_3PH","A",""
"EELC","R","01/04/1996","68","01/04/1996","LV_EWE7_HH_3PH","A","20/08/1999"
"EELC","R","01/04/1996","69","01/04/1996","LV_1R_CR_M_3PH","A",""
"EELC","R","01/04/1996","70","01/04/1996","LV_1R_HH_M_3PH","A","01/01/1999"
"EELC","R","01/04/1996","71","01/04/1996","LV_E7_CR_M_3PH","A",""
"EELC","R","01/04/1996","72","01/04/1996","LV Half Hourly","A",""
"EELC","R","01/04/1996","73","01/04/1996","LV_1R_CR_CT_M_3PH","A",""
"EELC","R","01/04/1996","74","01/04/1996","LV_1R_HH_CT_M_3PH","A","01/01/1999"
"EELC","R","01/04/1996","75","01/04/1996","LV_1R_CR_CT_SS_3PH","A","01/01/1999"
"EELC","R","01/04/1996","76","01/04/1996","LV_1R_HH_CT_SS_3PH","A","01/01/1999"
"EELC","R","01/04/1996","77","01/04/1996","LV_E7_CR_CT_M_3PH","A",""
"EELC","R","01/04/1996","78","01/04/1996","LV Half Hourly","A",""
"EELC","R","01/04/1996","79","01/04/1996","LV_E7_CR_CT_SS_3PH","A","01/01/1999"
"EELC","R","01/04/1996","80","01/04/1996","LV Half Hourly Substation","A",""
"EELC","R","01/04/1996","82","01/04/1996","HV_1R_HH_CT_3PH","A","01/01/1999"
"EELC","R","01/04/1996","84","01/04/1996","HV Half Hourly","A",""
"EELC","R","01/04/1996","85","01/04/1996","EHV_NON_BR_A33","A",""
"EELC","R","01/04/1996","86","01/04/1996","LV Half Hourly","A",""
"EELC","R","01/04/1996","87","01/04/1996","LV Half Hourly Substation","A",""
"EELC","R","01/04/1996","88","01/04/1999","UMS Half Hourly","A",""
"EELC","R","01/04/1996","100","01/04/1996","UMS - <50 Unauditable - Cont.","A",""
"EELC","R","01/04/1996","101","01/04/1996","UMS - <50 Unauditable - D2Dsk","A",""
"EELC","R","01/04/1996","102","01/04/1996","UMS - <50 Unauditable - D2Dwn","A",""
"EELC","R","01/04/1996","103","01/04/1996","UMS - <50 Unauditable - HN&PD","A",""
"EELC","R","01/04/1996","105","01/04/1996","LV_UMS_BGT1","A","01/01/1999"
"EELC","R","01/04/1996","106","01/04/1996","LV_UMS_BGT2","A","01/01/1999"
"EELC","R","01/04/1996","107","01/04/1996","LV_UMS_BGT3","A","01/01/1999"
"EELC","R","01/04/1996","108","01/04/1996","LV_UMS_BGT4","A","01/01/1999"
"EELC","R","01/04/1996","109","01/04/1996","LV_UMS_BGT5","A","01/01/1999"
"EELC","R","01/04/1996","110","01/01/1999","UMS - >50 Unauditable - Cont.","A",""
"EELC","R","01/04/1996","111","01/01/1999","UMS - >50 Unauditable - D2Dsk","A",""
"EELC","R","01/04/1996","112","01/01/1999","UMS - >50 Unauditable - D2Dwn","A",""
"EELC","R","01/04/1996","113","01/01/1999","UMS - >50 Unauditable - HN&PD","A",""
"EELC","R","01/04/1996","122","01/04/1996","LV_5III_WC_3PH","A",""
"EELC","R","01/04/1996","126","01/04/1996","LV_5V_WC_3PH","A",""
"EELC","R","01/04/1996","128","01/04/1996","LV_5I_II_VI_CT_3PH","A",""
"EELC","R","01/04/1996","130","01/04/1996","LV_5IV_CT","A",""
"EELC","R","01/04/1996","132","01/04/1996","LV_5III_CT","A",""
"EELC","R","01/04/1996","134","01/04/1996","LV_5V_CT","A",""
"EELC","R","01/04/1996","137","01/04/1996","HV_5IV_HH","A","01/01/1999"
"EELC","R","01/04/1996","139","01/04/1996","HV_5V_HH","A","01/01/1999"
"EELC","R","01/04/1996","140","01/04/1996","EHV_BR_ABR","A",""
"EELC","R","01/04/1996","141","01/04/1996","EHV_BR_ABN","A",""
"EELC","R","01/04/1996","150","01/01/1999","UMS - <50 Auditable - Cont.","A",""
"EELC","R","01/04/1996","151","01/01/1999","UMS - <50 Auditable - D2Dsk","A",""
"EELC","R","01/04/1996","152","01/01/1999","UMS - <50 Auditable - D2Dwn","A",""
"EELC","R","01/04/1996","153","01/01/1999","UMS - <50 Auditable - HN&PD","A",""
"EELC","R","01/04/1996","160","01/01/1999","UMS - >50 Auditable - Cont.","A",""
"EELC","R","01/04/1996","161","01/01/1999","UMS - >50 Auditable - D2Dsk","A",""
"EELC","R","01/04/1996","162","01/01/1999","UMS - >50 Auditable - D2Dwn","A",""
"EELC","R","01/04/1996","163","01/01/1999","UMS - >50 Auditable - HN&PD","A",""
"EELC","R","01/04/1996","201","01/04/1996","Non Dom Unrestricted (1Ph)","A",""
"EELC","R","01/04/1996","205","01/04/1996","Non Dom Two Rate (1Ph)","A",""
"EELC","R","01/04/1996","237","01/04/2005","Non Dom Eve &  Wkend  1Ph","A",""
"EELC","R","01/04/1996","238","01/04/2005","Non Dom Eve &  Wkend  3Ph","A",""
"EELC","R","01/04/1996","239","01/04/1996","Non Dom Unrestricted (3Ph)","A",""
"EELC","R","01/04/1996","242","01/04/1996","Non Dom Two Rate (3Ph)","A",""
"EELC","R","01/04/1996","243","01/04/1996","LV_RRA_CR_1PH","A",""
"EELC","R","01/04/1996","244","01/04/1996","LV_RRB_CR_1PH","A",""
"EELC","R","01/04/1996","245","01/04/1996","LV_RRA_CR_3PH","A",""
"EELC","R","01/04/1996","246","01/04/1996","LV_RRB_CR_3PH","A",""
"EELC","R","01/04/1996","247","01/04/1996","Non Dom Three Rate (1Ph)","A",""
"EELC","R","01/04/1996","248","01/04/1996","Non Dom Three Rate (3Ph)","A",""
"EELC","R","01/04/1996","250","01/04/2005","LV PC 5 Std Demand 1R WC","A",""
"EELC","R","01/04/1996","251","01/04/2005","LV PC 6 Std Demand 1R WC","A",""
"EELC","R","01/04/1996","252","01/04/2005","LV PC 7 Std Demand 1R WC","A",""
"EELC","R","01/04/1996","253","01/04/2005","LV PC 8 Std Demand 1R WC","A",""
"EELC","R","01/04/1996","254","01/04/2005","LV PC 5 Std Demand 2R WC","A",""
"EELC","R","01/04/1996","255","01/04/2005","LV PC 6 Std Demand 2R WC","A",""
"EELC","R","01/04/1996","256","01/04/2005","LV PC 7 Std Demand 2R WC","A",""
"EELC","R","01/04/1996","257","01/04/2005","LV PC 8 Std Demand 2R WC","A",""
"EELC","R","01/04/1996","258","01/04/2005","LV PC 5 High Demand 1R WC","A",""
"EELC","R","01/04/1996","259","01/04/2005","LV PC 6 High Demand 1R WC","A",""
"EELC","R","01/04/1996","260","01/04/2005","LV PC 7 High Demand 1R WC","A",""
"EELC","R","01/04/1996","261","01/04/2005","LV PC 8 High Demand 1R WC","A",""
"EELC","R","01/04/1996","262","01/04/2005","LV PC 5 High Demand 2R WC","A",""
"EELC","R","01/04/1996","263","01/04/2005","LV PC 6 High Demand 2R WC","A",""
"EELC","R","01/04/1996","264","01/04/2005","LV PC 7 High Demand 2R WC","A",""
"EELC","R","01/04/1996","265","01/04/2005","LV PC 8 High Demand 2R WC","A",""
"EELC","R","01/04/1996","270","01/04/2005","LV PC 5 Std Demand 1R CT","A",""
"EELC","R","01/04/1996","271","01/04/2005","LV PC 6 Std Demand 1R CT","A",""
"EELC","R","01/04/1996","272","01/04/2005","LV PC 7 Std Demand 1R CT","A",""
"EELC","R","01/04/1996","273","01/04/2005","LV PC 8 Std Demand 1R CT","A",""
"EELC","R","01/04/1996","274","01/04/2005","LV PC 5 Std Demand 2R CT","A",""
"EELC","R","01/04/1996","275","01/04/2005","LV PC 6 Std Demand 2R CT","A",""
"EELC","R","01/04/1996","276","01/04/2005","LV PC 7 Std Demand 2R CT","A",""
"EELC","R","01/04/1996","277","01/04/2005","LV PC 8 Std Demand 2R CT","A",""
"EELC","R","01/04/1996","278","01/04/2005","LV PC 5 High Demand 1R CT","A",""
"EELC","R","01/04/1996","279","01/04/2005","LV PC 6 High Demand 1R CT","A",""
"EELC","R","01/04/1996","280","01/04/2005","LV PC 7 High Demand 1R CT","A",""
"EELC","R","01/04/1996","281","01/04/2005","LV PC 8 High Demand 1R CT","A",""
"EELC","R","01/04/1996","282","01/04/2005","LV PC 5 High Demand 2R CT","A",""
"EELC","R","01/04/1996","283","01/04/2005","LV PC 6 High Demand 2R CT","A",""
"EELC","R","01/04/1996","284","01/04/2005","LV PC 7 High Demand 2R CT","A",""
"EELC","R","01/04/1996","285","01/04/2005","LV PC 8 High Demand 2R CT","A",""
"EELC","R","01/04/1996","901","01/04/1996","LV_EXPORT","C",""
"EELC","R","01/04/1996","902","01/04/1996","LVS_EXPORT","C",""
"EELC","R","01/04/1996","903","01/04/1996","HV_EXPORT","C",""
"EELC","R","01/04/1996","904","01/04/1996","EHV_EXPORT","C",""
"EELC","R","01/04/1996","905","10/10/2003","LV NHH Export Old","C",""
"EELC","R","01/04/1996","912","01/04/2005","LV NHH Dom Export New","C",""
"EELC","R","01/04/1996","913","01/04/2005","LV NHH Bus Export New","C",""
"EELC","R","01/04/1996","914","01/04/2005","LV HH Export Dft New","C",""
"EELC","R","01/04/1996","915","01/04/2005","LV HH  Export Std New","C",""
"EELC","R","01/04/1996","916","01/04/2005","LV HH Export SS New","C",""
"EELC","R","01/04/1996","917","01/04/2005","HV HH Export Dft New","C",""
"EELC","R","01/04/1996","918","01/04/2005","HV HH Export Std New","C",""
"EMEB","R","01/04/1996","1","01/04/1996","Domestic Single Rate","A",""
"EMEB","R","01/04/1996","2","01/04/1996","Domestic Single Rate","A",""
"EMEB","R","01/04/1996","3","01/04/1996","Domestic 2 Rate","A",""
"EMEB","R","01/04/1996","4","01/04/1996","Domestic 2 Rate","A",""
"EMEB","R","01/04/1996","5","01/04/1996","Domestic 2 Rate","A",""
"EMEB","R","01/04/1996","6","01/04/1996","Domestic 2 Rate","A",""
"EMEB","R","01/04/1996","7","01/04/1996","Domestic 2 Rate","A",""
"EMEB","R","01/04/1996","8","01/04/1996","Domestic 2 Rate","A",""
"EMEB","R","01/04/1996","9","01/04/1996","Domestic 2 Rate","A",""
"EMEB","R","01/04/1996","10","01/04/1996","Domestic 2 Rate","A",""
"EMEB","R","01/04/1996","11","01/04/1996","Domestic Heatwise","A",""
"EMEB","R","01/04/1996","12","01/04/1996","LV Sm Non-Dom I","A","31/03/1999"
"EMEB","R","01/04/1996","13","01/04/1996","Small Non Domestic Single Rate","A",""
"EMEB","R","01/04/1996","14","01/04/1996","LV Sm Non-Dom F","A","31/03/1999"
"EMEB","R","01/04/1996","15","01/04/1996","LV Sm Non-Dom M I","A","31/03/1999"
