Chellow Id,MTC Meter Type ID,MTC Meter Type Description,Effective From Settlement date (MMT),Effective To Settlement Date (MMT)
1,6A,COP6(a)  20 days memory,1996-04-01,
2,6B,COP6(b)  100 days memory,1996-04-01,
3,6C,COP6(c)  250 days memory,1996-04-01,
4,6D,COP6(d)  450 days memory,1996-04-01,
5,C5,COP 1-5,1996-04-01,
6,C7,Code 7,1996-04-01,
7,IE,Import & Export Meter,2003-09-28,
8,LN,Teleswitch Non-Programmable,1996-04-01,
9,LP,Teleswitch Programmable,1996-04-01,
10,NE,NHH Export Meter,2003-09-28,
11,NO,Temporary - No Meter or other anomaly,1996-04-01,
12,PH,Unmetered - pseudo Half Hour,1996-04-01,
13,SS,Site Specific,1996-04-01,
14,TN,Timeswitch Non-Programmable,1996-04-01,
15,TP,Timeswitch Programmable (needn't have switch load),1996-04-01,
16,UM,Unmetered,1996-04-01,
17,UN,"No Timeswitch, Non-Programmable",1996-04-01,
18,UP,"No Timeswitch, Programmable",1996-04-01,
19,XX,Not Known,1996-04-01,
