Chellow Id,Market Participant ID,Market Participant Name
1,AAUL,Alcan Aluminium Limited
2,ACCU,G4S Utility Services (UK) Ltd
3,ACEL,Accord Energy Ltd
4,ACTA,ACTARIS UK LIMITED
5,ADAP,Celtpower Ltd
6,AEPD,AES NewEnergy Ltd
7,AESB,AES Barry Ltd
8,AFPL,AES Fifoots Point Ltd
9,AGSS,amerada.co.uk Ltd
10,AHEL,Severn Trent Energy Ltd
11,AHGL,Amerada Hess Gas Ltd
12,AMGD,Amerada Hess Gas (Dom)
13,AMMR,Orsis UK (Ltd)
14,AMPE,Ampere Energy Supply Limited
15,ANGE,Angel Energy Limited
16,ANRG,Abingdon Energy Limited
17,APGL,Anglian Power Generators Ltd
18,AQES,Aquila Energy Supplies Ltd
19,AXIS,Axis Telecom Ltd
20,BARK,Barking Power
21,BAYS,Bayswater Energy Limited
22,BERM,British Energy Retail Market
23,BGAS,British Gas Trading Ltd
24,BGPL,British Gas plc
25,BIZZ,British Gas Trading Ltd
26,BMET,BGlobal Metering Limited
27,BMHH,BGlobal Metering Limited
28,BNFL,British Nuclear Fuels plc
29,BNRG,Electricity Plus Supply Ltd
30,BORL,Eggborough Power Ltd
31,BTEL,BT
32,CABH,Cabah Energy Limited
33,CALB,Coopers & Lybrand
34,CALL,Callisto Energy Supply Limited
35,CAML,Inexus (Services) Limited
36,CAND,Candecca Resources Limited
37,CAPG,Logica UK Limited
38,CDSL,Controls Devices & Systems Ltd
39,CECO,Coryton Energy Company Ltd
40,CENP,Midlands Power (UK) Ltd
41,CESL,Commercial Electricity
42,CGEN,Citigen (London) Ltd
43,CGTL,Cinergy Global Trading
44,CGUK,Cinergy Global Power (UK) Ltd
45,CIDA,MRA Service Company TEST ID A
46,CIDB,MRA Service Company TEST ID B
47,CIDC,MRA Service Company TEST ID C
48,CIRC,Flow Energy Ltd
49,CNDL,NEAS Energy Limited
50,CNRG,Opus Energy (Corporate) Ltd.
51,COOP,Energy COOP Ltd
52,CORB,Corby Power
53,COUL,Coulomb Energy Supply Limited
54,CROS,Crosfield Ltd
55,CROW,Reuben Power Supply Limited
56,CUST,Dummy ID for Customers
57,DAMC,Damhead Creek Ltd
58,DASL,Siemens MCS
59,DDCL,Dataflex Design Communication
60,DEES,Deeside Power Developmt Co Ltd
61,DERW,Derwent Co. Generation Ltd
62,DMOM,DrakMarn O&M Ltd
63,DNRG,Donnington Energy Limited
64,DRAK,TXU Europe Drakelow Ltd
65,DRAX,AES Drax Power Limited
66,DUAL,Dual Energy Direct Limited
67,EASL,Electricity Assn Services Ltd
68,EBES,BES Commercial Electricity Ltd
69,ECOA,British Gas Trading Ltd
70,ECOB,EnergyCo2 Ltd
71,ECOE,ECOES SERVICE PROVIDER
72,ECON,Economy Power
73,ECOT,Renewable Energy Company Ltd
74,ECSM,ECS Metering Services
75,EDEF,EDF Production Transport
76,EDFE,EDF Energy plc
77,EDFI,UK Power Networks (IDNO)
78,EDIR,Electricity Direct Ltd
79,EECL,Enfield Energy Centre Limited
80,EELC,Eastern Electricity
81,EENG,E.ON Energy Ltd
82,EETL,Economy Energy Trading Limited
83,EFPL,Edison First Power Ltd
84,ELED,ELEDOR LIMITED
85,ELME,Elm Energy & Recycling UK Ltd
86,EMEB,East Midlands Electricity plc
87,EMGE,TXU Europe Merchant Generation
88,ENCS,Energy Communications Ltd
89,ENDC,Energy Data Company Limited
90,ENEC,Eneco Energy Trade BV
91,ENGY,Energy Assets Ltd
92,ENRD,British Gas Trading
93,ENRG,Opus Energy Renewables Limited
94,ENRO,Enron Capital & Trade Resource
95,EPFA,Electricity Pool Funds Admin
96,EPHH,Economy Power Ltd
97,ESCL,Energy Supply Contracts Ltd
98,ESIS,Energy Settlements & Info Serv
99,ESML,E.ON UK Energy Services Ltd
100,ESPO,Essential Power Ltd
101,ESQL,E-Squared Limited
102,ETCL,Electricity Network Co
103,ETOL,Enron Teeside Operations Ltd
104,EURO,Europa Energy Supply Limited
105,FGEN,Fibrogen Ltd
