Chellow Id,Market Participant Role Code Id,Market Participant Chellow Id,Address Line 1,Effective From Date {MPR},Effective To Date {MPR}
1,3,2,G4S Utility Services (UK) Ltd,19/12/2003,
2,4,2,G4S Utility Services (UK) Ltd,12/10/2007,
3,6,2,G4S Utility Services (UK) Ltd,29/10/1999,
4,8,2,G4S Utility Services (UK) Ltd,29/10/1999,
5,17,2,G4S Utility Services (UK) Ltd,12/10/2007,
6,26,4,Actaris UK Limited,20/02/2004,
7,28,6,11 Fenlock Court,03/05/2000,31/07/2003
8,29,8,West Nash,05/06/2000,
9,28,9,33 Grosvenor Place,17/12/1999,19/01/2007
10,28,10,33 Grosvenor Place,17/12/1999,09/02/2007
11,28,11,33 Grosvenor Place,17/12/1999,17/11/2006
12,28,12,33 Grosvenor Place,17/12/1999,09/02/2007
13,3,13,ORSIS UK (Ltd),02/09/2008,
14,4,13,Orsis UK (Ltd),09/11/2007,
15,28,14,Oxford Centre for Innovation,05/11/2004,10/08/2007
16,28,16,21 Tothill St.,03/05/2000,24/01/2003
17,28,18,Barnett Way,03/05/2000,23/05/2003
18,28,19,British Gas Trading Ltd,01/04/1996,
19,28,21,British Gas Trading Ltd,07/07/2000,
20,3,22,BGlobal Metering Limited,19/12/2003,
21,4,22,BGlobal Metering Limited,19/12/2003,
22,6,22,BGlobal Metering Limited,19/12/2003,
23,8,22,BGlobal Metering Limited,19/12/2003,
24,17,22,BGlobal Metering Limited,01/07/2006,
25,28,24,Electricity Plus Supply Ltd,05/11/2004,
26,29,25,Eggborough Power Ltd,28/03/2000,
27,30,27,1 Embankment Place,01/04/1996,
28,4,28,Ocean Park House,25/03/2005,
29,26,128,First Floor,01/09/2006,
30,28,129,The Communication Building,21/01/2000,16/03/2001
31,28,130,Templar House,03/05/2000,16/03/2001
32,1,131,ESP Electricity Limited,02/09/2008,
33,14,131,ESP Electricity Ltd,22/12/2006,
34,20,131,ESP Electricity Ltd,01/04/2005,
35,22,131,ESP Electricity Ltd,01/04/2005,
36,1,132,EDF Energy Networks,29/01/1999,
37,3,132,EDF Energy Customer Field Services,18/11/2009,
38,4,132,EDF Energy Network (LPN) plc,17/04/2003,
39,5,132,Energy Services,01/04/1996,09/03/1999
40,6,132,EDF Energy Customer Field Services,01/04/1996,
41,7,132,Energy Services,01/04/1996,09/03/1999
42,8,132,EDF Energy Customer Field Services,01/04/1996,
43,14,132,EDF Energy Network (LPN) plc,01/04/1996,
44,17,132,EDF Energy Customer Field Services,01/04/1996,
45,20,132,EDF Energy Network (LPN) plc,01/04/1996,
46,22,132,EDF Energy Network (LPN) plc,01/04/1996,
47,26,132,Gadeon House,01/04/1996,
48,27,132,EDF Energy Customer Field Services,01/04/1996,
49,28,132,EDF Energy,01/04/1996,
50,28,133,Lumen Energy Supply Limited,18/11/2009,
51,28,134,MA Energy Ltd,19/08/2009,
52,29,135,Berkeley Centre,22/02/2002,07/12/2007
53,28,136,P O Box 177,11/08/2000,16/03/2001
54,29,136,P O Box 177,11/08/2000,
55,1,137,SP Manweb Plc,13/11/1998,
56,2,137,SP Dataserve Ltd,13/11/1998,
57,4,137,SP Manweb Plc,29/05/2003,
58,6,137,SP Dataserve Ltd,01/04/1996,
59,8,137,SP Dataserve Ltd,01/04/1996,
60,13,137,SP Manweb Plc,13/11/1998,
61,14,137,SP Manweb Plc.,01/04/1996,
62,17,137,SP Dataserve Ltd,01/04/1996,
63,20,137,SP Manweb Plc.,01/04/1996,
64,22,137,SP Manweb Plc,01/04/1996,
65,26,137,Scottish Power Energy Retail Ltd,13/11/1998,
66,27,137,SP Dataserve Ltd,01/04/1996,
67,28,137,Scottish Power Energy Retail Ltd,01/04/1996,
68,28,138,Temple Chambers,20/10/2000,04/03/2005
69,3,140,E.ON UK Energy Services Limited,25/07/2003,
70,3,141,E.ON UK Energy Services Limited,25/07/2003,
71,3,142,Metering Services Ltd,25/07/2003,
72,4,143,Metering Services Ltd,29/05/2003,
73,3,144,E.ON UK Energy Services Limited,25/07/2003,
74,28,145,33 Grosvenor Place,17/12/1999,19/01/2007
75,1,146,Midlands Electricity plc,09/11/1998,
76,2,146,Midlands Electricity plc,09/11/1998,02/12/2008
77,4,146,E.ON UK Energy Services Limited,17/04/2003,
78,5,146,Midlands Electricity plc,01/04/1996,13/07/1999
79,5,146,E.ON UK Energy Services Limited,09/08/2002,
80,6,146,E.ON UK Energy Services Limited,01/04/1996,
81,7,146,Midlands Electricity plc,01/04/1996,13/07/1999
82,7,146,E.ON UK Energy Services Limited,09/08/2002,
83,8,146,E.ON UK Energy Services Limited,01/04/1996,
84,14,146,Midlands Electricity plc,09/11/1998,
85,17,146,E.ON UK Energy Services Limited,01/04/1996,
86,20,146,Midlands Electricity plc,01/04/1996,
87,22,146,Central Networks West Plc,01/04/1996,
88,26,146,National Power (Energy Co.) Limited,01/04/1996,
89,27,146,Midlands Electricity plc,09/11/1998,
90,28,146,NPOWER LTD,01/04/1996,
91,29,146,Midlands Electricity plc,09/11/1998,
92,4,147,Macquarie Leasing Limited,17/03/2010,
93,3,149,Avonbank,25/07/2003,05/04/2007
94,28,150,MSCGI c/o Morgan Stanley & Co.  Int. Ltd,01/04/2006,
95,4,151,NPOWER LTD,25/07/2003,
96,17,151,NPOWER LTD,19/08/2009,
97,28,151,Npower Ltd,01/04/1996,
98,1,152,NORTHERN ELECTRIC DISTRIBUTION LIMITED,24/03/2006,
99,4,152,Northern Electric Distribution Ltd,17/04/2003,
100,5,152,NPower Northern Ltd,01/04/1996,
101,6,152,Npower Northern Ltd,01/04/1996,
102,7,152,Npower Northern Ltd,01/04/1996,
103,8,152,NPower Northern Ltd,01/04/1996,
104,14,152,Northern Electric Distribution Ltd,01/10/1998,
105,17,152,Northern Electric Distribution Ltd,01/04/1996,
106,20,152,Northern Electric Distribution Ltd,01/04/1996,
107,22,152,Northern Electric Distribution Ltd,01/04/1996,
108,26,152,Carliol House,01/10/1998,
109,27,152,Carliol House,01/10/1998,
110,28,152,Npower Northern Supply Ltd,01/04/1996,
111,28,153,British Energy Direct Limited,01/04/1996,
112,29,153,British Energy Generation Ltd,09/07/2004,
113,24,157,185 Park Street,01/04/1996,
114,29,159,Windmill Hill Business Park,28/03/2000,
115,28,160,Bridge House,01/04/1996,28/03/2000
116,1,161,Electricity North West Limited,13/11/1998,
117,2,161,U U Utility Solutions(E&CS) Ltd,13/11/1998,
118,4,161,Electricity North West Limited,17/04/2003,
119,6,161,E.ON UK Energy Services Limited,01/04/1996,
120,8,161,E.ON UK Energy Services Limited,01/04/1996,
121,14,161,United Utilities Electricity Services,13/11/1998,
122,17,161,U U Utility Solutions(E&CS) Ltd,01/04/1996,
123,20,161,Electricity North West Limited,01/04/1996,
124,22,161,Electricity North West Limited,01/04/1996,
125,26,161,Manchester Rd,13/11/1998,
126,27,161,United Utilities Electricity Services,13/11/1998,
127,28,161,E.ON Energy Ltd,01/04/1996,
128,26,162,INNOGY Plc,11/01/2008,
129,29,162,Windmill Hill Business Park,03/05/2000,
130,29,163,Windmill Hill Business Park,28/03/2000,
131,28,164,Nuclear Decommissioning Authority Ltd,01/04/1996,
132,28,165,British Gas Trading Ltd,25/07/2003,
133,17,166,OnStream,12/06/2009,
134,3,167,UMS Ltd (trading as OnStream),22/12/2006,
