Chellow Id,Market Participant Role Code Id,Market Participant Chellow Id,Address Line 1,Effective From Date {MPR},Effective To Date {MPR},Distributor Short Code
1,6,2,G4S Utility Services (UK) Ltd,2003-12-19,,
2,7,2,G4S Utility Services (UK) Ltd,2007-10-12,,
3,10,2,G4S Utility Services (UK) Ltd,1999-10-29,,
4,12,2,G4S Utility Services (UK) Ltd,1999-10-29,,
5,21,2,G4S Utility Services (UK) Ltd,2007-10-12,,
6,30,4,Actaris UK Limited,2004-02-20,,
7,32,6,11 Fenlock Court,2000-05-03,2003-07-31,
8,33,8,West Nash,2000-06-05,,
9,32,9,33 Grosvenor Place,1999-12-17,2007-01-19,
10,32,10,33 Grosvenor Place,1999-12-17,2007-02-09,
11,32,11,33 Grosvenor Place,1999-12-17,2006-11-17,
12,32,12,33 Grosvenor Place,1999-12-17,2007-02-09,
13,6,13,ORSIS UK (Ltd),2008-09-02,,
14,7,13,Orsis UK (Ltd),2007-11-09,,
15,32,14,Ampere Energy Supply Limited,2011-06-15,2012-03-14,
16,32,15,Angel Energy Limited,2013-03-20,,
17,32,16,Oxford Centre for Innovation,2004-11-05,2007-08-10,
18,32,18,21 Tothill St.,2000-05-03,2003-01-24,
19,32,19,AXIS TELECOM LTD,2012-05-16,,
20,32,21,Bayswater Energy Limited,2013-03-20,,
21,32,22,Barnett Way,2000-05-03,2003-05-23,
22,1,23,British Gas Trading Ltd,2012-03-14,,
23,21,23,British Gas Trading Ltd,2010-06-16,,
24,32,23,British Gas Trading Ltd,1996-04-01,,
25,32,25,British Gas Trading Ltd,2000-07-07,,
26,6,26,BGlobal Metering Limited,2003-12-19,,
27,7,26,BGlobal Metering Limited,2003-12-19,,
28,9,26,TMA Data Management Ltd,2010-06-16,,
29,10,26,BGlobal Metering Limited,2003-12-19,,
30,11,26,TMA Data Management Ltd,2010-06-16,,
31,12,26,BGlobal Metering Limited,2003-12-19,,
32,21,26,BGlobal Metering Limited,2006-07-01,,
33,21,27,BGlobal Metering Limited,2011-11-16,,
34,1,29,Electricity Plus Supply Limited,2012-09-19,,
35,32,29,Electricity Plus Supply Ltd,2004-11-05,,
36,33,30,Eggborough Power Ltd,2000-03-28,,
37,8,31,BT,2011-02-24,,
38,34,33,1 Embankment Place,1996-04-01,,
39,32,34,Callisto Energy Supply Limited,2012-10-17,,
40,7,35,Inexus (Services) Limited,2005-03-25,,
41,21,35,Inexus (Services) Limited,2005-03-25,,
42,32,36,Welton Gathering Centre,1996-04-01,1999-08-20,
43,15,37,Logica UK Limited,1996-04-01,,
44,29,37,Logica UK Limited,1996-04-01,,
45,21,38,PO BOX 56,1996-04-01,2007-12-07,
46,33,39,C/o InterGen (UK) Ltd,2000-08-11,,
47,32,41,Manor Court,1999-11-19,2005-04-29,
48,32,42,c/o E.ON UK plc,1996-04-01,2011-01-19,
49,32,43,Cinergy House,2000-03-28,2005-04-29,
50,33,44,Cinergy House,2000-06-05,2005-04-29,
51,4,45,MRA Service Company Limited,2011-12-14,,
52,6,45,MRA Service Company Limited,2011-12-14,,
53,7,45,MRA Service Company Limited,2011-12-14,,
54,9,45,MRA Service Company Limited,2011-12-14,,
55,10,45,MRA Service Company Limited,2011-12-14,,
56,11,45,MRA Service Company Limited,2011-12-14,,
57,12,45,MRA Service Company Limited,2011-12-14,,
58,18,45,MRA Service Company Limited,2011-12-14,,
59,20,45,MRA Service Company Limited,2011-12-14,,
60,21,45,MRA Service Company Limited,2011-12-14,,
61,24,45,MRA Service Company Limited,2011-12-14,,
62,26,45,MRA Service Company Limited,2011-12-14,,97
63,30,45,MRA Service Company Limited,2011-12-14,,
64,31,45,MRA Service Company Limited,2011-12-14,,
65,4,46,MRA Service Company Limited,2011-12-14,,
66,6,46,MRA Service Company Limited,2011-12-14,,
67,7,46,MRA Service Company Limited,2011-12-14,,
68,9,46,MRA Service Company Limited,2011-12-14,,
69,10,46,MRA Service Company Limited,2011-12-14,,
70,11,46,MRA Service Company Limited,2011-12-14,,
71,12,46,MRA Service Company Limited,2011-12-14,,
72,18,46,MRA Service Company Limited,2011-12-14,,
73,20,46,MRA Service Company Limited,2011-12-14,,
74,21,46,MRA Service Company Limited,2011-12-14,,
75,24,46,MRA Service Company Limited,2011-12-14,,
76,26,46,MRA Service Company Limited,2011-12-14,,98
77,30,46,MRA Service Company Limited,2011-12-14,,
78,31,46,MRA Service Company Limited,2011-12-14,,
79,4,47,MRA Service Company Limited,2011-12-14,,
80,6,47,MRA Service Company Limited,2011-12-14,,
81,7,47,MRA Service Company Limited,2011-12-14,,
82,9,47,MRA Service Company Limited,2011-12-14,,
83,10,47,MRA Service Company Limited,2011-12-14,,
84,11,47,MRA Service Company Limited,2011-12-14,,
85,12,47,MRA Service Company Limited,2011-12-14,,
86,18,47,MRA Service Company Limited,2011-12-14,,
87,20,47,MRA Service Company Limited,2011-12-14,,
88,21,47,MRA Service Company Limited,2011-12-14,,
89,24,47,MRA Service Company Limited,2011-12-14,,
90,26,47,MRA Service Company Limited,2011-12-14,,99
91,30,47,MRA Service Company Limited,2011-12-14,,
92,31,47,MRA Service Company Limited,2011-12-14,,
93,32,48,Flow Energy Ltd,2011-06-15,,
94,32,49,NEAS Energy Limited,2009-11-18,,
95,1,50,Opus Energy (Corporate) Ltd.,2012-07-20,,
96,32,50,Opus Energy (Corporate) Limited,2004-11-05,,
97,32,51,c/o Gilmond Consulting Ltd,2009-06-12,,
98,32,53,Coulomb Energy Supply Limited,2011-06-15,,
99,32,55,Reuben Power Supply Limited,2007-01-01,,
100,7,56,Dummy ID for Customers,2003-03-14,,
101,8,56,Dummy ID for Customers,2012-02-15,,
102,33,57,c/o Entergy Power Group,2000-03-28,,
103,9,58,Siemens MCS,1996-04-01,,
104,11,58,Siemens MCS,1996-04-01,,
105,21,58,Siemens MCS,1996-04-01,,
106,11,59,Chancery House,1996-04-01,2007-12-07,
107,12,59,Chancery House,1996-04-01,2007-12-07,
108,33,60,Windmill Hill Business Park,2000-05-03,,
