Chellow Id,Standard Settlement Configuration ID,Standard Settlement Configuration Description,Standard Settlement Configuration Type,Effective From Settlement Date (SSC),Effective To Settlement Date (SSC)
1,0003,10-hour OP,1,1996-04-01,
2,0004,10-hour OP,1,1996-04-01,
3,0005,10-hour OP + w/e,1,1996-04-01,
4,0006,10.5-hour OP,1,1996-04-01,
5,0007,10.5-hour OP,1,1996-04-01,
6,0008,10.5-hour OP,1,1996-04-01,
7,0009,10.5-hour OP,1,1996-04-01,
8,0010,10.5-hour OP,1,1996-04-01,
9,0011,10.5-hour OP,1,1996-04-01,
10,0012,10.5-hour OP,1,1996-04-01,
11,0013,11 Hour OP,1,1996-04-01,
12,0015,11 Hour OP,1,1996-04-01,
13,0016,11.5-hour OP,1,1996-04-01,
14,0017,11.5-hour OP,1,1996-04-01,
15,0018,11.5-hour OP,1,1996-04-01,
16,0019,11.5-hour OP,1,1996-04-01,
17,0020,11.5-hour OP,1,1996-04-01,
18,0021,11.5-hour OP,1,1996-04-01,
19,0022,11.5-hour OP,1,1996-04-01,
20,0023,11-hour OP,1,1996-04-01,
21,0024,11-hour OP,1,1996-04-01,
22,0025,11-hour OP,1,1996-04-01,
23,0026,11-hour OP,1,1996-04-01,
24,0028,11-hour OP,1,1996-04-01,
25,0029,11-hour OP,1,1996-04-01,
26,0030,11-hour OP,1,1996-04-01,
27,0031,11-hour OP,1,1996-04-01,
28,0032,11-hour OP,1,1996-04-01,
29,0033,11-hour OP,1,1996-04-01,
30,0034,11-hour OP,1,1996-04-01,
31,0035,11-hour OP,1,1996-04-01,
32,0036,11-hour OP,1,1996-04-01,
33,0037,11-hour OP,1,1996-04-01,
34,0038,11-hour OP,1,1996-04-01,
35,0039,11-hour OP,1,1996-04-01,
36,0040,11.5-hour OP,1,1996-04-01,
37,0041,8.5-hour OP,1,1996-04-01,
38,0042,9-hour OP,1,1996-04-01,
39,0043,9-hour OP,1,1996-04-01,
40,0044,8.5-hour OP,1,1996-04-01,
41,0045,11-hour OP + Summer,1,1996-04-01,
42,0046,11-hour OP + w/e,1,1996-04-01,
43,0047,11-hour OP + w/e & Summer,1,1996-04-01,
44,0048,11-hour OP + weekends,1,1996-04-01,
45,0049,11.5-hour OP,1,1996-04-01,
46,0050,12-hour  OP + w/e & Summer,1,1996-04-01,
47,0051,12-hour night,1,1996-04-01,
48,0052,12-hour OP,1,1996-04-01,
49,0053,12-hour OP,1,1996-04-01,
50,0055,12-hour OP,1,1996-04-01,
51,0056,12-hour OP,1,1996-04-01,
52,0057,12-hour OP,1,1996-04-01,
53,0058,Key Meter pseudo 2-rate,1,1996-04-01,
54,0059,12-hour OP,1,1996-04-01,
55,0060,12-hour OP,1,1996-04-01,
56,0062,8-hour OP (see also SSC 427),1,1996-04-01,
57,0063,9-hour OP,1,1996-04-01,
58,0064,12-hour OP,1,1996-04-01,
59,0065,12-hour OP + Summer,1,1996-04-01,
60,0066,12-hour OP + Summer,1,1996-04-01,
61,0067,12.5-hour OP,1,1996-04-01,
62,0068,Budget Warmth,1,1996-04-01,1999-03-31
63,0069,Budget Warmth,1,1996-04-01,1999-03-31
64,0071,12.5-hour OP,1,1996-04-01,
65,0072,12.5-hour OP,1,1996-04-01,
66,0073,12.5-hour OP,1,1996-04-01,
67,0074,12.5-hour OP + Summer,1,1996-04-01,
68,0075,12.5-hour OP + w/e,1,1996-04-01,
69,0076,12.5-hour OP + w/e,1,1996-04-01,
70,0077,12.5-hour OP + w/e,1,1996-04-01,
71,0078,12.5-hour OP + w/e & Summer,1,1996-04-01,
72,0079,14-hour E7,1,1996-04-01,
73,0080,14-hour Off Peak,1,1996-04-01,
74,0081,14-hour OP + Sun,1,1996-04-01,
75,0082,14.5-hour OP,1,1996-04-01,
76,0083,14.5-hour OP,1,1996-04-01,
77,0084,14.5-hour OP,1,1996-04-01,
