Chellow Id,Time Pattern Regime Id,Tele-switch/Clock Indicator,GMT Indicator
1,00001,1,0
2,00003,1,1
3,00004,1,1
4,00005,1,0
5,00006,1,1
6,00007,1,1
7,00008,1,1
8,00009,1,1
9,00010,1,1
10,00011,1,1
11,00012,1,1
12,00013,1,1
13,00014,1,1
14,00015,1,1
15,00016,1,1
16,00017,1,1
17,00018,1,1
18,00019,1,1
19,00020,1,1
20,00021,1,1
21,00022,1,1
22,00023,1,1
23,00025,1,1
24,00026,1,1
25,00027,1,1
26,00028,1,1
27,00029,1,1
28,00030,1,1
29,00031,1,1
30,00032,1,1
31,00034,1,1
32,00035,1,1
33,00036,1,1
34,00037,1,1
35,00038,1,0
36,00039,1,0
37,00040,1,1
38,00042,1,1
39,00043,1,1
40,00044,1,0
41,00045,1,1
42,00046,1,1
43,00047,1,1
44,00048,1,1
45,00049,1,1
46,00050,1,1
47,00051,1,1
48,00052,1,1
49,00053,1,1
50,00054,1,1
51,00055,1,1
52,00056,1,0
53,00057,1,1
54,00058,1,1
55,00059,1,1
56,00060,1,1
57,00061,1,1
58,00062,1,1
59,00063,1,1
60,00064,1,1
61,00065,1,1
62,00066,1,1
63,00067,1,1
64,00068,1,1
65,00069,1,1
66,00070,1,1
67,00071,1,1
68,00072,1,1
69,00073,1,0
70,00074,1,1
71,00075,1,1
72,00076,1,1
73,00077,1,1
74,00078,1,1
75,00079,1,1
76,00080,1,0
77,00081,1,1
78,00082,1,1
79,00083,1,1
80,00084,1,1
81,00085,1,1
82,00086,1,1
83,00087,1,1
84,00088,1,0
85,00089,1,1
86,00090,1,1
87,00091,1,1
88,00092,1,1
89,00093,1,0
90,00094,1,1
91,00095,1,1
92,00096,1,1
93,00097,1,1
94,00098,1,1
95,00099,1,1
96,00100,1,1
97,00101,1,1
98,00102,1,1
99,00103,1,1
100,00104,1,1
101,00105,1,1
102,00106,1,1
103,00107,1,1
104,00108,1,1
105,00109,1,1
106,00110,1,1
107,00111,1,1
108,00112,1,1
109,00113,1,1
110,00114,1,1
111,00115,1,1
112,00117,1,1
113,00118,1,1
114,00119,1,1
115,00120,1,1
116,00121,1,1
117,00122,1,1
118,00124,1,1
119,00125,1,1
120,00126,1,1
121,00127,1,1
122,00128,1,1
123,00129,1,1
124,00130,1,1
125,00131,1,1
126,00132,1,1
127,00134,1,1
128,00135,1,1
129,00136,1,1
130,00137,1,1
131,00138,1,1
132,00139,1,1
133,00141,1,1
134,00143,1,1
135,00144,1,1
136,00145,1,1
137,00146,1,1
138,00147,1,1
139,00148,1,0
140,00149,1,1
141,00150,1,1
142,00151,1,1
143,00152,1,1
144,00153,1,1
145,00154,1,1
146,00155,1,1
147,00156,1,1
148,00157,1,1
149,00158,1,1
150,00159,1,1
151,00160,1,0
152,00164,1,1
153,00165,1,1
154,00166,1,1
155,00167,1,1
156,00168,1,1
157,00169,1,1
158,00170,1,1
159,00171,1,1
160,00172,1,1
161,00173,1,1
162,00174,1,1
163,00175,1,1
164,00176,1,1
165,00177,1,1
166,00178,1,1
167,00179,1,1
168,00180,1,1
169,00183,1,1
170,00184,1,1
171,00185,1,1
172,00186,1,1
173,00187,1,1
174,00188,1,1
175,00189,1,1
176,00190,1,1
177,00191,1,1
178,00192,1,1
179,00193,1,1
180,00194,1,1
181,00195,1,0
182,00196,1,1
183,00198,1,1
184,00200,1,1
185,00201,1,1
186,00202,1,1
187,00203,1,1
188,00206,1,1
189,00207,1,1
190,00208,1,0
191,00209,1,1
192,00210,1,1
193,00211,1,1
194,00212,1,1
195,00213,1,1
196,00214,1,1
197,00215,1,1
198,00216,1,1
199,00217,1,1
200,00218,1,1
201,00220,1,1
202,00221,1,0
203,00222,1,1
204,00223,1,1
205,00224,1,1
206,00227,1,1
207,00228,1,1
208,00229,1,1
209,00230,1,1
210,00231,1,1
211,00232,1,1
212,00233,1,1
213,00234,1,1
214,00235,1,0
215,00236,1,1
216,00238,1,1
217,00239,1,0
218,00240,1,1
219,00242,1,1
220,00243,1,0
221,00244,1,1
222,00245,1,1
223,00246,1,1
224,00247,1,0
225,00248,1,0
226,00249,1,1
227,00250,1,1
228,00251,1,0
229,00252,1,1
230,00253,1,1
231,00254,1,1
232,00255,1,1
233,00256,1,1
234,00257,1,1
235,00258,1,1
236,00259,1,1
237,00260,1,1
238,00261,1,1
239,00262,1,1
240,00263,1,1
241,00264,1,1
242,00265,1,1
243,00269,1,1
244,00270,1,0
245,00271,1,0
246,00272,1,0
247,00273,1,0
248,00274,1,0
249,00275,1,0
250,00276,1,0
251,00277,1,0
252,00278,1,1
253,00279,1,1
254,00280,1,1
255,00281,1,1
256,00282,1,1
257,00283,1,1
258,00284,1,1
259,00285,1,1
260,00286,1,1
261,00287,1,1
262,00288,1,1
263,00289,1,1
264,00290,1,1
265,00291,1,1
266,00292,1,1
267,00293,1,1
268,00294,1,1
269,00295,1,1
270,00296,1,1
271,00297,1,1
272,00298,1,1
273,00299,1,1
274,00300,1,1
275,00301,1,0
276,00302,1,0
277,00303,1,0
278,00306,1,0
279,00307,1,1
280,00308,1,1
281,00309,1,1
282,00310,1,1
283,00311,1,1
284,00312,1,1
285,00313,1,1
286,00314,1,1
287,00315,1,1
288,00316,1,1
289,00317,1,1
290,00318,1,1
291,00319,1,1
292,00320,1,1
293,00321,1,1
294,00322,1,1
295,00323,1,1
296,00324,1,1
297,00325,1,1
298,00326,1,1
299,00327,1,1
300,00328,1,1
301,00329,1,1
302,00330,1,1
303,00331,1,1
304,00332,1,1
305,00333,1,1
306,00334,1,1
307,00335,1,1
308,00336,1,1
309,00339,1,1
310,00340,1,1
311,00341,1,1
312,00342,1,1
313,00343,1,1
314,00344,1,1
315,00345,1,1
316,00346,1,1
317,00347,1,1
318,00348,1,1
319,00349,1,1
320,00350,1,1
321,00351,1,1
322,00352,1,1
323,00353,1,1
324,00354,1,1
325,00355,1,1
326,00356,1,0
327,00357,1,0
328,00358,1,0
329,00359,1,0
330,00360,1,0
331,00361,1,1
332,00362,1,1
333,00363,1,1
